,inferred dec temp,true dec temp,subject,inferred reward rate,true reward rate,inferred habitual tendency,true habitual tendency,inferred policy rate,true policy rate
0,4.4669356,2.7342792,0,0.5302433,0.16205174,5.793986,3.6263857,0.40754536,0.25960678
1,5.937338,4.404874,1,0.5694315,0.37839377,2.9618828,1.4574957,0.64467007,0.50214434
2,2.9132402,1.5169342,2,0.34864584,0.29878867,3.5110152,3.282697,0.65048045,0.8255635
3,4.081233,1.7131988,3,0.5460999,0.2022171,6.2586884,5.31189,0.37198773,0.050414383
4,4.488175,5.8340955,4,0.63503855,0.88470304,5.9697714,5.518023,0.4492562,0.39665204
5,4.1236076,4.1089954,5,0.5485281,0.5562503,6.1363273,5.2732854,0.38054454,0.24594581
6,2.9200432,1.059854,6,0.35090953,0.27027553,3.1538339,2.3119292,0.669245,0.87908703
7,4.296088,5.7901134,7,0.34244058,0.068591475,3.774859,4.464408,0.6323262,0.9461247
8,4.0858793,1.1656693,8,0.506434,0.6872292,6.256071,3.957087,0.38036707,0.062084734
9,4.59362,5.654462,9,0.38465142,0.5320354,5.6237984,5.090699,0.6475513,0.75764775
10,3.4083283,2.1997733,10,0.62664074,0.9426828,4.294674,4.511818,0.6657475,0.9306258
11,6.580465,5.652161,11,0.2892168,0.26213932,2.9980564,2.2231789,0.48765913,0.2662331
12,4.4188004,3.1362562,12,0.67744786,0.5903394,2.8556178,1.0065935,0.6051327,0.5387691
13,3.5144615,4.216737,13,0.411943,0.05690247,3.423057,1.7469501,0.44676667,0.16157061
14,6.475186,5.7043695,14,0.6673861,0.6562972,3.2395947,2.336584,0.62237537,0.52545583
15,4.153501,5.59914,15,0.51586086,0.12613988,5.835359,4.9898195,0.5569208,0.4382615
16,3.7424746,1.1547911,16,0.5100713,0.8349484,6.136837,5.3897257,0.54551035,0.5696333
17,3.9161663,2.6121697,17,0.31781033,0.105443954,4.58366,4.5804863,0.6461532,0.96841353
18,4.0467887,5.6834717,18,0.48280218,0.898372,6.3448105,5.358241,0.3792857,0.12365395
19,3.9448102,5.7494736,19,0.5403872,0.78338975,6.3328724,3.359393,0.37692896,0.056323707
20,4.330682,4.823123,20,0.43929616,0.026527643,5.912096,4.576064,0.42230508,0.27396286
21,3.1160583,2.2638822,21,0.62617964,0.9653719,3.278418,3.6647782,0.6586872,0.93738925
22,4.0456285,2.8066173,22,0.5706926,0.37027282,6.301831,4.5835524,0.3793987,0.21686912
23,3.8237374,2.1549747,23,0.5649009,0.37472218,6.0213485,3.3785307,0.40692645,0.24836212
24,6.662295,5.09927,24,0.69541115,0.7977869,3.023527,2.0019252,0.6526788,0.6858419
25,4.1324797,2.833737,25,0.5950435,0.9422816,6.000385,5.934127,0.4912505,0.38597983
26,3.0924194,2.693146,26,0.4186675,0.18846232,3.022936,2.2160232,0.49696562,0.29634613
27,3.2064736,1.6120536,27,0.59323794,0.6158158,3.3790135,3.4216888,0.6532942,0.9334669
28,3.207934,1.5957955,28,0.638178,0.7058627,3.2057617,2.760891,0.6680364,0.9903299
29,3.0267196,1.900507,29,0.5886712,0.1758964,2.9998207,2.367548,0.67572814,0.858223
30,5.8594723,5.7275743,30,0.29948512,0.18613333,3.3061023,3.0190563,0.6383237,0.6488351
