,policy rate,reward rate,dec temp,habitual tendency,subject
0,0.3169461,0.26019624,5.6658125,3.6861143,0
1,0.5183108,0.8619549,1.7467611,3.4534824,1
2,0.69300437,0.024396174,3.6677518,3.2212126,2
3,0.3646926,0.6437068,3.1490426,2.9168675,3
4,0.74577,0.17369117,4.8063602,2.4361515,4
5,0.114584796,0.28228632,1.9257748,4.4114637,5
6,0.7678161,0.5044265,1.6893823,1.5392536,6
7,0.14647917,0.367235,0.9192625,2.9159927,7
8,0.4034191,0.30299494,2.8556955,6.033709,8
9,0.5170097,0.9356348,5.9278946,5.297093,9
10,0.09621898,0.971393,2.551783,2.613905,10
11,0.8049878,0.837124,4.430809,5.8329887,11
12,0.88534373,0.7911069,5.1646366,3.8030624,12
13,0.5860788,0.048132103,1.9920597,2.0345137,13
14,0.8315344,0.047091976,3.3824673,2.7189138,14
15,0.6927649,0.02506766,1.1784648,3.8317788,15
16,0.5906962,0.6545882,1.291251,3.1139967,16
17,0.66345584,0.9260579,1.6926856,6.232509,17
18,0.5345872,0.59185,4.895272,4.613991,18
19,0.6401475,0.72371477,5.6785316,5.7611628,19
20,0.37480286,0.6732061,2.6555946,1.5319672,20
21,0.4272357,0.33651543,6.024298,4.3530793,21
22,0.75402594,0.8078937,4.169539,5.367614,22
23,0.15960309,0.5974121,3.8586464,1.6481855,23
24,0.72019386,0.7425705,2.689873,8.706848,24
25,0.50631154,0.26297796,3.7868943,3.730074,25
26,0.51428735,0.9836728,3.9892917,7.2968493,26
27,0.7770033,0.5329474,3.8681388,6.195092,27
28,0.85568213,0.2502563,1.2408394,1.2320507,28
29,0.566547,0.3764265,2.8384657,2.209991,29
30,0.6130773,0.022898378,4.2839584,4.337644,30
31,0.4651076,0.47251374,3.9832406,2.147965,31
32,0.7611349,0.815441,1.3543534,2.7855728,32
33,0.7233176,0.37021583,1.8773603,4.875591,33
34,0.57922566,0.27504095,1.4480808,6.3314123,34
35,0.8281854,0.1250736,2.4917657,4.876704,35
36,0.14694649,0.98123175,4.5196238,4.7878537,36
37,0.8229239,0.7746357,2.6014657,1.4822531,37
38,0.39244702,0.22381367,3.3357441,3.2566214,38
39,0.40331534,0.27121064,1.6215456,3.4223194,39
40,0.9266072,0.1349076,2.257029,4.07117,40
41,0.6261897,0.46628574,2.4656115,2.2072334,41
42,0.7698072,0.6255399,3.720033,1.8224901,42
43,0.76817477,0.48307005,6.308329,1.005318,43
44,0.7904221,0.89515334,3.6073303,2.3492095,44
45,0.58102894,0.6239563,5.207243,4.427626,45
46,0.22413808,0.8326417,4.271554,5.6434684,46
47,0.81600434,0.6342429,3.811129,2.5421932,47
48,0.17183784,0.23554872,1.7189986,3.5911016,48
49,0.7503536,0.11114713,2.8436127,8.471583,49
50,0.45079628,0.106466845,4.726581,4.401984,0
51,0.5330146,0.19272771,2.0880694,3.469823,1
52,0.8276751,0.063357376,5.488369,3.9076533,2
53,0.3669499,0.6598363,4.4014983,3.0895486,3
54,0.8858338,0.24554598,5.220115,2.8377626,4
55,0.30294117,0.17232077,3.5372963,4.923947,5
56,0.5784224,0.64173347,1.5635436,1.3420756,6
57,0.27521637,0.6919175,2.6517372,3.659182,7
58,0.291659,0.63314265,2.7753246,5.377432,8
59,0.38244268,0.5651532,1.1742043,3.99004,9
60,0.23759885,0.466245,3.0339642,3.2849739,10
61,0.8208659,0.9477945,6.272388,6.3041077,11
62,0.86749893,0.8264173,4.1477113,3.8152556,12
63,0.5917273,0.25921384,1.8092053,2.8560436,13
64,0.71595025,0.058928847,3.05658,2.753687,14
65,0.7022319,0.01794145,3.2198381,4.5771956,15
66,0.52434176,0.7480649,2.2991438,2.713934,16
67,0.7569536,0.3445557,1.5831153,6.6645937,17
68,0.53941226,0.5725668,6.246559,4.7002926,18
69,0.52424765,0.07027853,4.157489,4.0190554,19
70,0.49069902,0.64051116,2.0598063,1.8408027,20
71,0.35600457,0.2438402,3.3770301,3.483772,21
72,0.6299877,0.6825508,2.9398894,4.851461,22
73,0.029888477,0.6097738,5.0109525,1.4283931,23
74,0.15763399,0.8838513,5.8256745,5.9964476,24
75,0.5979061,0.39008123,6.093112,4.765559,25
76,0.22012204,0.91203946,3.2586398,6.9946666,26
77,0.82273376,0.6958339,2.050394,4.9023194,27
78,0.78037447,0.47586375,2.1562333,1.6776116,28
79,0.7106698,0.441943,3.337692,2.4764056,29
80,0.5519818,0.037772946,4.5758815,2.967214,30
81,0.6032557,0.4232527,4.6270623,1.9850171,31
82,0.87280095,0.43632165,1.2843622,2.703121,32
83,0.7476664,0.47748002,2.1743543,4.5587626,33
84,0.3199396,0.14999376,0.98805237,5.12024,34
85,0.8264044,0.18006016,3.0380833,5.091508,35
86,0.24350446,0.39788696,5.967436,6.5629473,36
87,0.8560513,0.7049176,2.203589,1.4727736,37
88,0.40529794,0.3840432,2.6957302,3.2052639,38
89,0.24258217,0.6827347,1.1997466,2.63976,39
90,0.5895041,0.40792432,2.4002085,4.021746,40
91,0.8988207,0.45934737,1.8011516,3.355888,41
92,0.92345834,0.6918854,4.5102806,2.1634135,42
93,0.7547358,0.5361535,6.261471,1.8172,43
94,0.8296486,0.80759305,3.5455794,2.9950562,44
95,0.5421444,0.76823777,5.520284,4.968389,45
96,0.4171023,0.032818772,2.149158,7.67146,46
97,0.5145724,0.6733307,4.512729,1.999023,47
98,0.24348745,0.81203663,3.2513237,3.5438147,48
99,0.46095213,0.43685588,2.434716,6.8570466,49
100,0.34029254,0.07863153,6.197546,3.646315,0
101,0.52901626,0.2984782,0.87197155,3.2702243,1
102,0.7879708,0.05040891,3.3703012,3.5120127,2
103,0.42010745,0.96534204,4.1053476,3.2257037,3
104,0.826875,0.18018985,5.2244616,1.8092341,4
105,0.15103678,0.7829644,2.0172088,7.112875,5
106,0.8202521,0.49732432,1.5328242,1.9421984,6
107,0.18093939,0.49755108,2.3292348,3.687263,7
108,0.3473519,0.51333857,3.1573663,4.712654,8
109,0.57659876,0.9819324,3.004513,5.10411,9
110,0.24037999,0.952459,1.9970326,3.282302,10
111,0.7964406,0.94197917,4.6687646,5.9825563,11
112,0.87295187,0.8598811,4.6282525,3.7667513,12
113,0.4995267,0.09285881,1.3839989,2.4905019,13
114,0.57061005,0.0837533,6.108196,2.7448325,14
115,0.74259657,0.02955991,1.6181498,3.8258977,15
116,0.5304435,0.29057205,1.6804392,2.6531,16
117,0.6958355,0.65486765,4.3683596,7.167022,17
118,0.38966665,0.6394539,6.3729277,4.2455955,18
119,0.6798601,0.050257385,5.622399,6.5797462,19
120,0.7879343,0.76450133,2.2526371,1.6229093,20
121,0.5798707,0.54593915,5.3404813,4.2651515,21
122,0.6695658,0.42918387,1.6574442,4.679073,22
123,0.07153869,0.8096965,4.8736544,1.7456187,23
124,0.61806935,0.35637426,4.6633463,6.156904,24
125,0.73965347,0.36768794,5.021964,5.3603406,25
126,0.19230267,0.04451586,1.2714965,5.424414,26
127,0.76865774,0.5678864,4.1817203,5.6361237,27
128,0.8711026,0.76367503,2.6384213,1.855128,28
129,0.54594785,0.41047522,2.4390004,1.7808264,29
130,0.6192536,0.0064813015,2.8046606,2.501989,30
131,0.7646093,0.32345042,4.422055,2.3309116,31
132,0.58762157,0.54178023,1.0373368,2.5767672,32
133,0.8321752,0.17113051,1.5624278,5.319725,33
134,0.6130906,0.7887837,3.1803966,5.9063444,34
135,0.8652596,0.37927103,3.673627,5.724951,35
136,0.11713172,0.7762149,5.229851,7.2689295,36
137,0.84545857,0.8235476,1.8765973,1.0682476,37
138,0.3132102,0.24185804,1.9275496,3.2069688,38
139,0.18764775,0.6991188,0.96278274,2.70717,39
140,0.74749166,0.2071921,2.8675091,3.915881,40
141,0.5520813,0.95192707,2.9334283,2.2804635,41
142,0.8728899,0.8434271,4.9485884,1.9191763,42
143,0.5908494,0.5655542,5.2841654,1.0264753,43
144,0.9051621,0.89350224,4.3419523,2.823454,44
145,0.6625919,0.31967938,4.839153,4.8655586,45
146,0.39741415,0.7000386,2.1971555,7.1823816,46
147,0.9195345,0.62728035,4.116193,2.2835398,47
148,0.10190723,0.31072494,1.7205144,2.0597067,48
149,0.37603128,0.6252475,1.5066563,6.547692,49
150,0.41559067,0.105440974,3.0974255,3.5416996,0
151,0.45864224,0.9551521,1.2859759,3.441899,1
152,0.79145855,0.044034887,4.4988713,4.0019455,2
153,0.49927863,0.88176435,4.0046725,3.6423848,3
154,0.70097065,0.19713901,5.4144907,3.3186316,4
155,0.2518788,0.86228466,5.081026,5.197787,5
156,0.73764056,0.4847406,1.4388523,1.6797273,6
157,0.29324532,0.74385875,4.1067486,3.085195,7
158,0.5070761,0.6620406,5.631471,7.4034863,8
159,0.3905842,0.886053,2.013717,4.382107,9
160,0.118914254,0.06693779,3.1194978,2.7644534,10
161,0.82494414,0.8765488,3.8733912,5.6872506,11
162,0.9110659,0.8057841,3.890993,4.034836,12
163,0.43423858,0.03456636,2.600428,2.1915197,13
164,0.79952407,0.0836001,4.2075434,3.5252366,14
165,0.8765192,0.0028071082,5.0046206,4.6644187,15
166,0.50817275,0.6867357,2.2036393,2.4925325,16
167,0.6109606,0.39386907,2.5319648,6.0760517,17
168,0.46028492,0.8107728,6.649992,4.8145475,18
169,0.43442062,0.0668567,5.012286,5.614104,19
