,inferred dec temp,true dec temp,subject,inferred reward rate,true reward rate,inferred habitual tendency,true habitual tendency,inferred policy rate,true policy rate
0,3.216366,3.6397588,0,0.6207031,0.4026596,5.77388,4.1231604,0.36206684,0.22202533
1,4.8744373,4.1326294,1,0.54473805,0.33346677,2.4140708,2.1881933,0.7066969,0.8000907
2,4.0874367,2.6039262,2,0.62276125,0.32600367,2.3576584,1.8949637,0.6615434,0.4520768
3,2.8914907,1.8985338,3,0.55179954,0.19096035,2.4906874,2.9773972,0.6806422,0.720068
4,4.749376,2.5194502,4,0.6297496,0.62674946,5.921924,2.7264414,0.34022045,0.05330199
5,2.429168,2.0268483,5,0.63671124,0.30629677,2.8251908,3.2910502,0.59529054,0.60159576
6,1.9923795,2.3025718,6,0.6549738,0.85600096,2.853961,3.0605664,0.6751162,0.78588516
7,3.3407524,2.643015,7,0.69705653,0.7230001,2.0452724,1.9230316,0.4322756,0.3104145
8,2.743723,5.548334,8,0.7331389,0.9717318,2.1382837,1.4563429,0.74898076,0.89834976
9,3.411492,4.0155497,9,0.62392277,0.66668904,2.593529,3.174438,0.5045466,0.54987246
10,4.1424637,4.310621,10,0.6967809,0.6775262,1.9457355,1.1220939,0.55679166,0.16578108
11,5.6484537,5.2590194,11,0.6327727,0.7362704,5.587624,5.8782663,0.7295421,0.7579253
12,2.0931797,1.5334272,12,0.28254026,0.13773078,3.840979,4.0244923,0.6001454,0.46638823
13,5.261358,5.647593,13,0.60428387,0.92816854,3.20952,2.787156,0.5864232,0.45219237
14,4.509142,4.3409142,14,0.5389882,0.25329113,4.3042555,3.5186205,0.69005984,0.5018304
