,locs0,locs1,locs2,locs3,subject
0,1.647296,-2.1158166,-0.20069371,0.26386014,0
1,1.2182013,-1.3053052,-0.801929,-0.25491905,1
2,1.0472372,-2.4328763,0.079818904,-0.58702356,2
3,0.8350182,1.2015433,-0.16305149,-0.74499524,3
4,1.0945588,0.49561882,0.10517405,-1.3558912,4
5,-1.8663354,0.5734318,-0.05195105,-1.5066496,5
6,-0.15620722,0.8013006,-1.2604736,-1.5166693,6
7,2.2740297,1.0775725,-1.5515054,-0.3691165,7
8,-0.14791524,-0.9800185,-1.9820309,-1.0194149,8
9,1.3481392,-0.09202063,-1.6830275,-0.013702765,9
10,0.78160095,-1.0982342,-1.1507964,-0.3168618,10
11,0.85776865,-2.698286,-0.16849223,-2.417076,11
12,-0.76506954,-0.7441473,-1.3866724,-0.6206504,12
13,0.23577139,1.9783587,-1.5710891,-0.4787277,13
14,0.5176937,-0.21244901,-0.714653,0.494842,14
15,1.9051826,-2.2100003,-0.27904493,0.19955853,0
16,1.3272198,-0.84919155,-0.16495866,-0.23356918,1
17,0.5188862,-3.3675897,-0.8230648,-0.9463573,2
18,0.6694345,-0.08259229,-1.0305619,-0.995398,3
19,1.4603304,-1.9676918,-0.18026759,-0.6669123,4
20,-2.8453784,0.27061236,-0.74151146,-1.5730166,5
21,-0.73488975,1.1744945,-1.6919434,-1.4607439,6
22,1.7017393,0.6353383,-2.4304976,-0.31902817,7
23,-0.20062363,1.8574786,-1.9457211,-1.2678515,8
24,0.8714522,-0.21672201,-1.9147761,-0.0118088275,9
25,1.3037661,-0.4178273,-0.49744236,-0.21418017,10
26,0.6513644,-2.2528458,-0.37187842,-1.4277396,11
27,-0.80185294,0.2426455,-1.100103,-0.8980472,12
28,0.8662064,1.3386633,-1.0055163,-0.42877015,13
29,0.21337298,0.5335801,-0.14499754,-0.61893284,14
30,0.51627344,-2.817952,-0.4152187,-0.5452751,0
31,1.0591866,-0.29950345,0.5602357,-0.36717704,1
32,-0.41089356,-2.6367984,-0.47183546,-0.5582535,2
33,0.96576613,-0.227762,-1.5464746,-0.4742408,3
34,0.92142344,-0.77783275,-0.7762692,-1.1615115,4
35,-2.233135,-0.17321268,-1.0293103,-1.4509721,5
36,-1.0908284,-2.4967718,-2.6461906,-2.153762,6
37,2.1471064,-0.37416002,-1.6535645,-0.15196677,7
38,-0.6169907,2.0205617,-0.9831508,-1.1078764,8
39,1.2942594,0.020252228,-1.941558,-0.22507977,9
