,policy rate,reward rate,dec temp,habitual tendency,subject
0,0.8270496,0.0816374,4.043146,4.9299345,0
1,0.7658691,0.28388026,3.8784256,4.131887,1
2,0.672423,0.040303644,3.9020352,3.5203097,2
3,0.76064736,0.19864817,1.7088289,3.6468492,3
4,0.7097427,0.4118481,3.828342,2.2626302,4
5,0.23239021,0.46040538,2.8176975,2.3432965,5
6,0.48358703,0.4542885,0.894938,1.5933465,6
7,0.7618409,0.7548015,1.735673,4.0780973,7
8,0.5602395,0.39913532,2.0646636,2.7537398,8
9,0.53273296,0.15589641,1.3702755,4.7887783,9
10,0.7638344,0.5581553,3.561252,4.686346,10
11,0.40633503,0.03937418,3.6496994,1.1139095,11
12,0.34359488,0.2720774,2.8535542,4.3416634,12
13,0.6633173,0.38147798,1.286731,3.882341,13
14,0.4620405,0.8910208,3.8656852,4.56365,14
15,0.7792446,0.06816321,4.117865,3.6525548,0
16,0.84889174,0.4104991,3.6718807,3.8652434,1
17,0.72677296,0.047837537,3.4870806,3.530449,2
18,0.61685485,0.6004443,3.033578,2.70308,3
19,0.5584206,0.42162097,6.5330973,2.593049,4
20,0.11861945,0.68853706,3.1979742,2.185256,5
21,0.44395706,0.33455557,0.95961577,1.7110052,6
22,0.92114955,0.3604249,1.1833054,5.71863,7
23,0.44952598,0.46894667,1.416036,2.3837442,8
24,0.8151185,0.48771226,0.90816486,4.1101284,9
25,0.71539575,0.5743577,2.7841468,4.0220537,10
26,0.76990706,0.05565826,5.249812,1.1515193,11
27,0.42279172,0.7890585,2.1426735,3.785244,12
28,0.62028384,0.7090023,2.9863536,3.8961542,13
29,0.54378974,0.7190356,3.8257382,5.1838903,14
30,0.8532151,0.044732302,4.250064,4.0355163,0
31,0.8312324,0.30938533,4.4971027,4.093246,1
32,0.6701374,0.04656889,4.839194,2.843168,2
33,0.5095465,0.7596354,4.6285133,2.6036193,3
34,0.6986371,0.38710818,4.4943995,3.0213716,4
35,0.08276271,0.15140848,2.4814131,1.8433409,5
36,0.3430035,0.5448912,2.2603989,1.4477502,6
37,0.8484491,0.31025234,0.70542026,4.551524,7
38,0.4197774,0.43259412,2.0036447,2.7377894,8
39,0.7987666,0.49220133,1.324183,4.5409293,9
40,0.86051106,0.62842685,4.834576,4.916173,10
41,0.553497,0.06414156,3.818173,1.0059586,11
42,0.31923994,0.25272122,1.4815102,3.6992197,12
43,0.4444515,0.6858271,3.3583255,3.5789409,13
44,0.5333104,0.78136086,3.0826263,5.265906,14
45,0.8630028,0.07244592,3.884537,5.073194,0
46,0.84137213,0.34291422,5.9762754,4.3461747,1
47,0.8240948,0.0485661,3.9434972,2.9710965,2
48,0.6968203,0.10697618,2.5253792,2.9406524,3
49,0.82090765,0.5699254,6.6946726,3.7849631,4
50,0.052954014,0.69791305,5.877609,1.2009511,5
51,0.47752512,0.6904354,1.4648342,2.0788267,6
52,0.9362161,0.61938614,1.3688543,5.431568,7
53,0.49655607,0.1661038,0.32930475,2.2480338,8
54,0.78169453,0.038992587,1.0367515,4.9327483,9
55,0.8514629,0.24885827,2.4922943,5.0178328,10
56,0.7305559,0.059676934,4.267073,1.3097845,11
57,0.3626532,0.6099802,1.7976267,3.794157,12
58,0.47949392,0.89004207,2.5963285,4.193088,13
59,0.5657539,0.45017356,4.6245193,5.6401663,14
60,0.6708687,0.09114076,4.1957197,3.9191966,0
61,0.73101443,0.49196532,5.3409805,3.049839,1
62,0.8114163,0.051205877,3.565922,3.8707945,2
63,0.7667914,0.47498375,3.3293614,3.5668566,3
64,0.78632224,0.28741643,4.9555626,2.5394073,4
65,0.08895337,0.37826112,2.4609487,1.558636,5
66,0.51339775,0.44461688,1.7184837,2.6332996,6
67,0.82294005,0.3553076,0.9699469,4.259823,7
68,0.60176677,0.77058256,2.542626,2.638683,8
69,0.81071264,0.5070206,2.3191576,4.23397,9
70,0.86186224,0.6291704,3.1183364,4.5434895,10
71,0.824196,0.036691226,4.455833,1.556219,11
72,0.23718765,0.4708806,2.6527429,3.2161417,12
73,0.5335857,0.9501327,3.7616796,4.028274,13
74,0.7613271,0.6255474,3.3780007,7.1932535,14
75,0.70713866,0.093055435,3.9130983,3.5390334,0
76,0.76964617,0.30735365,4.781309,4.3932014,1
77,0.8004613,0.038730204,3.8539057,3.508184,2
78,0.80769587,0.35259846,2.2194524,3.8071322,3
79,0.8298446,0.25667655,2.5364394,2.3989816,4
80,0.048426554,0.62276626,3.0355122,1.103573,5
81,0.24246591,0.9208731,2.4419482,2.0258636,6
82,0.8399847,0.50005084,1.7844725,4.530132,7
83,0.4820777,0.5801025,1.5094446,1.9418929,8
84,0.8889295,0.12400462,1.9447997,3.974968,9
85,0.78178704,0.37772465,2.4425855,4.337576,10
86,0.6825368,0.05509888,5.425291,1.2589815,11
87,0.23739116,0.2616275,1.8942989,3.210356,12
88,0.673718,0.887612,4.6637383,4.37517,13
89,0.64167196,0.41992778,2.19322,6.7479115,14
90,0.8989327,0.042639192,4.0673633,4.052061,0
91,0.85053045,0.2155766,4.8557982,3.7194357,1
92,0.7905648,0.08888695,3.6794045,3.6505864,2
93,0.8889112,0.32590133,2.1741679,2.7780247,3
94,0.74968576,0.45802796,2.6711307,1.9242413,4
95,0.0725568,0.13602565,4.034214,1.3944035,5
96,0.3345928,0.69156075,2.124236,2.258039,6
97,0.9001683,0.8849889,2.5525064,4.6117573,7
98,0.47447747,0.56565374,1.5580413,2.3898826,8
99,0.73740655,0.5346618,0.6177907,4.905848,9
100,0.74292034,0.29819646,2.050179,3.769867,10
101,0.8472317,0.06329735,3.8425999,1.2303122,11
102,0.38863534,0.671324,2.774074,4.1728644,12
103,0.42222577,0.44083822,1.6468943,3.1501174,13
104,0.5099878,0.5007732,4.2929287,5.6737285,14
105,0.6885968,0.04669177,4.202124,3.9572973,0
106,0.7054416,0.3170728,4.199889,3.4318,1
107,0.7820493,0.07090114,2.9331515,4.5423183,2
108,0.67988336,0.65896237,2.2905383,2.8070178,3
109,0.7458946,0.5940875,5.402438,2.725394,4
110,0.12058147,0.42387438,1.9912375,1.904546,5
111,0.52577114,0.8766369,2.2834196,1.9947393,6
112,0.8840896,0.57346916,3.1910717,4.6355686,7
113,0.3537013,0.71470463,1.808644,1.8384153,8
114,0.7607264,0.44367516,1.0528252,4.27888,9
115,0.77773815,0.52368885,3.5894618,4.9656634,10
116,0.65221137,0.06906858,4.4420033,1.3123944,11
117,0.3414488,0.3976334,2.1825333,2.860767,12
118,0.5242588,0.6870753,1.977675,4.2759666,13
119,0.5799559,0.6409278,3.867028,4.9076576,14
120,0.81720537,0.05670947,3.0501952,4.8564405,0
121,0.7726457,0.25574845,4.3961043,4.3715887,1
122,0.728242,0.051540844,3.393121,2.9226806,2
123,0.6564696,0.65295655,2.9083304,2.7158377,3
124,0.75850075,0.4272824,6.3099136,2.4573185,4
125,0.101478785,0.5041535,1.8605776,1.6585957,5
126,0.3723822,0.652389,0.8742955,1.299295,6
127,0.8645254,0.4936708,1.5258313,4.3839273,7
128,0.45450392,0.4029547,1.2854491,2.553868,8
129,0.73677,0.4744851,1.2167518,4.7947726,9
130,0.64209855,0.6519915,3.8311408,4.8844485,10
131,0.42957816,0.062206868,5.26918,1.0316377,11
132,0.3769172,0.37184736,1.162781,4.34568,12
133,0.66101223,0.52052146,1.8428161,3.7732723,13
134,0.41702265,0.8429384,2.323523,4.447833,14
135,0.6686078,0.087092996,4.334725,4.6871514,0
136,0.5869752,0.385049,3.090907,2.9907763,1
137,0.7575976,0.04482838,2.9031563,4.3598194,2
138,0.6209927,0.8833203,3.9577403,2.5440905,3
139,0.794427,0.5471574,5.305444,3.5430942,4
140,0.13283044,0.401256,3.3251522,1.8736529,5
141,0.23791681,0.83109456,1.4700521,1.8667753,6
142,0.8565578,0.4319938,3.3802676,4.868328,7
143,0.38306847,0.6498024,1.4040084,2.5371528,8
144,0.6797999,0.94791317,1.7701349,5.221048,9
145,0.78359133,0.6243041,3.5575793,4.8334155,10
