,locs0,locs1,locs2,locs3,subject
0,0.7922749,-0.9353081,0.18623191,-0.15554416,0
1,-0.43752003,-1.4336749,0.742279,-1.2674693,1
2,0.44441748,-1.4827057,-0.3458401,-0.27460077,2
3,0.11888021,-0.15498519,-1.8395114,0.47622564,3
4,-4.705248,-1.1137376,-1.9438632,0.40400457,4
5,0.07401836,-1.6654903,-0.67643607,0.40498328,5
6,1.1604297,-0.1295993,-1.0192567,0.8955358,6
7,-0.31463927,-0.513441,-1.3421017,-1.2282922,7
8,1.246819,-0.4468537,-1.3575938,0.51411927,8
9,0.25232875,-1.4186049,-0.8939799,-0.29764396,9
10,-1.3997133,-0.11848342,-0.3910403,-2.1581488,10
11,2.2097838,-0.20656568,-0.79625183,-1.0661802,11
12,-1.7010995,-0.9403339,-0.9910859,-0.90972286,12
13,-0.030770957,0.41000605,-0.4003353,-0.7184191,13
14,-0.25237504,0.52056664,-0.27584445,-3.250011,14
15,0.91732204,0.3465417,-1.9161932,-0.9662739,15
16,-0.23317404,-0.22070119,-0.36692458,-0.8755226,16
17,-0.51226896,-0.7875035,-0.0920693,-0.65860355,17
18,0.6254023,-0.022371203,-0.9082904,-2.7685835,18
19,2.679235,-0.65264624,-0.9342181,2.1383653,19
20,-2.7820468,-0.7502306,-0.59977293,2.2105298,20
21,-0.46553016,-0.7431142,-1.3666328,0.56559676,21
22,-0.58611596,-1.7698675,-1.0228518,1.6766198,22
23,-2.0007365,-0.41235548,-1.0296489,0.09463313,23
24,-0.79686946,-1.0117868,-0.093676105,1.0746812,24
25,2.0195036,-1.0832853,-1.854129,-0.03374535,25
26,1.617339,-0.09918736,-0.042391226,-1.292407,26
27,-0.97978044,-1.8466882,-0.60856867,0.7031193,27
28,-1.4754752,0.10340958,-0.6661296,-2.4849741,28
29,1.1631031,-0.33876392,-0.74716276,0.70247114,29
30,0.65322447,-0.084230796,-0.44456223,-0.5399389,30
31,-0.0044744015,-0.21956155,-0.061334267,-0.80735886,31
32,1.3092004,-0.4577325,-0.9254867,-0.13219923,32
33,-2.5042288,-0.08341521,-0.8475948,0.43339714,33
34,1.2552472,-0.9314495,-0.51568455,0.97174037,34
35,1.1501313,-0.62510574,0.4427905,0.7686422,35
36,0.8003235,-2.1259127,-1.3395042,1.636509,36
37,-1.2187774,-0.011384249,-1.5513823,-0.8794163,37
38,-1.3165027,-1.1321769,-1.1683658,2.066457,38
39,0.26019573,-1.0168451,-0.19977328,-0.7835285,39
40,1.2605394,-0.3102193,-0.48752582,-1.5155734,40
41,1.9071772,-0.52315074,-2.245063,-2.0869694,41
42,-1.1844076,-0.014675438,-1.3372517,1.3614764,42
43,-3.9917016,0.33525375,0.48137537,2.454071,43
44,0.33731055,-0.91315204,0.18439065,0.5149239,44
45,1.5439342,-0.5387093,-1.312783,2.769939,45
46,2.1526146,-1.6651653,-1.5412614,-2.4647331,46
47,0.322725,-0.042524114,-0.07324129,1.1232193,47
48,1.0300131,-0.4755761,-1.8269532,-1.5838704,48
49,0.42237,-1.0252059,-0.19154662,-2.0960133,49
50,0.5919195,0.062651545,-0.6056459,1.2621024,50
51,3.8268144,-0.114044964,-0.32132238,2.0745125,51
52,1.8573623,0.25159755,0.044088095,-1.6512793,52
53,-1.4422977,-0.029501304,-1.4134603,0.57204705,53
54,-1.2646238,-0.36904323,-0.5206258,-0.7905507,54
55,-0.22944473,-0.06157136,-0.82672185,0.92766875,55
56,-1.084084,-1.1505456,-1.1495235,2.3825452,56
57,-1.5062197,-2.5239632,-0.88559055,-0.26485553,57
58,-0.2038001,-0.19096848,-1.4246477,-1.1941893,58
59,-0.44023734,-0.6484277,-0.8898376,0.8121915,59
60,1.2775195,-1.899576,-0.45839188,1.6707243,60
61,-2.4820158,-2.3085938,-1.5903568,2.2041,61
62,-1.7315128,-0.808504,-1.2493362,0.83293855,62
63,1.5475061,-0.14817859,-0.19828849,-1.4199369,63
64,-1.3839062,-1.1189016,-1.2170553,1.1249708,64
65,0.08662081,0.049641505,-1.131228,-0.8510848,65
66,0.61851716,-1.0054579,0.13119958,-0.98546517,66
67,0.792145,-0.6990314,-0.73111147,1.1366099,67
68,0.29441112,-0.5172329,-0.39715073,1.6371654,68
69,1.326589,-0.5552517,0.064350545,1.6910353,69
70,1.7847502,-1.9751447,-1.5687616,1.5786039,70
71,0.8302582,-0.66598123,-1.1619062,2.313525,71
72,0.18771107,-0.3990112,0.43830666,-0.4821083,72
73,0.011583626,-0.70843124,0.0010114647,-0.85271657,73
74,-0.8376207,-1.4919056,-1.0793643,0.7002486,74
75,-1.1402075,-0.29366505,-1.3687935,-2.2679884,75
76,-0.6426988,-1.3745474,-0.8008292,0.83226067,76
77,-1.3180239,-0.7816895,-0.7030119,-0.36027992,77
78,-0.6656046,-1.5047349,-0.7770066,1.2272918,78
79,0.24392131,-0.73272663,-0.92003787,-1.4566102,79
80,-2.0404916,-1.4597095,0.0064932853,2.4002979,80
81,-0.32629323,-0.6828418,-1.067014,1.09596,81
82,1.5810555,-1.7556709,-0.26558325,2.6174111,82
83,1.9662864,-0.16785115,-1.0069551,1.0611737,83
84,-0.017577827,-1.150408,-0.46856412,-3.4859986,84
85,-0.16944167,-0.20524636,-0.6542629,0.48619723,85
86,0.13565537,-0.039175004,0.6329847,-1.1270664,86
87,1.1083215,-1.4027499,-1.8018327,2.3060117,87
88,-0.8193326,-1.3693188,0.43778798,1.2867227,88
89,0.6712599,-0.2842965,-0.19956279,1.1091871,89
90,-2.1716008,-1.4844443,-1.0653523,0.83758414,90
91,0.6761706,-0.8123571,-0.2558808,1.3644882,91
92,-1.532373,-1.1715863,0.36387753,1.9475714,92
93,0.4279285,-0.34661713,-0.5939925,-0.69640106,93
94,-1.8485352,0.0022744313,-1.2856059,-1.2950586,94
95,2.1124983,-0.6450633,-1.3559737,-0.7304846,95
