,inferred dec temp,true dec temp,subject,inferred reward rate,true reward rate,inferred cached weight,true cached weight,inferred cached rate,true cached rate
0,3.0350852,4.6491995,0,0.47474524,0.49566776,4.8006682,4.578394,0.599575,0.71759284
1,2.2051983,2.715248,1,0.43087447,0.7025329,6.1876087,5.830763,0.20177366,0.17090487
2,2.0768661,1.713558,2,0.49935803,0.6464718,4.2025332,4.2744613,0.43611327,0.4161833
3,2.9560483,3.831209,3,0.41339862,0.4104541,1.9516951,1.4281896,0.6735132,0.7302017
4,2.238884,1.9483204,4,0.01206879,0.009353042,1.5982441,1.5746138,0.74472874,0.61874044
5,1.898782,1.5904152,5,0.6535017,0.58552486,2.3545058,2.1036935,0.6097092,0.90623677
6,5.015917,5.237421,6,0.79286927,0.7082858,2.9341655,2.409802,0.61433566,0.6881881
7,4.744569,4.850745,7,0.437,0.49981314,2.0698614,2.4378679,0.36068907,0.34223944
8,3.0654633,2.2402687,8,0.60807496,0.9027894,2.017184,2.6557646,0.7406293,0.90845364
9,2.272549,1.9466693,9,0.59632677,0.5961488,2.5697134,3.3324242,0.39404,0.42656004
10,5.0787215,5.1181583,10,0.21564539,0.20463234,4.107772,5.0667596,0.10455533,0.09356409
11,6.2027316,5.9848084,11,0.82666844,0.9453409,2.6826932,3.5282497,0.23936523,0.23652273
12,3.4677022,4.3223133,12,0.16889326,0.1345005,2.3734844,1.5844545,0.31055155,0.5601825
13,5.715883,5.873414,13,0.44250873,0.3872453,5.2811227,5.8033614,0.27852,0.29620063
14,5.852526,5.3100824,14,0.56510097,0.65453887,3.603917,3.3752882,0.030825408,0.02614683
15,4.2251215,4.916426,15,0.7255941,0.6206588,1.5947789,1.4110146,0.6278011,0.974543
16,4.359884,2.8679736,16,0.39244577,0.25872517,4.5722785,5.7000146,0.30243367,0.2533726
17,4.027264,4.756308,17,0.46648988,0.43717664,4.2551675,4.021063,0.3381159,0.36928517
18,4.197373,4.929819,18,0.57171226,0.58455104,2.7968535,3.698402,0.06639164,0.055572152
19,3.609868,3.7250247,19,0.8494052,0.870638,1.539586,1.4477892,0.7736797,0.83287746
20,2.3951495,2.2348232,20,0.095287204,0.06394988,4.466711,5.2725477,0.9247942,0.92160976
21,1.8043936,3.0366645,21,0.2305589,0.2893842,2.9098754,3.319008,0.7400659,0.9583556
22,1.4500998,1.311996,22,0.1796777,0.027899325,2.324672,2.7107954,0.8223992,0.97401214
23,4.4283943,4.63159,23,0.1007751,0.0832119,3.521798,3.6837354,0.44471914,0.422566
24,3.257016,2.3675735,24,0.30146736,0.27970243,4.575219,4.9291215,0.7101594,0.71285963
25,2.015924,1.4158714,25,0.7627214,0.8811078,1.5638772,2.2334523,0.6820984,0.7050743
26,4.208516,3.5402966,26,0.6076267,0.6480939,5.0279074,5.308348,0.24513422,0.20076239
27,2.3234918,2.5599391,27,0.38613677,0.40565008,3.0673716,3.2109985,0.712824,0.9368258
28,5.0793715,4.202901,28,0.25259566,0.27915812,3.2278247,3.9939356,0.089627124,0.09958458
29,3.1895046,4.9331093,29,0.7447333,0.490201,3.1709921,2.5946417,0.43209302,0.5026376
30,4.1671696,4.9619007,30,0.5228768,0.4281671,4.2804627,3.7514222,0.39643013,0.5240516
31,4.0096307,3.552645,31,0.40091524,0.47552347,4.414965,4.645439,0.3522204,0.3437251
32,4.36189,4.30812,32,0.7531534,0.8194297,2.1560326,1.8147857,0.41706255,0.3500622
33,4.7283,4.981595,33,0.06973328,0.06531626,3.0916452,3.250987,0.5268302,0.48623836
34,4.5873113,3.226608,34,0.79642063,0.718873,3.3016045,4.012521,0.7725884,0.9790139
35,4.222043,4.548463,35,0.8507655,0.9429244,5.401109,5.414834,0.6806285,0.6834801
36,1.3904606,1.2352688,36,0.5993301,0.45929527,2.4892592,1.8297918,0.73347265,0.67457634
37,3.9383285,5.0752687,37,0.18733822,0.19100195,2.9960337,1.0940535,0.3925209,0.28472787
38,3.1243472,3.4463809,38,0.21586888,0.1954745,2.288247,2.7316368,0.7616209,0.6718698
39,2.501204,2.2005138,39,0.6977113,0.8564597,4.2530293,4.3639956,0.33501738,0.35204524
40,4.3350325,5.1819496,40,0.87627864,0.9459264,3.3807979,4.111904,0.1902186,0.193308
41,4.425191,4.9338727,41,0.8657614,0.95736855,1.4669935,1.1839411,0.091197096,0.04556656
42,5.1086273,4.6698437,42,0.25802952,0.2360363,2.5656455,3.3373337,0.8547328,0.9678649
43,5.939003,5.7541676,43,0.025418213,0.024617791,5.3761396,5.6749363,0.8323,0.8973424
44,2.467142,3.0813923,44,0.6812219,0.6819821,4.692999,5.0348206,0.48574415,0.59180063
45,3.1222136,2.531254,45,0.764263,0.78586954,1.9637913,1.684999,0.7687037,0.98733944
46,1.5356113,1.5741394,46,0.54844457,0.4358878,1.8943436,1.1716671,0.26958746,0.04777813
47,5.338034,5.85302,47,0.7050291,0.6958204,4.0893893,3.8158355,0.7473959,0.97551054
48,4.95633,4.376363,48,0.708394,0.5887879,2.2072146,2.253618,0.7762463,0.8300394
49,2.0450232,2.2819867,49,0.48802254,0.5280692,4.2202296,4.3451796,0.09468013,0.08232683
50,4.2103558,4.493516,50,0.7448027,0.63908213,4.261004,3.4375467,0.77640235,0.7194041
51,3.8854213,3.4312975,51,0.86318606,0.8659193,3.89373,4.1881104,0.9089092,0.9654854
52,4.721831,5.249981,52,0.76285774,0.5827679,5.525833,4.804344,0.11678581,0.09620619
53,4.4258065,5.0047245,53,0.18419424,0.19558519,2.6984737,1.9257388,0.6066401,0.41347903
54,4.483365,4.6055245,54,0.19856305,0.12529033,2.4053788,2.2516456,0.32440165,0.35895765
