,locs0,locs1,locs2,locs3,subject
0,-0.7467597,-0.3535961,-0.08613679,-0.28923684,0
1,-1.1033337,0.13951042,-0.72281253,-0.7322763,1
2,-0.3053965,0.8416262,-0.8625886,-0.1592148,2
3,-0.94334793,1.986092,-1.2669296,1.0133005,3
4,0.8077842,1.4497056,-0.57577246,0.79313433,4
5,-1.1427927,-1.8509887,-1.3767457,0.5607211,5
6,0.77887917,0.37971723,0.22858101,-0.24249308,6
7,-0.18571651,1.7629006,-1.0549973,-1.9928627,7
8,2.2158532,2.3994124,-0.49417484,-0.6084795,8
9,0.81498474,1.3285842,-0.23042108,-0.004720874,9
10,1.2680095,1.3021555,0.5309558,-1.2432983,10
11,0.83709437,-2.2242281,-0.9427654,-0.42269516,11
12,0.34519318,0.17933854,-1.4723842,-1.1817117,12
13,0.7961324,-0.4880065,-0.90466505,0.148845,13
14,1.4488368,0.52961427,-0.29439268,-1.4874412,14
15,1.2825933,0.55231965,0.2787155,-0.22643483,15
16,-0.44111753,1.5817233,-1.9474397,0.4911919,16
17,0.8721728,0.5297961,-0.6419321,0.26288122,17
18,0.60786915,-0.17844939,0.034680806,-0.5047257,18
19,-1.224249,2.6200275,-2.3370235,0.93399286,19
20,-2.2295234,-0.87973857,-0.96565145,-1.5078003,20
21,-0.2630845,1.9726547,-0.3680459,-0.9480126,21
22,0.95634264,-0.34807527,-1.8524194,-0.857283,22
23,0.7720822,-4.812661,-1.3165017,-0.23819545,23
24,0.0063224435,1.1758584,-0.9803381,-1.0997484,24
25,1.3636388,0.38987404,-1.2449237,-0.29668698,25
26,0.49006307,-2.6464815,-0.42840984,0.2879758,26
27,-1.3333877,1.3134397,-0.5956085,-0.58276314,27
28,-0.73471355,0.3398412,0.041446745,0.2855341,28
29,1.5336715,1.8467491,-1.456181,-0.9616804,29
30,-1.2696877,-3.1442711,-1.2591044,-0.7119932,30
31,1.6969128,0.4478217,0.59774435,-0.3573424,31
32,1.252745,-1.6794144,-0.5495018,-1.2328132,32
33,-1.1798135,2.211938,-0.3607571,-2.3777015,33
34,1.4830585,-2.381641,-1.2666109,0.20372841,34
35,0.30020505,-1.236313,-1.5542016,-1.4906954,35
36,-1.0565114,0.8623879,0.027843475,0.8944353,36
37,-1.654264,-0.57599056,-0.8338342,0.438232,37
38,1.0343319,0.28682157,-0.37915522,-0.580237,38
39,1.5648388,2.5328882,-0.8367822,-1.2015132,39
40,-3.366324,2.1511087,0.6403551,-1.3519789,40
41,0.5974296,0.6401334,-0.28190127,-1.8910111,41
42,1.3503398,-2.2392592,-1.334846,-0.649119,42
43,-0.4523681,-0.0016411021,-0.29570535,-2.0945094,43
44,0.43874407,-2.5256824,0.6530275,0.44942033,44
45,-0.78223205,4.5983667,-1.1704149,0.2438124,45
46,-3.4416487,-0.0062722564,-0.45698887,-2.1433666,46
47,2.1035142,1.226168,-1.3851204,-0.950734,47
48,-2.022108,-0.12637843,-1.0740323,0.31483728,48
49,1.4951361,3.3610954,-1.747246,0.24113622,49
50,-1.0727879,-0.437143,0.43672243,-1.3852471,50
51,1.7410499,-2.9576225,-0.34008566,-0.19893487,51
52,-1.2447495,-3.1748157,-0.6183086,-0.15223986,52
53,-0.35253587,-0.55945516,-1.8089467,0.034399897,53
54,-0.5476022,-2.8337934,0.40092203,-0.86441755,54
55,-2.1634228,-0.89917594,0.104014665,-0.38827765,55
56,-0.8656037,0.9124437,-0.73825973,-0.30614984,56
57,0.38632876,-1.1550624,-0.8291491,1.0061948,57
58,0.7847279,0.542685,-2.428465,0.39730895,58
59,-0.30197325,-0.23192772,-0.19606861,-1.3650426,59
60,0.546416,-1.1172988,-1.2276958,-0.32171932,60
61,0.19701433,1.1316876,-0.04221355,-1.1260527,61
62,-0.50249827,1.5220098,0.17982376,-1.5798643,62
