,inferred dec temp,true dec temp,subject,inferred reward rate,true reward rate,inferred habitual tendency,true habitual tendency,inferred policy rate,true policy rate
0,2.7861617,1.3945571,0,0.5342966,0.05758679,5.7017956,3.8153775,0.33315894,0.075410485
1,3.3367677,3.780952,1,0.674954,0.32136744,4.9931273,3.3239532,0.3772809,0.14280933
2,2.4600084,5.3386593,2,0.51928216,0.66010916,4.7304373,5.559048,0.5351622,0.5340927
3,5.502859,4.69843,3,0.33053875,0.3690198,1.8294547,1.429162,0.26414138,0.2227323
4,3.5920641,3.2698784,4,0.6508256,0.701509,2.1702774,1.8060839,0.49977204,0.39660233
5,3.2470634,2.470492,5,0.52255845,0.7922737,6.358911,5.6003933,0.3207396,0.040295064
6,3.8042421,4.3689976,6,0.17185685,0.18025142,3.58311,3.9746304,0.3437173,0.33997375
7,5.4268794,5.6714487,7,0.10431463,0.10323441,1.3245507,1.394311,0.8030101,0.75092787
8,3.4499195,3.4251878,8,0.6409544,0.43464386,4.5282826,4.3656588,0.43423152,0.43555653
9,3.1606982,4.878397,9,0.47978798,0.55629706,6.368166,5.65855,0.76129675,0.7190406
10,3.3080254,3.2368815,10,0.8238044,0.94564176,1.5766885,1.6151519,0.6786859,0.66734934
11,5.7415624,5.4901133,11,0.7144526,0.6636051,3.0010507,3.1354473,0.31565168,0.39160985
12,1.7604648,1.959925,12,0.6275175,0.7375776,0.9279145,1.0157112,0.24983035,0.37788403
13,3.3712661,5.9188094,13,0.5900652,0.41230875,4.3986807,2.4637551,0.28479955,0.11132544
14,4.4215636,3.9373505,14,0.2996602,0.31295592,1.4476734,1.8284369,0.8013744,0.92875224
15,3.192513,1.7142768,15,0.696797,0.70104647,4.7597528,4.039336,0.46321326,0.2656244
16,2.6900756,1.7115104,16,0.5779774,0.82355523,4.682747,4.4257584,0.35064748,0.39621556
17,2.8693442,2.0412698,17,0.45192483,0.13231725,5.6633563,2.0923939,0.39225927,0.01168561
18,1.4170823,1.0853604,18,0.569889,0.27149945,3.8656254,4.0616055,0.56305134,0.51925075
19,2.5390656,1.7499728,19,0.1721268,0.8469206,3.4764628,3.3933592,0.28457698,0.36523092
20,2.3208165,2.2442322,20,0.33234063,0.56394815,2.5916927,2.6166215,0.7912947,0.7650849
21,3.291745,4.137631,21,0.7460524,0.68187845,1.6892043,1.9768671,0.80085874,0.91330796
22,2.9904137,1.3864286,22,0.28973058,0.068398595,4.398347,4.3590713,0.48559022,0.50711036
23,2.7670035,2.062214,23,0.5759073,0.90110946,4.9590635,3.6711588,0.22784369,0.03550458
24,3.2689657,2.3096168,24,0.5131215,0.6453133,1.1578931,1.4201887,0.22384836,0.21698415
25,3.2408562,3.8723974,25,0.48526677,0.40455043,2.62758,2.8390238,0.7950272,0.90974283
26,4.0171514,3.4342177,26,0.028574489,0.024531722,2.1305058,2.260692,0.47603372,0.4571799
27,4.1035676,2.1310246,27,0.5707947,0.7715475,5.4198337,4.1462784,0.23016545,0.03397101
28,3.530464,4.6670914,28,0.75267273,0.92283213,2.1782978,2.2147007,0.45344567,0.5111022
29,2.5558617,4.1523004,29,0.72651833,0.6900151,2.6495073,2.9231775,0.26418826,0.31002504
30,2.9243705,3.1714447,30,0.78673965,0.78532666,2.297858,2.5317407,0.598542,0.6876402
31,3.2875986,1.2044723,31,0.6013704,0.12963247,5.645863,5.465651,0.3757772,0.24796861
32,3.186835,3.4613352,32,0.208137,0.18163371,3.874629,4.005048,0.65489596,0.67135817
33,2.2395904,1.9650912,33,0.5905038,0.40900367,1.9338897,1.9218988,0.7531941,0.86874837
34,3.0422022,2.611782,34,0.28240845,0.23294145,1.7579077,1.5475566,0.044509027,0.027554572
35,2.4253588,3.6519055,35,0.5745858,0.6839419,2.196184,2.6261613,0.7938413,0.997982
36,3.161623,2.0257354,36,0.39347106,0.30471754,2.966434,2.4167514,0.35710442,0.32491136
