,policy rate,reward rate,dec temp,habitual tendency,subject
0,0.46992138,0.010963288,4.497834,6.1137204,0
1,0.53863794,0.91490525,1.2683108,3.981429,1
2,0.5922364,0.6776896,2.144524,5.2082205,2
3,0.3700614,0.36526045,5.9678288,1.9257938,3
4,0.41774672,0.6836056,3.0236542,2.0807006,4
5,0.46426967,0.250306,2.7276068,8.379123,5
6,0.2678393,0.19504416,5.2709527,3.47788,6
7,0.76523525,0.09065988,5.1489897,0.9412757,7
8,0.4316291,0.37185612,4.3214245,5.0340247,8
9,0.8795324,0.8764027,5.2710743,7.3996205,9
10,0.69972557,0.9192821,4.5586476,1.9074589,10
11,0.36306036,0.78063625,6.3082867,3.1834004,11
12,0.15741351,0.8389883,1.8231391,0.90482783,12
13,0.1929685,0.8879212,4.135432,4.1164417,13
14,0.77854186,0.32327887,4.554641,1.4938118,14
15,0.62261254,0.8833386,3.3789384,4.9647746,15
16,0.31104454,0.7610806,3.3360603,5.3293276,16
17,0.4645601,0.3602115,1.7821968,5.80172,17
18,0.56019175,0.5160083,1.7881136,3.9215124,18
19,0.19782083,0.026229804,3.9918675,3.1393063,19
20,0.49927875,0.28623027,2.2927814,2.1963391,20
21,0.860465,0.8141862,3.7596264,1.7180885,21
22,0.60139304,0.36815643,4.454053,5.2315245,22
23,0.12510622,0.75780386,0.9616586,4.8844724,23
24,0.16973372,0.40554976,4.021679,1.6335108,24
25,0.8199622,0.5464458,3.6419466,2.9504032,25
26,0.47880542,0.025139147,4.338053,1.5864606,26
27,0.4705881,0.8781955,4.005595,6.823072,27
28,0.5350001,0.865785,3.5260396,2.403139,28
29,0.30132675,0.8610415,1.256499,2.510657,29
30,0.563452,0.8626267,4.1238985,2.4574852,30
31,0.15328972,0.4663309,3.7177734,5.634795,31
32,0.6925974,0.24082525,2.7630696,3.891791,32
33,0.761325,0.66703737,2.3438842,2.3508053,33
34,0.02356507,0.07699292,3.3365183,1.8618269,34
35,0.8108614,0.66163385,1.8055385,2.3866801,35
36,0.32350147,0.3307094,2.8372602,2.683098,36
37,0.37737933,0.6744576,4.695357,3.8508472,37
38,0.1716818,0.18777077,4.736647,3.718647,38
39,0.31636772,0.3166084,5.489397,3.856245,39
40,0.36494538,0.8147991,6.542403,4.078817,40
41,0.4555592,0.16117872,3.1735287,5.7045264,41
42,0.84865564,0.8735735,6.0811715,5.1065993,42
43,0.66119605,0.5921592,4.7305913,5.1759024,43
44,0.5416269,0.30514345,3.6312673,6.0687933,44
45,0.42895702,0.56341845,4.259617,5.9622927,45
46,0.49434364,0.6059147,2.513998,2.4077575,46
47,0.75281525,0.57812774,4.4970183,4.126563,47
48,0.21808015,0.844929,4.373951,3.8704445,48
49,0.62639517,0.04077832,1.6925519,8.322666,49
50,0.9198119,0.7265094,2.5739174,4.1498337,50
51,0.3672754,0.46255168,2.2510307,3.4032798,51
52,0.45047683,0.25569218,2.3749025,0.9700091,52
53,0.77852106,0.85121006,2.3022306,4.943181,53
54,0.49142113,0.69270384,1.5269238,2.889505,54
55,0.15730941,0.94893724,4.307147,6.6588717,55
56,0.5628835,0.29895544,2.692855,4.110861,56
57,0.86207795,0.5564847,3.9840665,3.605676,57
58,0.86120623,0.2626531,3.3348255,1.7416141,58
59,0.06291936,0.6998716,3.2034817,4.5982842,59
60,0.40881464,0.49533376,3.1904755,1.7178242,60
61,0.35777846,0.81426007,3.324413,2.9117465,61
62,0.40997583,0.23685981,2.1788986,4.781811,62
63,0.63367474,0.7385567,4.9883814,2.2844539,63
64,0.36299807,0.22454318,5.710652,3.5036755,64
65,0.25911224,0.42618683,2.264747,3.1277447,65
66,0.7311988,0.49421012,0.8529648,5.149908,66
67,0.6194657,0.08062493,3.7439716,4.348881,67
68,0.8650611,0.25273296,2.7472086,5.4125667,68
69,0.3158577,0.23479708,2.5086718,4.8175497,69
70,0.20861515,0.45447662,2.3861907,3.5020676,70
71,0.67002326,0.41402146,5.863151,3.1373587,71
72,0.924018,0.2178886,1.804952,6.3971114,72
73,0.11568828,0.7049951,5.788456,2.627889,73
74,0.44050768,0.91800183,1.6679664,3.1999757,74
75,0.6029589,0.82748795,3.0049562,1.4987724,75
76,0.7622966,0.6021447,2.1786325,1.4789389,76
77,0.76551545,0.28836673,6.8441777,6.1748543,77
78,0.7939271,0.06212669,3.5003643,1.2889037,78
79,0.66322744,0.2985266,3.6439345,1.9052224,79
80,0.41601986,0.885335,4.063952,1.6877813,80
81,0.8543914,0.6734772,1.8756479,3.2984538,81
82,0.20041835,0.40419623,0.8963405,2.027509,82
83,0.33001718,0.20824592,3.4220166,2.8532443,83
84,0.053178377,0.059302304,5.9217434,6.0362153,84
85,0.74972785,0.7040628,2.2950244,5.055319,85
86,0.33474073,0.53952557,1.8997731,3.4094188,86
87,0.27943522,0.23673035,2.561473,3.297472,87
88,0.86109364,0.7372885,3.2698166,3.2703946,88
89,0.7036521,0.9193552,3.2800279,4.3670697,89
