,inferred dec temp,true dec temp,subject,inferred reward rate,true reward rate,inferred habitual tendency,true habitual tendency,inferred policy rate,true policy rate,inferred cached weight,true cached weight,inferred cached rate,true cached rate
0,4.1833653,4.7387786,0,0.41216853,0.43839604,5.4538026,4.580948,0.54724437,0.40640932,4.6193023,3.0383792,0.43225765,0.2593155
1,2.752865,3.0034065,1,0.5166392,0.51116043,3.0615294,1.7650533,0.6997776,0.6659059,6.272173,4.804867,0.3374328,0.14095438
2,5.309065,5.550709,2,0.41667175,0.36704826,3.5107849,3.1047015,0.34696266,0.0037656426,4.6347666,4.9550743,0.4459479,0.08456558
3,3.7287016,3.846345,3,0.71453154,0.58950573,4.312929,3.5951908,0.24241146,0.12922037,5.706914,5.810867,0.565959,0.452025
4,2.0238404,2.271493,4,0.6900516,0.65716606,3.1855068,2.8807735,0.5443198,0.5742814,4.4168534,4.5248976,0.7656122,0.9776389
5,2.4631288,1.713768,5,0.3664429,0.25806755,4.775541,3.386726,0.6957673,0.5543997,3.3212833,2.7094061,0.34337464,0.09133208
6,5.6157184,5.150375,6,0.72884804,0.82015723,2.795899,1.9931141,0.56830114,0.20785964,6.8456845,5.6820006,0.53972304,0.34598267
7,6.7869296,5.9381175,7,0.67420584,0.64976543,4.585881,3.8253646,0.66329235,0.51122195,5.1393933,4.9789686,0.2476878,0.14554644
8,3.7083507,1.3899941,8,0.42586282,0.3928035,6.3006234,4.628961,0.4912061,0.5715887,3.830094,1.537735,0.5778624,0.3537854
9,3.3588145,3.1646814,9,0.18328242,0.13383543,3.054535,1.6218874,0.6303865,0.3450367,5.2558503,2.3945227,0.72034323,0.7791472
10,4.617482,4.763488,10,0.39649555,0.30370295,3.4337904,2.9352505,0.74037164,0.7951006,4.5513115,3.411899,0.4504027,0.36655343
11,2.3822367,2.509926,11,0.6318019,0.006469369,4.812007,5.06295,0.33555034,0.38910562,5.4025564,5.8129654,0.56807506,0.4945169
12,2.7282507,2.015912,12,0.66141695,0.7977869,3.6427996,3.3214998,0.6639195,0.7816588,5.7765174,4.548397,0.34457663,0.37091458
13,1.9328145,1.6784632,13,0.46363074,0.029215455,3.6252,3.6387386,0.74695486,0.8711546,5.471321,5.2603946,0.38071093,0.28532654
14,3.3492613,5.337535,14,0.53538483,0.3468945,6.5843635,4.9739523,0.33160934,0.08446735,3.770125,1.5298036,0.6204772,0.91248566
15,3.3304455,1.500684,15,0.5754512,0.50161034,6.1986914,5.0297985,0.35201234,0.219971,3.951295,4.067601,0.6112822,0.5137709
16,2.4303465,2.026944,16,0.4160708,0.43706304,4.6827817,4.2846317,0.5970813,0.5515044,4.563224,4.2813244,0.69349223,0.6559818
17,4.7066445,4.3081455,17,0.65503633,0.54023856,2.8240566,2.008104,0.50598174,0.32345372,6.7563195,5.660412,0.562861,0.46566558
18,3.5871875,2.5117316,18,0.5042512,0.44240254,6.2136374,5.6813126,0.63032776,0.51218873,4.306221,5.433226,0.34758306,0.07845783
19,4.007447,1.6770122,19,0.38616902,0.45276242,4.7664623,2.8229804,0.4621607,0.24618644,4.6491485,2.5611372,0.64223814,0.16962296
20,4.480153,5.1970677,20,0.6133059,0.6306957,3.3010616,2.4039025,0.35457045,0.22824961,6.0859222,4.885637,0.62431115,0.51893747
21,4.8085155,4.58573,21,0.5663207,0.589665,4.1779795,2.4668193,0.5526632,0.2748239,4.295657,2.8412974,0.5384278,0.11929852
22,2.2779067,1.0953856,22,0.51608104,0.3401696,2.6750903,2.2784088,0.44398785,0.15541887,6.6100593,5.240761,0.4727205,0.28606147
23,2.3960478,2.8109562,23,0.6162444,0.5095041,2.8258522,1.6467535,0.79878396,0.8881394,5.888217,3.5887272,0.7215159,0.7511368
24,5.117191,3.6011248,24,0.2508271,0.34755272,4.761922,4.5869985,0.705394,0.6569534,5.6823983,5.485036,0.24553116,0.22539258
25,4.3690677,4.901741,25,0.48927686,0.14179188,5.5675974,4.084511,0.34951398,0.23545986,4.7807994,5.228676,0.6782315,0.9565196
26,6.6200204,4.8002453,26,0.3157361,0.25627077,3.2442007,2.0054696,0.33902314,0.2461636,3.1339018,1.3192272,0.7430167,0.65704685
27,3.443647,3.727007,27,0.62056935,0.48853344,3.9852853,2.4493098,0.618067,0.47351623,4.8663125,2.1117144,0.52090347,0.3809852
28,2.183467,1.243207,28,0.66369,0.86548495,4.7467713,5.000182,0.73966247,0.80781764,3.4550977,3.7891798,0.7392174,0.93405384
29,2.7239263,2.082017,29,0.4620014,0.49676895,5.428465,3.5063329,0.54064596,0.22805011,4.3576083,4.580378,0.63649386,0.060462654
30,3.8397892,3.7359924,30,0.6124236,0.79530567,6.1766906,3.4978127,0.34394023,0.15249133,3.8317726,2.677523,0.604449,0.8293725
31,4.844181,5.270071,31,0.69450784,0.79606426,3.2244837,2.1345103,0.38545325,0.21799731,4.479913,2.4713945,0.5965184,0.38613194
32,3.5657759,1.0436556,32,0.53130895,0.8955433,6.5572305,3.3434095,0.33146712,0.017905772,3.781193,3.9472363,0.62537396,0.90676945
33,3.2237148,3.600306,33,0.32266322,0.03685081,6.190791,4.899581,0.6688942,0.6134475,3.563691,2.3378928,0.6152607,0.03444147
34,4.100816,3.8930328,34,0.6082055,0.85313237,6.457087,5.697766,0.36220533,0.4326036,3.811726,1.4350386,0.5872223,0.87354124
35,3.7921128,2.173503,35,0.35939324,0.52521133,6.364734,4.632032,0.73419124,0.63931626,3.4827566,1.2019411,0.57423294,0.054909766
36,3.3301969,3.1129236,36,0.3584662,0.4202234,4.260034,2.943386,0.61377,0.3929435,3.845837,3.0882318,0.3849206,0.13792777
37,2.012027,1.2681428,37,0.7115127,0.6441288,2.4103806,1.2856586,0.61000746,0.47542596,6.47217,4.1327176,0.7505741,0.92885166
38,3.4540737,3.497724,38,0.31919953,0.43909878,3.0869439,1.1810116,0.755593,0.6585293,4.0726976,1.5048114,0.693757,0.254183
39,2.7087677,3.8337698,39,0.6662649,0.90592575,2.6075373,2.5860333,0.77628094,0.791234,6.8766227,5.9516997,0.7518929,0.84703124
40,3.406079,4.1045833,40,0.32921997,0.046213746,5.8964033,4.403984,0.59461224,0.45955157,4.2322125,4.4777904,0.5207335,0.03698349
41,3.4417827,1.5996945,41,0.5636453,0.4854204,6.6439667,5.9651504,0.336721,0.17883086,3.7152526,1.4006567,0.5930303,0.19819403
42,3.596699,4.1706915,42,0.5567406,0.25267464,6.5603027,5.665342,0.33464706,0.118623435,3.7455385,5.7122197,0.60505617,0.3868785
43,2.8943765,3.2662349,43,0.6891096,0.90526855,2.6431441,1.625959,0.7494007,0.5023126,6.942758,5.5102873,0.46732417,0.31323922
44,2.404064,1.6256872,44,0.6649059,0.6054751,2.9806275,1.0140927,0.7816558,0.6907931,5.126003,1.1346672,0.7233589,0.49628067
45,2.1114507,1.5967834,45,0.679613,0.880473,2.8966546,1.0258222,0.77197564,0.9745979,5.230832,2.1744025,0.7320679,0.7720552
46,3.8316646,2.7688632,46,0.51540464,0.89920413,6.314378,4.3604,0.37077665,0.16098768,3.870296,3.5056129,0.57722354,0.1270746
47,3.7293487,3.8033428,47,0.43297046,0.34017247,4.5033436,4.7446065,0.6958088,0.82271963,3.3223455,3.287598,0.40194607,0.4494021
48,3.1037467,3.976661,48,0.21101657,0.20451313,2.6948826,1.4525149,0.5518942,0.22947699,6.1634264,3.0336044,0.7703282,0.7617959
49,3.5646746,3.266737,49,0.45882398,0.40586984,6.51365,4.332941,0.34418783,0.041079402,4.010007,3.0525603,0.6019745,0.07234782
50,2.6632774,1.386044,50,0.55267227,0.96291417,5.8925095,5.075264,0.64489293,0.573196,4.004002,3.0483506,0.5672677,0.3522234
51,5.500913,5.2894697,51,0.17270741,0.13186926,4.231419,4.664159,0.62754965,0.68554235,3.8276863,4.551361,0.63050395,0.8269766
52,4.086526,3.74461,52,0.6220597,0.4473741,5.0075536,5.1625824,0.66376907,0.6490541,3.9260294,4.061645,0.4520328,0.3717423
53,5.012182,5.587678,53,0.71656555,0.99814606,5.731296,3.603403,0.50348693,0.27414054,4.3800297,5.5617166,0.55241007,0.01835239
54,3.126118,2.069662,54,0.62617135,0.29250544,5.7139745,4.354233,0.35697907,0.3905782,4.194166,2.9870508,0.6504635,0.9127
55,3.2539124,2.5399513,55,0.6760776,0.48011297,4.857612,5.296641,0.67943835,0.7089451,4.2867036,4.900783,0.32934266,0.39087808
56,2.212548,2.6217675,56,0.5510651,0.0065586567,3.405978,2.849253,0.48753816,0.32107532,4.8184958,5.442821,0.54060626,0.29220647
57,2.8813257,2.3597035,57,0.20235045,0.016024232,2.6121445,1.0270822,0.7157693,0.23808706,7.079769,4.9778004,0.64305854,0.32570493
58,5.166452,5.084083,58,0.38676983,0.31297946,5.4807987,5.2034955,0.715774,0.9250544,4.0640836,3.9222524,0.27613384,0.08304793
59,3.3301823,4.243038,59,0.66303074,0.9040958,3.7255888,2.6188383,0.44464192,0.4068306,3.915999,1.7729635,0.69605494,0.75693464
60,2.2596533,1.6995382,60,0.63308156,0.8111915,2.6915164,2.5214813,0.7439243,0.83577317,6.8398523,5.9796314,0.4169887,0.40601087
61,4.5697823,4.9871473,61,0.64230675,0.5470707,3.2481601,2.8450909,0.7346139,0.86863047,4.798345,3.4139814,0.50178707,0.5804347
62,3.9366186,4.8716516,62,0.6810552,0.70075434,4.4202228,2.7302072,0.3628489,0.11692566,4.23436,3.5380135,0.60324895,0.05124849
