,locs0,locs1,locs2,locs3,locs4,locs5,subject
0,-0.27928928,-0.3992399,-1.199307,-1.2815876,-1.1967008,0.3084552,0
1,1.7104917,0.419084,-0.7927147,-0.66797554,0.85925406,-0.39241144,1
2,-1.00906,-2.3758202,-0.9332708,-1.4221768,0.00638628,1.6161923,2
3,-1.6017973,-1.8286369,-2.1522176,-0.99735,0.3993462,-0.16792828,3
4,0.8688328,-1.338841,0.3735123,-1.7926826,-1.1749994,2.0492356,4
5,1.9808321,-1.1876532,-0.5424907,-1.1648903,0.26190796,-1.675565,5
6,-1.1085138,-0.0023069978,-0.6104394,0.07315487,-2.06966,0.53198946,6
7,-0.07123691,-0.45887327,-1.3468978,1.9052794,1.0932704,0.66676176,7
8,0.15086377,-1.2783556,-1.4682696,-0.24962544,-1.2268469,-1.0894897,8
9,-1.060156,-0.392197,-0.31684244,-1.1074303,-0.6377833,-1.8233345,9
10,-2.1427991,1.1719868,-1.4109156,-1.5469726,-1.2831109,-0.3003711,10
11,2.5224667,-1.9535313,-0.028555341,0.2735777,-1.1830469,0.6974358,11
12,1.7657368,0.42744738,-0.2094711,0.73878247,-0.5770092,-2.0030437,12
13,0.6877373,1.6038846,-0.47371915,0.28570634,0.1565133,-0.2303275,13
14,-0.19303185,-0.3454619,-0.925824,1.8145034,-0.32520604,-1.5177665,14
15,0.06600493,-0.9960706,-0.15283634,0.6581048,-0.58007497,0.9500214,15
16,0.21936475,-2.3684263,-0.958596,-0.7049091,-0.6906842,-0.5665013,16
17,2.065046,-2.3401666,-0.099840745,-1.9477978,1.2162232,0.28155103,17
18,1.335256,-1.0422345,-1.4937516,-0.95147496,-0.82416284,-0.95771,18
19,-0.83254874,1.2359774,-0.59941006,-1.3055434,-2.4160423,-3.0145016,19
20,0.40830982,-1.0418355,-0.153759,-0.22208992,-0.6353755,0.28038183,20
21,-0.7589666,-1.237743,-0.74826294,1.0212592,-1.2519758,0.5313455,21
22,-0.24923158,-0.53847194,-0.66174424,-0.510392,-0.30929637,-0.11385888,22
23,1.7549081,0.60686314,-0.28447175,-1.1677817,0.72706264,-0.47200245,23
