,inferred dec temp,true dec temp,subject,inferred reward rate,true reward rate,inferred habitual tendency,true habitual tendency,inferred policy rate,true policy rate,inferred cached weight,true cached weight,inferred cached rate,true cached rate
0,2.619666,5.0184474,0,0.15204868,0.1496641,4.637056,3.958426,0.35823858,0.32045186,3.3121347,2.409731,0.65642774,0.95995635
1,3.674594,3.4001293,1,0.119749814,0.123695135,2.9790108,2.27763,0.68687356,0.3558231,3.0141492,2.922843,0.549959,0.33203053
2,6.216673,4.9125066,2,0.50904816,0.53476614,4.116122,3.964508,0.78474087,0.92605007,2.7522576,2.184447,0.3114068,0.29541236
3,2.0017817,1.0357482,3,0.6614435,0.7557477,2.4820042,1.0522194,0.68591297,0.75574034,6.405721,5.2083564,0.34118414,0.32296795
4,3.6344213,5.394916,4,0.575745,0.614138,2.965995,2.1930058,0.62420785,0.22994626,5.4965744,4.9084363,0.41125718,0.32266045
5,4.2095623,5.0608306,5,0.55356646,0.43550223,2.6259737,1.4005792,0.2760815,0.071267605,6.3221626,5.887319,0.7309009,0.8153463
6,4.1591215,3.6323354,6,0.6002385,0.57915413,2.9782097,5.051953,0.7481279,0.8893217,3.7189634,5.9844418,0.51140016,0.6538369
7,3.037831,3.240872,7,0.588853,0.54033273,7.065476,4.134229,0.25153142,0.00052791834,3.3330512,2.6398969,0.6428401,0.1143806
8,4.808776,3.8121068,8,0.44266212,0.27579242,4.792093,5.112545,0.46279258,0.4685887,3.617619,5.1576376,0.5890685,0.6441588
9,5.294873,5.164066,9,0.14882378,0.10976505,2.9806802,4.079935,0.4751825,0.6932118,3.4148314,4.8635225,0.79950255,0.8345451
10,2.943362,4.175192,10,0.08922047,0.034989,2.6177387,1.6463152,0.22238882,0.06323129,3.8628607,4.3454638,0.21165328,0.11150527
11,2.2301612,1.4074627,11,0.7051436,0.310677,2.592026,1.1639348,0.6841217,0.51865035,3.0381963,1.3483671,0.74034196,0.8996065
12,3.0874052,2.4961686,12,0.58853185,0.99026865,7.1267967,5.223147,0.24332668,0.11079991,3.3653789,2.300384,0.62832433,0.72367245
