,policy rate,reward rate,dec temp,habitual tendency,cached weight,cached rate,subject
0,0.6600472,0.89735836,5.072895,2.4570043,4.2281523,0.44035566,0
1,0.42493448,0.35660768,1.1630628,6.268,3.452206,0.5053937,1
2,0.72256696,0.63601637,2.0502229,8.11946,6.0219116,0.3765918,2
3,0.8344505,0.8892557,4.80616,7.8807344,3.1345892,0.7721527,3
4,0.106471725,0.78403264,3.2438376,3.296646,4.7338696,0.62623507,4
5,0.5823447,0.9141804,1.8545133,3.9486146,6.0735793,0.39120787,5
6,0.6945084,0.15561254,5.353486,3.3858597,2.147713,0.9149624,6
7,0.6077395,0.7358163,1.7385007,2.6722307,2.1673777,0.20297556,7
8,0.790856,0.35714138,2.5884511,5.302478,4.5888467,0.815478,8
9,0.6204231,0.07979574,1.7933757,5.5539904,3.1516013,0.09552023,9
10,0.5889062,0.38696596,1.8879719,7.424179,4.010484,0.8857628,10
11,0.41409764,0.5851205,3.4857464,4.1658688,5.2985477,0.78982705,11
12,0.897616,0.7761612,2.638391,4.903795,6.652157,0.55950886,12
13,0.45451477,0.8619542,5.0152826,6.0861855,5.416109,0.26031554,13
14,0.5611651,0.62847376,3.948786,4.790194,2.3046594,0.29958707,14
15,0.44204432,0.6247869,6.062764,3.2739491,1.9925393,0.48830733,15
16,0.8282812,0.5263256,1.9805486,3.4934216,1.3307525,0.57087857,16
17,0.25880286,0.36429244,4.5353613,6.2334423,5.9357696,0.40539473,17
18,0.43356466,0.3196002,4.2902465,5.0155044,2.689123,0.12857202,18
19,0.32359198,0.4999003,2.340027,8.508167,4.505949,0.6049661,19
20,0.5264666,0.117451005,6.768244,2.9369748,4.4065075,0.23880401,20
21,0.764381,0.2813964,4.4465084,2.2675028,4.367971,0.28666714,21
22,0.81502825,0.38462818,5.0447206,2.3349967,3.0427022,0.4974572,22
23,0.9640303,0.6108244,0.7414769,4.6097884,5.3905706,0.6475824,23
24,0.075816505,0.68997663,4.146358,2.3580704,2.80795,0.75936,24
25,0.8351956,0.31172168,1.4682366,3.2964826,1.2235982,0.64402765,25
26,0.7653163,0.855343,3.7052667,4.1474824,3.5895727,0.6619898,26
27,0.57063407,0.017265758,2.1222785,3.7238564,3.8574293,0.90037155,27
28,0.6524812,0.42363182,1.7599254,7.7805243,3.0342844,0.8059434,28
29,0.28170547,0.5296853,3.1317737,4.391484,7.6384745,0.34123403,29
30,0.1700614,0.5729755,6.694493,7.5854836,1.7327878,0.18240076,30
31,0.94415736,0.6028316,0.9842826,3.015623,1.2332677,0.66829723,31
32,0.91398734,0.41740426,2.084282,1.6750889,7.486397,0.47293195,32
33,0.7007412,0.15214899,1.9549239,6.061382,2.7125003,0.76842153,33
34,0.15805814,0.94206136,1.5251793,4.329273,3.1857982,0.5468309,34
35,0.22280745,0.86474395,3.8424459,3.3507714,2.5740268,0.5181364,35
36,0.51935416,0.90275735,4.2449503,2.9058645,3.3242843,0.28857213,36
37,0.09599538,0.31042445,2.8273559,3.4809194,4.7487264,0.48701605,37
38,0.34161896,0.043040354,3.517778,4.4748645,1.7262537,0.642831,38
39,0.697686,0.7845729,5.4353504,3.2043612,6.4018364,0.5339625,39
40,0.6629159,0.7612011,5.451065,1.7489253,5.0654993,0.114962265,40
41,0.11711249,0.2736933,1.6885744,6.911579,3.5012712,0.8496579,41
42,0.14712946,0.034365974,1.3168654,6.8512225,3.613473,0.24457404,42
43,0.11378989,0.6896911,3.944687,1.2662269,4.0605206,0.8660916,43
44,0.68089366,0.09111745,2.7668653,4.9163003,4.374898,0.6385146,44
45,0.79492587,0.44229707,2.9791,7.661083,2.889728,0.46926707,45
46,0.48871943,0.48328912,2.6931634,6.920073,1.5634727,0.4077347,46
47,0.2758062,0.3416026,6.084409,3.36584,3.344194,0.74476504,47
48,0.6047676,0.70667964,4.261688,2.1728845,3.9451764,0.9228132,48
49,0.17505589,0.72707933,4.859769,7.298954,4.4669695,0.56008536,49
50,0.38509586,0.5425303,3.0689197,1.6314251,6.8068976,0.4646237,0
51,0.39228725,0.4901577,6.6854076,6.2333226,1.8921227,0.35100165,1
52,0.631359,0.61982745,4.616539,7.1027155,4.6865773,0.30713442,2
53,0.7842114,0.6116789,2.0601015,7.238229,2.731687,0.3192704,3
54,0.09092273,0.6179692,4.186657,2.6323185,4.426245,0.68499017,4
55,0.8487799,0.777016,2.0952797,4.8729954,5.620594,0.45480436,5
56,0.74334294,0.0856648,7.164435,1.9408455,2.0078528,0.5096214,6
57,0.6446124,0.8453321,1.6267126,2.8349118,2.323878,0.35174438,7
58,0.8534804,0.28405002,3.0517135,3.5685346,2.4595437,0.8423356,8
59,0.6911112,0.113111615,3.4526324,6.6396976,3.2994685,0.12701845,9
60,0.43060476,0.307024,2.397025,4.6206546,1.6706424,0.50356334,10
61,0.44716886,0.20875189,3.5517967,4.2107577,5.611538,0.68245316,11
62,0.8580424,0.49044898,0.72393805,4.151623,7.376818,0.3104214,12
63,0.66048247,0.21148214,1.7899538,6.492285,4.950036,0.3005198,13
64,0.7873348,0.8972537,6.582944,4.9364033,2.336494,0.2471011,14
65,0.2993745,0.5942763,7.2990704,3.1335626,1.7750324,0.745466,15
66,0.8198635,0.7637203,2.90648,4.886636,2.3723965,0.78095347,16
67,0.18837517,0.53360176,7.75875,6.83443,7.7769403,0.41433376,17
68,0.58142734,0.1712561,5.5983505,6.6279645,1.6164491,0.3648899,18
69,0.15720856,0.0675459,3.227606,7.0141,3.4555256,0.2925605,19
70,0.5758072,0.14663462,5.093842,2.4357865,4.0179405,0.24810469,20
71,0.53185505,0.42798653,4.96838,1.663294,6.3242664,0.31678966,21
72,0.8064913,0.51028186,4.97644,1.0171967,1.6190385,0.26927793,22
73,0.42456445,0.7176083,1.7895525,2.822565,4.2312775,0.478418,23
74,0.20231329,0.883516,3.740263,4.2957506,4.8642807,0.7368603,24
75,0.79794735,0.5613118,2.0165772,3.0343456,0.97991794,0.69034076,25
76,0.72164166,0.69811493,3.058745,2.1366467,1.1516272,0.4202062,26
77,0.4545716,0.010164845,2.4120207,2.8454926,4.1466084,0.81995976,27
78,0.43012807,0.8949023,4.6870937,6.365185,2.296494,0.4595716,28
79,0.16743156,0.5521165,4.3762107,1.9159883,6.0102377,0.25794253,29
80,0.2438548,0.95013124,0.8321006,7.591092,2.798376,0.14690323,30
81,0.7003766,0.39307252,0.8671462,3.633578,2.7704077,0.6478637,31
82,0.9120309,0.45601255,1.6056931,1.7063448,8.008418,0.5841434,32
83,0.79705244,0.18142949,4.0357647,5.898637,2.0128977,0.7043847,33
84,0.27981448,0.66208744,3.506804,6.947277,3.7688873,0.758735,34
85,0.24483465,0.9113425,2.3826723,3.617648,4.11429,0.6504259,35
86,0.42666093,0.48045787,0.6908974,0.99542373,1.2781734,0.15171504,36
87,0.08785695,0.1733919,3.7964292,3.2721496,4.9636264,0.44819105,37
88,0.4967538,0.016566502,4.5027313,5.2902565,3.3580751,0.869627,38
89,0.49501038,0.89226824,5.270729,3.1330607,5.7645693,0.44038427,39
90,0.6189859,0.8508765,6.175625,2.0779028,4.1659546,0.11070629,40
91,0.17822511,0.26040533,2.8068967,6.680298,2.0768766,0.6399166,41
92,0.1890299,0.24229093,1.8954927,6.388549,4.99377,0.8729585,42
93,0.5335567,0.6495492,3.50685,2.6489136,5.09032,0.84017015,43
