,inferred dec temp,true dec temp,subject,inferred reward rate,true reward rate,inferred habitual tendency,true habitual tendency,inferred policy rate,true policy rate,inferred cached weight,true cached weight,inferred cached rate,true cached rate
0,2.1916459,1.0244048,0,0.4871171,0.21101296,3.4216993,3.2425044,0.8095908,0.85895646,3.0779493,3.6839309,0.45985517,0.41411918
1,3.9997065,5.047542,1,0.7462759,0.93684167,2.8492475,2.8532605,0.21014227,0.18906885,3.0168536,2.5609095,0.5199463,0.25649494
2,2.411843,1.583621,2,0.13967785,0.09501839,2.8520112,2.7974637,0.47801837,0.51245654,1.875403,2.6568635,0.67244864,0.9217984
3,3.5065694,1.7307031,3,0.54219735,0.36817998,6.2369943,4.347553,0.52062815,0.34016758,4.1794295,4.638633,0.4748614,0.22709411
4,2.9164577,4.4622817,4,0.5609866,0.64041275,6.803747,5.0212207,0.2881129,0.22410166,3.072381,1.3412142,0.5611634,0.6447735
5,1.7574906,1.2332705,5,0.6935192,0.6924446,1.8841766,1.6206304,0.8569657,0.94166756,1.8659556,1.0508049,0.7469516,0.8553009
6,4.6482306,1.267122,6,0.4292581,0.5365539,5.3925376,3.5895314,0.3153395,0.11399573,4.205102,5.280718,0.56913084,0.23129237
7,2.7242343,1.9066072,7,0.7661587,0.59839344,4.7692738,4.7882204,0.7190687,0.73170114,2.4816482,2.6439862,0.68635416,0.6062717
8,2.846213,1.7282839,8,0.5507472,0.38536066,3.7197452,3.4826608,0.74377215,0.7963681,4.350518,3.651868,0.7849596,0.8358838
9,2.0041807,1.0041598,9,0.5000482,0.8129105,2.767411,3.7999635,0.2924956,0.30630106,2.9053423,5.341544,0.17256486,0.32059884
10,3.5240982,3.0671344,10,0.2174154,0.20845044,1.2022427,1.0315907,0.3360267,0.28810364,4.980134,4.157802,0.35653916,0.37182957
11,1.8538904,1.9847242,11,0.44270423,0.42380244,0.98148316,1.1413733,0.7813629,0.9513807,2.1356406,1.8910105,0.71628284,0.8636287
12,3.0611978,1.2996224,12,0.4570023,0.68218654,4.4228196,5.8578343,0.6245662,0.6875612,4.6482687,5.5195656,0.24156253,0.43800187
13,2.2862413,1.9485474,13,0.7891262,0.65815336,1.3184729,1.3594953,0.33528242,0.42202145,4.952916,5.794193,0.8952422,0.9753556
14,3.8974707,2.019615,14,0.51565844,0.22714919,4.931649,5.762985,0.50161123,0.6382616,5.116022,4.3180184,0.26666278,0.56639326
15,3.2368484,1.380798,15,0.57108396,0.76675105,6.8936934,5.09105,0.5836092,0.41855758,3.168831,4.3888817,0.51176435,0.11024737
16,2.1757326,2.6539521,16,0.06000284,0.039988756,1.8581458,1.9824226,0.7655654,0.7793803,2.2306938,2.5483804,0.5994456,0.9730221
17,5.943023,4.0330787,17,0.8669357,0.8840023,4.6543217,4.164237,0.6970457,0.6869,2.2938342,1.7249987,0.67306435,0.72678494
18,1.9371524,2.1256242,18,0.6716278,0.6970385,4.1746435,5.128994,0.4076845,0.44016778,2.6975558,3.5112982,0.8134663,0.963767
19,3.6873872,2.4430394,19,0.44921154,0.81391215,5.335848,4.247353,0.25359955,0.15115774,5.1090403,5.3162484,0.5334393,0.46398902
20,2.4391675,3.0277002,20,0.46412164,0.049332142,5.3829346,4.582883,0.29525888,0.20703119,3.2813118,3.2813659,0.44398743,0.6583245
21,1.7568575,1.4310486,21,0.6253562,0.02247572,1.5431162,1.2515612,0.71662754,0.77067816,6.6177077,5.9592524,0.8770863,0.9308598
22,6.068467,5.735435,22,0.8155379,0.670217,5.213834,5.282613,0.6300745,0.6259015,5.7881455,5.0706925,0.50736564,0.6282641
23,3.9330626,5.3646183,23,0.67791116,0.53221,3.4867258,3.6079926,0.6762644,0.68504566,1.4338044,1.1483059,0.43089843,0.3292669
24,3.629508,4.2676888,24,0.7153302,0.733322,5.2915936,4.6473823,0.3023275,0.18548489,4.141609,3.3302965,0.74929225,0.5563947
25,1.977626,1.4601705,25,0.585449,0.57374054,3.0135396,2.5216637,0.49156335,0.51510704,5.6580744,5.280231,0.7371272,0.5796285
26,1.901278,1.7064164,26,0.31282052,0.023885429,3.9810805,3.9628327,0.46110517,0.44668257,4.4860263,5.5361366,0.2705913,0.22345895
27,4.3862557,5.691897,27,0.07826588,0.09962124,3.2829487,2.9787197,0.1564158,0.1061216,6.3486876,4.6971326,0.86396277,0.6916834
28,3.6641774,3.9512522,28,0.347069,0.4097625,1.7027676,1.5489705,0.76848865,0.80127436,2.9725034,3.3421552,0.12846994,0.10251814
29,3.4948394,1.4225383,29,0.5438484,0.63409203,6.6054697,5.9042196,0.2722409,0.18153274,3.6273859,2.5267224,0.53041315,0.9272886
30,4.1435204,5.662314,30,0.54203707,0.60017985,2.8822873,3.2181299,0.64713657,0.7233766,3.9788141,4.718047,0.054647446,0.02113092
31,3.0356886,1.9222338,31,0.51333034,0.77474326,6.6781564,5.54148,0.30200893,0.05177307,3.0033436,5.856032,0.507331,0.74102116
32,1.9514734,2.8742576,32,0.63027465,0.85504,3.9130425,4.231565,0.72887707,0.7976851,2.6126473,2.425362,0.8489944,0.85416275
