,policy rate,reward rate,dec temp,habitual tendency,cached weight,cached rate,subject
0,0.3686325,0.9608726,1.603044,4.6489334,4.073723,0.70337445,0
1,0.24399413,0.16002886,5.7011366,3.8465455,2.3462846,0.045355905,1
2,0.056023624,0.3105243,5.3641157,2.3805017,3.8164697,0.5959954,2
3,0.20314166,0.89908445,2.1256628,2.3831413,0.4716849,0.6151786,3
4,0.07491471,0.8784983,3.9442766,4.705228,4.1325088,0.7212535,4
5,0.89723253,0.32612878,2.0397549,5.1757307,1.6816224,0.3143518,5
6,0.88112223,0.37550536,3.0317972,3.577666,4.5862164,0.60139596,6
7,0.82048714,0.77596563,4.901892,4.056323,4.8367615,0.91297996,7
8,0.7138429,0.7319008,4.7324257,2.290533,3.4058526,0.44150198,8
9,0.26086432,0.9136487,7.763644,5.450814,2.3634188,0.31435886,9
10,0.42164677,0.65605307,1.6795408,3.6480947,3.8565454,0.2469936,10
11,0.597023,0.7827855,2.3686843,1.9862742,1.9580995,0.080667175,11
12,0.30152366,0.80050725,6.3573403,6.748809,2.1807284,0.09679964,12
13,0.042604018,0.10275133,1.6648161,1.5048428,2.1191123,0.86623394,13
14,0.93526524,0.7519127,1.5634931,1.4409529,3.6492574,0.8566537,14
15,0.11609854,0.9040685,3.774016,2.3350747,2.684368,0.49774316,15
16,0.7974377,0.20268844,3.3427591,2.497318,5.2025337,0.55443573,16
17,0.6339219,0.10408535,4.850272,1.2483286,4.9011426,0.81228244,17
18,0.8874143,0.7308441,5.6119866,5.946316,5.66996,0.5252965,18
19,0.5940213,0.04350974,3.3385863,2.9520464,1.1911408,0.55879444,19
20,0.8173736,0.3390938,4.774005,4.85553,1.6870952,0.3988134,20
21,0.5170912,0.4099087,0.98809016,6.070314,7.2818513,0.1507454,21
22,0.067137055,0.9861123,0.32160437,1.7868085,7.763076,0.9255035,22
23,0.7609849,0.40703434,4.1441007,3.712759,4.634989,0.71044695,23
24,0.2509285,0.37758845,4.8455067,6.51219,5.7770824,0.8654284,24
25,0.6253995,0.82989746,3.9002645,4.7151537,4.4723625,0.9384175,25
26,0.3321268,0.44734594,2.9006376,5.1249638,2.0894036,0.856808,26
27,0.79617244,0.49462608,3.0598063,1.6945026,4.6341324,0.84751266,27
28,0.8855172,0.08760709,4.4643073,5.1884027,0.7705804,0.7319329,28
29,0.10780223,0.49716386,3.8914533,1.8069898,1.9063244,0.7671139,29
30,0.52061236,0.65249556,2.187524,2.736399,6.970891,0.73648447,30
31,0.9190299,0.8873431,1.3194615,4.239797,2.8999236,0.72904307,31
32,0.26915687,0.5134439,4.224198,3.6108983,2.085122,0.122741506,32
33,0.74105686,0.39457265,6.93618,4.158759,4.2372456,0.918049,33
34,0.786598,0.15093337,4.915151,1.9971919,2.193281,0.7211168,34
35,0.13057205,0.63525474,2.8428411,2.1607194,4.671455,0.41544718,35
36,0.57431483,0.9071283,3.4525094,2.1517096,1.8390119,0.30115536,36
37,0.38812357,0.80127555,2.0370781,2.5063987,2.4144099,0.4541984,37
38,0.25864613,0.5802369,1.2960869,7.2086315,4.853223,0.65066385,38
