,policy rate,reward rate,dec temp,habitual tendency,subject
0,0.07692138,0.593513,4.0489874,0.3697513,0
1,0.47868806,0.3381901,2.063502,0.5134613,1
2,0.19056608,0.7752189,5.453348,0.07403206,2
3,0.05932951,0.75858796,4.451195,0.17579097,3
4,0.5035436,0.20140603,4.570265,0.27903646,4
5,0.30129454,0.6513349,2.1945992,0.20738223,5
6,0.8848829,0.48698518,1.5891999,0.8514472,6
7,0.07516732,0.73096204,5.746219,0.10125453,7
8,0.1271267,0.29027,5.233923,0.16106729,8
9,0.49098256,0.22368146,0.92873776,0.58090377,9
10,0.7579953,0.38143617,1.2119453,0.62502044,10
11,0.3280787,0.35600147,7.119291,0.1948002,11
12,0.23955731,0.6004161,7.123765,0.27697858,12
13,0.54263663,0.20952186,2.8275907,0.6934241,13
14,0.3714772,0.17554146,1.4764835,0.30025476,14
15,0.1782224,0.3305647,3.6862562,0.69727945,15
16,0.73107445,0.19733073,6.603176,0.89863944,16
17,0.062337805,0.6367347,3.615029,0.13564356,17
18,0.52052236,0.69382066,1.6078784,0.36953428,0
19,0.52128655,0.72969615,1.9962234,0.4550975,1
20,0.07508722,0.91570395,3.712717,0.41765928,2
21,0.30351758,0.8851519,5.363805,0.29196954,3
22,0.8245243,0.17884532,4.6282077,0.5209433,4
23,0.3363593,0.8437748,4.0910287,0.4493685,5
24,0.47077447,0.73648554,1.8342891,0.6370248,6
25,0.16317911,0.77842385,4.7174535,0.29417238,7
26,0.069644205,0.29430184,6.374565,0.6368712,8
27,0.47401047,0.6390666,1.9524949,0.32391128,9
28,0.24324101,0.3793503,2.0685263,0.72550905,10
29,0.7484163,0.39143693,7.384535,0.4282347,11
30,0.4899505,0.5845756,4.7741513,0.6941376,12
31,0.55910456,0.2449502,4.966492,0.42227688,13
32,0.60406166,0.14944893,1.3735626,0.7586187,14
33,0.6862594,0.56557184,2.6939754,0.74935836,15
34,0.40546438,0.11732311,4.4918637,0.808094,16
35,0.45902187,0.654082,5.0481863,0.52661467,17
36,0.6042035,0.78355527,4.3559036,0.511434,0
37,0.94003826,0.600239,2.8966408,0.7524034,1
38,0.8346071,0.4807621,1.5833969,0.22785942,2
39,0.6124789,0.61985445,3.141624,0.3443799,3
40,0.16146016,0.12777364,4.4766436,0.362752,4
41,0.41024542,0.6310928,3.5836082,0.6539997,5
42,0.13703227,0.77320623,3.4325194,0.56516933,6
43,0.29339245,0.68766296,3.4851284,0.6251745,7
44,0.032540876,0.3062844,6.5539665,0.18669197,8
45,0.8975148,0.55574733,2.443306,0.5817004,9
46,0.41591963,0.49806288,1.163244,0.61632335,10
47,0.17206554,0.35217905,7.3204465,0.63373095,11
48,0.7806039,0.23169029,3.1057954,0.60888696,12
49,0.7009058,0.3361902,3.7689128,0.45771196,13
50,0.34937033,0.37334773,1.3800611,0.81968147,14
51,0.9419751,0.485495,2.6488762,0.5217786,15
52,0.32678258,0.15064482,6.5434957,0.80982476,16
53,0.7343536,0.5634521,5.136935,0.14291081,17
54,0.40949163,0.9332532,4.9742813,0.2107982,0
55,0.92850024,0.5751267,1.8569474,0.28183135,1
56,0.49783668,0.76530635,3.54828,0.19566216,2
57,0.52034765,0.6998912,4.4064755,0.37614277,3
58,0.6132622,0.122107595,4.713444,0.28885785,4
59,0.21646385,0.7012644,2.6356707,0.27337763,5
60,0.6129781,0.69908094,2.1956139,0.7696315,6
61,0.19217187,0.84382975,5.089591,0.2297421,7
62,0.3513495,0.35197324,4.7340674,0.4139513,8
63,0.7026089,0.4302808,3.957653,0.30677003,9
64,0.9508808,0.34272885,2.4849818,0.68363684,10
65,0.3795148,0.30942237,7.959361,0.79498774,11
66,0.786061,0.355682,3.2797256,0.39877576,12
67,0.16391186,0.3389187,5.3941765,0.80495244,13
68,0.5048063,0.5937311,2.824369,0.21230717,14
69,0.64146143,0.72411984,4.3083353,0.7072895,15
70,0.8831776,0.15865707,6.5026355,0.79459625,16
71,0.9474635,0.6083898,6.634691,0.7177851,17
72,0.44216222,0.8912647,6.701448,0.4094,0
73,0.07032478,0.8095617,4.0845013,0.6285039,1
74,0.023673894,0.86559254,2.7952318,0.18907651,2
75,0.36775818,0.78392637,3.1291986,0.30406213,3
76,0.66564065,0.15736875,5.771363,0.35935506,4
77,0.7407285,0.8035421,5.4440126,0.25620517,5
78,0.54885614,0.744944,1.877851,0.4320401,6
79,0.5609199,0.6910995,3.804512,0.34890872,7
80,0.41583815,0.4175234,3.7866945,0.4546618,8
81,0.55680823,0.17192307,1.2207165,0.34103963,9
82,0.21777818,0.72343594,4.6777587,0.70380265,10
83,0.63550514,0.3207405,8.443056,0.6170312,11
84,0.731071,0.5447426,5.115381,0.41393182,12
85,0.69224614,0.21217717,3.6759992,0.25802723,13
86,0.15552105,0.5513044,1.4034255,0.7378551,14
87,0.3317315,0.85778123,3.128842,0.90997475,15
88,0.042697195,0.16670226,6.154895,0.50292295,16
89,0.9366816,0.55875397,4.723953,0.5595003,17
90,0.45551196,0.90918106,4.958833,0.31354558,0
91,0.34609893,0.7757838,2.605069,0.58762836,1
92,0.65664834,0.4191914,2.7447429,0.25803658,2
93,0.209032,0.8627824,2.9628406,0.38211223,3
94,0.1000153,0.14596036,5.2847805,0.4527404,4
95,0.75103086,0.88081247,7.2508335,0.07887657,5
96,0.6114187,0.5461792,1.0551832,0.87082005,6
97,0.35014293,0.9006151,4.858742,0.37902498,7
98,0.26796854,0.31342253,5.2403903,0.3139279,8
99,0.2571349,0.40346062,3.3268247,0.802427,9
100,0.57057285,0.36506578,0.8579672,0.88452214,10
101,0.8420991,0.33301225,7.4310727,0.46307576,11
102,0.34454384,0.5218762,4.7083344,0.25297934,12
103,0.19375443,0.1983145,4.221926,0.30095294,13
104,0.92272305,0.17924652,1.2903552,0.20356265,14
105,0.84712195,0.35699257,2.38353,0.79090244,15
106,0.39299095,0.13055834,5.4916725,0.71050644,16
107,0.6461117,0.6689636,4.4344754,0.19066316,17
108,0.071185134,0.79210603,2.7620304,0.29526594,0
109,0.5846844,0.47128043,2.5514731,0.6170737,1
110,0.24970542,0.6489887,3.9961002,0.4959454,2
111,0.80846596,0.7979068,3.697929,0.29309517,3
112,0.14587452,0.22654542,4.529878,0.26711965,4
113,0.33307293,0.75199205,3.923305,0.046561606,5
114,0.35309353,0.85317546,4.9983163,0.5841616,6
115,0.63161635,0.5877496,2.2183487,0.11713072,7
116,0.6965037,0.22679357,4.5174794,0.20400006,8
117,0.4175579,0.6686611,4.395817,0.8325168,9
118,0.29750317,0.6855447,4.307869,0.57271725,10
119,0.33003038,0.5241615,8.156198,0.29791385,11
120,0.23252393,0.29543456,5.1347733,0.38548288,12
121,0.2969028,0.3564602,5.3598666,0.5487735,13
122,0.39332289,0.5441796,2.258198,0.689471,14
123,0.88916487,0.07558629,1.0889075,0.7689235,15
124,0.16143379,0.16348122,5.303458,0.92875993,16
125,0.029363688,0.5826394,4.3306236,0.45420015,17
126,0.82346046,0.7864397,4.5254345,0.664875,0
127,0.50804096,0.9148786,3.2352707,0.5633297,1
128,0.65091103,0.79699373,4.0259957,0.37372524,2
129,0.40171394,0.8315729,6.322011,0.22869192,3
130,0.7433765,0.16272454,5.539644,0.47610655,4
