,locs0,locs1,locs2,locs3,subject
0,-2.7102969,-0.072639376,0.37213963,-1.3938484,0
1,-0.2027641,-1.473493,-1.6358826,-2.1375818,1
2,1.7112516,-2.5657902,-1.8180048,-0.78773594,2
3,1.2176094,-0.8585113,-0.70973325,1.7293397,3
4,-2.3289914,2.7386565,0.7375525,0.82116395,4
5,2.9086332,-0.02095896,0.58385473,-0.99028397,5
6,-1.2623466,0.9735484,-1.5630376,-0.65637386,6
7,0.6832928,-2.602508,-1.8648643,-1.9206669,7
8,1.0934116,-3.1010869,-0.69435966,-1.3759879,8
9,-0.3887988,0.33572733,-1.3614235,-0.46083915,9
10,2.2628918,0.011868119,-0.89247835,-1.2685,10
11,-1.3537276,0.00128901,-0.8215453,-1.0697763,11
12,2.4814508,0.1364995,-0.5300702,1.5938193,12
13,3.163825,0.19504935,-0.84135586,-0.26197052,13
14,0.013481189,-3.1210976,-1.1875714,0.004126638,14
15,0.34470972,0.8108958,0.075493276,-1.0230482,15
16,0.4490481,-0.9898405,-0.58264714,0.9504994,16
17,-0.32119602,0.32660973,0.67422616,-2.1977465,17
18,-0.50515896,0.2796424,-0.16596763,-1.8412828,0
19,1.5263176,2.0465956,-1.1955547,-2.6420603,1
20,0.8924273,-2.1058657,-1.2344493,-0.29557893,2
21,-0.1816002,-0.24507077,-0.962451,1.5523403,3
22,-0.85141027,-1.1505045,-2.2865868,1.3937248,4
23,0.17174439,0.01668778,0.9417395,-2.400415,5
24,-1.086246,0.4008714,-2.2177362,-0.6799527,6
25,1.1627874,-1.1243596,-0.78738225,-1.352623,7
26,0.47268775,-2.9633055,-0.340379,-1.9521657,8
27,-0.023173824,1.1431911,-0.073102,-0.8680458,9
28,-0.61979985,1.487225,-0.5933983,-0.99731624,10
29,0.3201438,1.6965263,-1.5852141,-1.0717511,11
30,-1.5352546,0.4009762,0.043537796,1.7849913,12
31,1.0824461,0.6462962,-0.028055727,-0.3564772,13
32,0.58411276,-0.85506755,1.4144522,0.73363876,14
33,0.62378776,1.7733521,0.99759185,-0.5924283,15
34,2.5780299,0.15885377,-1.1818924,0.6918304,16
35,0.12073277,0.057524547,0.8658672,-2.9602704,17
36,2.2648706,0.040804222,0.06838444,-1.7608551,0
37,1.3976384,-0.07533224,-2.1054032,-1.7579211,1
