,inferred discount,true discount,subject,inferred learning rate,true learning rate,inferred dec temp,true dec temp,inferred weight,true weight
0,0.71285164,0.97743106,0,0.92728966,0.9833113,4.975288,5.4513865,0.36062333,0.47630668
1,0.4750391,0.03378278,1,0.3809146,0.43528545,1.0248938,0.7714187,0.4892354,0.24082178
2,0.4590423,0.53067315,2,0.43650272,0.5022552,3.1902335,3.3999474,0.6595791,0.8674434
3,0.41490933,0.38765997,3,0.43066195,0.44329196,3.7839546,4.0863466,0.48075575,0.20835745
4,0.5006862,0.052623868,4,0.060212594,0.043241084,3.6517437,3.5293703,0.5025082,0.8083085
5,0.49337244,0.50833434,5,0.23360275,0.02982527,1.2895918,2.6247663,0.5991548,0.7048161
6,0.4698598,0.22992462,6,0.20081522,0.005865693,0.8872963,2.3460093,0.48804075,0.44076365
7,0.23160984,0.40880376,7,0.6559403,0.6603457,4.675293,5.554172,0.6882987,0.8511146
8,0.21045917,0.048487425,8,0.37389603,0.39954472,2.9886305,3.8093386,0.4584672,0.23464012
9,0.24851276,0.29819787,9,0.32853693,0.29966718,5.103709,5.76993,0.38174525,0.036591113
10,0.11405337,0.11218834,10,0.5045628,0.68209004,4.738455,4.2307973,0.17867714,0.0403533
11,0.31884372,0.51883835,11,0.19521792,0.22318584,3.6848097,3.6012673,0.6240038,0.8444344
12,0.668565,0.9966107,12,0.82900256,0.8183675,4.6893096,4.7198033,0.6309801,0.77949685
13,0.41399926,0.12764806,13,0.20680661,0.04115987,1.2913253,1.5626407,0.5142947,0.22186631
14,0.29706633,0.5307544,14,0.5609882,0.44245994,3.3830025,3.7863579,0.6993456,0.76261204
15,0.4368046,0.8014638,15,0.27119,0.40684998,1.1019678,0.22408032,0.48695958,0.58920056
16,0.50481474,0.7277117,16,0.7449442,0.70033395,3.992653,4.5726905,0.81234336,0.8923579
17,0.4750137,0.19918108,17,0.21216995,0.21946585,1.3069402,1.8009156,0.56052107,0.4475811
18,0.64766884,0.9191967,18,0.6313955,0.50532836,4.5282354,3.9780726,0.3076147,0.25710964
19,0.25916654,0.43040448,19,0.880224,0.81920266,4.2272577,4.2450833,0.72512305,0.89833593
20,0.3838632,0.36748552,20,0.50815225,0.57011193,3.6798208,4.229653,0.5663413,0.63353175
21,0.44994822,0.8329402,21,0.15357135,0.17080486,4.4745235,4.034858,0.6917208,0.74506307
22,0.8744956,0.96953523,22,0.51262856,0.60835904,4.5182977,3.98638,0.12271207,0.24514866
23,0.41617367,0.71738553,23,0.5160836,0.3560834,2.4840388,3.0356047,0.19791025,0.2739334
24,0.43845385,0.26499265,24,0.3279645,0.34522057,3.709503,3.742734,0.38365662,0.36102867
25,0.3481156,0.14467525,25,0.5629458,0.5677209,4.3223643,5.1195297,0.61268395,0.6240577
26,0.7258119,0.8445439,26,0.3507353,0.28777915,3.4386754,3.5273829,0.22620481,0.2670291
27,0.6602965,0.89092064,27,0.5051539,0.6774967,1.2988269,1.19112,0.3766027,0.5429248
28,0.4873439,0.25363117,28,0.4671859,0.4828496,0.9932138,1.1265957,0.45214936,0.50063515
29,0.6615574,0.5647508,29,0.893748,0.8581925,5.15741,5.1714754,0.7073114,0.6366007
30,0.7470116,0.5631849,30,0.4261052,0.45199555,5.05396,5.806015,0.5533524,0.56331265
31,0.44354242,0.34644663,31,0.31887048,0.27951103,2.667237,2.424069,0.71183157,0.20573282
32,0.51982576,0.20421594,32,0.5521741,0.5553976,1.4551835,1.1705829,0.5061395,0.15913117
33,0.40721837,0.80359155,33,0.4513646,0.42480284,3.8349028,3.437138,0.57565856,0.99209464
34,0.25681758,0.057377875,34,0.6432477,0.6834333,2.7807178,3.606935,0.40731835,0.10094988
35,0.599986,0.7945172,35,0.22200947,0.17033976,1.6965854,1.2036781,0.52333856,0.113197565
36,0.29597926,0.026345909,36,0.6638385,0.5773314,2.524284,2.9156005,0.49897102,0.91422963
37,0.47280365,0.8845947,37,0.12273914,0.026424348,1.7389671,3.5778213,0.4243649,0.33041435
38,0.46021184,0.2450943,38,0.36993,0.7495071,0.74322766,0.56601584,0.4558034,0.46786618
39,0.4669563,0.25731695,39,0.38082397,0.22452754,1.3380346,1.4317607,0.47474518,0.37617123
40,0.4798053,0.6476872,40,0.48947242,0.33513647,0.799447,0.6765064,0.49841616,0.07906318
41,0.38644296,0.14948374,41,0.119737886,0.03165126,3.6975484,3.3758583,0.49727076,0.42734063
42,0.4256261,0.94544184,42,0.38253692,0.3001696,3.9092886,4.4377313,0.37616608,0.61986375
43,0.339878,0.27195555,43,0.44556135,0.52980393,4.0870686,3.7389865,0.7386443,0.6723117
