,locs0,locs1,locs2,locs3,subject
0,0.40136513,-2.5098648,-2.013415,-1.8490314,0
1,-1.3915685,1.0965428,-0.2715264,2.0469759,1
2,-0.65532684,1.2839121,-1.5498381,-1.4549057,2
3,-0.19416451,0.52509475,0.012876838,-1.0946805,3
4,0.6200828,-2.9238942,-0.88498044,3.212936,4
5,2.3018684,-2.2084422,1.2356306,0.16489075,5
6,-0.547281,-0.8652647,-1.7059702,-0.96585923,6
7,-1.8806393,-2.5200088,1.4033318,0.20162874,7
8,-0.82844675,0.8187423,-1.7429738,-1.8899177,8
9,-0.95412827,0.48045772,-0.64563686,-1.42244,9
10,1.0262307,-1.7130681,0.43692124,1.0140257,10
11,-0.35799998,2.0392027,-2.5261505,-1.8067274,11
12,2.6793137,-0.855701,0.7815895,-0.4078109,12
13,-0.15477315,-2.0160422,-0.1404053,-1.5592632,13
14,-0.03874448,-1.6069438,0.39216703,1.0843197,14
15,-2.5779047,-1.5068742,-1.0971438,0.544506,15
16,-2.0209923,1.8017715,-0.06683397,-1.613481,16
17,-1.3991789,1.8525885,-0.40667713,0.40797848,17
18,-0.81225145,-0.74204016,-0.20727763,-1.0038613,18
19,-0.36218762,-0.016306758,-1.0586321,-0.7945212,19
20,1.2917839,-2.3380241,0.06937966,1.1662364,20
21,1.3685737,-0.37453303,0.29622352,-1.3049549,21
22,-0.23695293,-0.5882057,0.97888637,1.5126358,22
23,-0.5312623,2.0607,-1.8627719,0.87640905,23
24,-0.017570436,-2.785237,2.012246,1.2166646,24
25,0.13186342,-2.3603814,1.7535021,1.1659056,25
26,2.7825599,1.5469856,0.6132932,-0.7775267,26
27,-0.41480893,0.6053697,-1.5525467,0.23700285,27
28,0.18764001,-2.603851,3.3713632,0.6078728,28
29,-0.7359556,0.69182473,-1.554254,1.5893246,29
30,0.47165143,-2.3467994,0.96901816,1.3502679,30
31,-0.06714984,-1.2657415,-0.52709717,1.5146654,31
32,-1.6833953,0.54726505,-0.9910917,1.0751529,32
33,0.2244085,1.2200935,-1.575685,-2.3946993,33
34,0.9477005,-1.4928194,0.69714,0.03350289,34
35,0.42161384,-1.3026303,1.8133206,1.2693253,35
36,-1.9368416,1.14536,-0.22563016,1.0106025,36
37,-0.598387,-1.0176935,1.4459985,-0.4514805,37
38,-0.91554046,-0.6983271,-0.43641445,-0.89222604,38
39,-0.6804332,1.3026007,0.10859087,1.4657993,39
40,0.66012937,0.7044407,0.83187103,1.7120173,40
41,-3.7483544,-1.5656685,-0.8636695,0.20728755,41
42,0.30338538,0.53710115,-2.8648574,-0.022202313,42
43,-0.43572295,1.5266259,-2.131687,0.5224487,43
44,-0.7918057,0.6012969,-2.6991305,-2.2081447,44
45,-1.5807543,-1.6760089,-0.89211684,-0.74029505,45
46,-1.6163305,1.1884856,-1.7807082,-1.5810804,46
47,0.33878863,1.1184869,0.028877467,0.43442047,47
48,-0.12381204,0.56949425,-0.88786733,1.1160598,48
49,-0.2726245,-2.1666532,0.60630727,0.49267894,49
50,1.8349357,-2.5007355,-0.47349095,0.85399115,50
51,0.9259976,-2.1694703,-0.57668066,-1.9220929,51
52,1.3481328,1.7097049,-1.016511,0.41679573,52
53,-0.102146566,-1.7801943,-0.13067907,-2.0770903,53
54,0.7512608,0.8445784,-2.0736425,-2.7714586,54
55,0.28550935,1.8419869,0.016612321,-0.90848064,55
56,-1.2746472,-1.7731189,0.47736892,0.17892672,56
57,0.8269093,1.0189303,0.30789542,-1.90042,57
58,-0.011794031,-0.77330494,-0.7685145,-1.932765,58
59,-0.40146077,-0.5518748,-2.5451822,1.5785449,59
60,-0.24798548,-0.08403635,-2.3942673,0.35591686,60
61,1.1051087,-0.29404035,-0.116312,-0.35559034,61
62,0.3859679,-2.33226,0.5507275,1.204195,62
63,-2.1539657,-1.0310493,-0.99901927,-1.6523665,63
64,1.9834814,-0.39187223,1.2593291,0.43027163,64
65,0.17844713,-1.7286853,-0.07373023,-0.13929226,65
66,-0.49578804,0.05616516,-0.73438436,0.56569695,66
67,-0.015056968,0.9103206,1.0260656,-3.08858,67
68,-0.32039607,-2.1242642,-0.32863116,-0.901191,68
69,0.63395816,0.66394365,0.43342194,2.053515,69
70,-1.5123508,1.230782,-1.7206991,0.6897735,70
71,1.4957062,-2.3366342,-1.872167,-2.070713,71
72,0.9617041,-1.5892502,0.09309586,-1.3063743,72
73,-2.2557638,0.826349,0.30617213,-0.020102002,73
74,-2.3652427,0.88371503,-1.542666,0.16166052,74
75,-0.4039514,-0.8938951,-1.6223522,-1.5851514,75
76,-2.8517475,-1.8623914,-2.1239536,-2.6153657,76
77,0.25013447,-0.744485,0.7304311,2.6291308,77
78,0.39816546,0.10608661,-0.38189936,-1.5124408,78
79,3.155086,-2.1096683,-0.30949152,-1.8165451,79
80,-0.068574846,0.0103747845,-3.1631818,-0.36798954,80
81,0.84412766,-2.0339012,-1.3463813,-2.615656,81
82,-0.9059517,-0.4469627,-0.30616695,1.0955653,82
83,-0.30198622,-1.3684313,-0.5499001,-1.4659653,83
84,-0.7123888,1.411858,-2.5117743,-0.00833986,84
85,-0.70492214,1.7903175,-0.033907533,0.5776035,85
86,-0.23979688,1.4392159,-0.4928335,-0.9430188,86
87,-2.4103024,-2.371484,-0.9824158,0.046424687,87
88,-1.8004036,0.969253,-1.6887066,-2.6264057,88
89,0.25518593,2.0119066,-1.2967578,-0.70474315,89
90,0.8782841,0.7188928,0.67028564,-0.10405278,90
91,1.0033511,0.5952543,0.10849658,-2.0421898,91
92,-0.4668321,-0.7892971,-0.19265404,-0.25142634,92
93,1.0322051,0.8067338,1.9653473,-0.3289115,93
94,-1.4144806,1.9157135,-0.12734091,-0.6216224,94
95,1.052314,0.61753905,0.8773649,-1.9243696,95
96,-1.4721866,1.7030231,-0.10709143,-0.26398087,96
