,inferred mb weight,true mb weight,subject,inferred discount,true discount,inferred mf weight,true mf weight,inferred learning rate,true learning rate
0,1.3954688,0.18376529,0,0.63544655,0.46802956,1.8113769,2.8273244,0.31827804,0.3214599
1,3.2103307,4.365032,1,0.5714551,0.16964686,3.8973477,2.740531,0.09802312,0.085927546
2,2.7670882,0.9046308,2,0.5867874,0.1312182,3.8948176,5.365843,0.20269057,0.20077753
3,0.82140297,0.34491527,3,0.34384313,0.89262336,0.8755626,0.42957437,0.7137197,0.53038037
4,3.3307524,2.5252554,4,0.6358204,0.44056582,3.228896,3.5800838,0.77719104,0.78853446
5,0.89458203,0.07127309,5,0.77586716,0.8069828,2.7419693,4.0227704,0.8238861,0.99084485
6,2.2635229,3.716765,6,0.26852182,0.21305442,3.0858834,4.979383,0.42265022,0.4532227
7,4.4334188,4.2270575,7,0.503145,0.29016715,2.8914077,5.781764,0.53045624,0.5335081
8,3.7375348,5.8727326,8,0.58513856,0.5696064,3.2648246,5.351176,0.63519585,0.716991
9,0.9799778,0.43151665,9,0.6467191,0.71343917,2.0601006,2.4563298,0.7842765,0.79062897
10,1.9415361,1.0500087,10,0.19869831,0.053711355,2.5374188,5.930669,0.548402,0.53570825
11,3.2798812,3.2390428,11,0.56187856,0.7262089,3.3497725,2.46775,0.63681144,0.58121383
12,2.0106673,1.5799216,12,0.15830243,0.18153197,2.322829,0.8063314,0.37325752,0.23947525
13,3.7792263,3.1326537,13,0.4778408,0.43483818,3.41001,3.4011264,0.14890546,0.17601818
14,3.6582298,4.0846324,14,0.4329606,0.6219773,3.3296244,2.887963,0.3476071,0.3739742
15,0.96408087,1.225777,15,0.67028415,0.69039446,1.5430472,0.80310166,0.30380294,0.27593768
16,2.2629874,3.4792285,16,0.6651763,0.54944915,3.7556288,4.024783,0.37679005,0.38732553
17,0.9732492,0.71811175,17,0.6608822,0.7009572,2.2354498,2.412034,0.80687827,0.8517993
18,2.4890513,1.4672399,18,0.59487647,0.36187387,3.5847666,3.9850612,0.3655453,0.31158763
19,3.5981526,4.647973,19,0.2110463,0.144759,2.310057,5.497043,0.40341032,0.51837444
20,3.3919892,2.11485,20,0.5282174,0.68531245,3.7236128,4.9295816,0.07475556,0.084926784
21,4.398144,4.114934,21,0.3207602,0.28780633,2.9398205,3.238977,0.46255997,0.46017033
22,1.69817,2.3665438,22,0.63984734,0.8982601,3.617438,5.7130427,0.20348279,0.19759542
23,3.402096,3.369048,23,0.54582226,0.71763664,3.2975552,1.9869812,0.71217114,0.7108236
24,1.8473765,1.5807441,24,0.49496222,0.24530536,2.4243424,4.8456225,0.8362701,0.9925725
25,2.2393262,1.8983442,25,0.5793323,0.6209436,1.6286552,1.0979372,0.78576016,0.75657994
26,2.7558556,3.2067425,26,0.21496248,0.045978546,1.4623061,0.67159545,0.3656323,0.3182274
27,2.989399,4.2574506,27,0.7910371,0.748293,4.476206,5.6614885,0.6199973,0.6990077
28,3.1067948,2.723985,28,0.22438909,0.14635015,2.0805943,2.4101465,0.45972064,0.481371
29,3.5225315,4.9444494,29,0.5990514,0.8215862,3.4131923,2.6364074,0.78549254,0.83702505
30,3.0954397,0.48701298,30,0.63145596,0.5371309,4.1823974,5.0451617,0.077917986,0.02760911
31,1.103086,1.1969798,31,0.6266587,0.5956094,2.1008518,2.176265,0.20356816,0.19995898
32,2.793877,2.6064334,32,0.6090596,0.27372694,3.8862898,5.8840833,0.16138107,0.14055204
33,3.3150122,3.632816,33,0.5650007,0.6073044,3.7858365,3.4620173,0.16741094,0.16594756
34,1.3845972,0.16233122,34,0.7647959,0.9027845,3.5775118,4.3497095,0.8395563,0.8698547
35,0.84986967,0.82452965,35,0.20560892,0.046896815,1.1897328,1.3564779,0.6714707,0.7928188
36,4.995057,4.904692,36,0.12661679,0.00859499,1.3905379,1.8021369,0.15564089,0.11875868
37,2.4768124,5.041708,37,0.39172083,0.37749153,1.3468453,0.82567585,0.4100293,0.4781028
38,3.729957,4.0347443,38,0.2419168,0.4236812,1.3118691,0.5579413,0.838422,0.9502454
39,0.64444983,0.85860085,39,0.358716,0.24843466,0.6708613,0.8320162,0.6622163,0.46046567
40,1.9546478,1.989854,40,0.62739015,0.66453576,3.7050567,3.1064963,0.18432848,0.21157986
41,4.06401,4.1625967,41,0.25398532,0.24996203,1.2840698,1.9326435,0.8317874,0.9910677
42,3.3870366,4.648882,42,0.50337696,0.4639632,2.3867886,3.9693599,0.80589294,0.92576516
43,4.4539266,5.086324,43,0.4652519,0.45257974,2.6951985,2.6227076,0.68334204,0.7277254
44,3.4667265,4.2142215,44,0.5360075,0.546329,3.7198346,4.142716,0.09702403,0.15625519
45,3.6066353,4.8735886,45,0.27302575,0.37017065,1.3318975,0.4541874,0.8245426,0.89671373
46,3.6023536,2.8130317,46,0.41794124,0.16766202,2.519486,4.4592347,0.32472125,0.30948782
47,2.682605,1.6580018,47,0.70592666,0.67495793,4.1186156,2.5539775,0.33895192,0.24997729
48,2.1080709,4.262582,48,0.64716274,0.91929483,3.8199854,4.518958,0.21885617,0.2853061
49,2.665361,2.4615047,49,0.31660107,0.34472948,1.6779125,2.550686,0.7946669,0.96060544
50,1.4594966,0.20644498,50,0.12542783,0.12878364,2.365246,2.1622775,0.08122275,0.033558607
51,3.932069,0.8391373,51,0.34565374,0.5571406,2.9719486,0.7761229,0.09593608,0.006659746
52,1.8864038,1.712701,52,0.47823715,0.72703224,2.076733,1.2219822,0.63440955,0.5839841
53,3.470674,5.5710993,53,0.5871644,0.6887237,2.1853619,4.0429864,0.8626935,0.9964884
54,1.9441141,1.3706421,54,0.73520267,0.9668183,4.194526,4.4107494,0.29152417,0.28611052
55,1.9578236,2.458343,55,0.6885062,0.7287685,2.8784595,3.7916086,0.71882474,0.7856548
