,discount,learning rate,mf weight,mb weight,subject
0,0.5328706,0.23492855,1.5550978,1.1102566,0
1,0.4118296,0.085666075,3.9140148,5.1837926,1
2,0.95457095,0.2458137,3.3065639,4.2842984,2
3,0.35365003,0.75380623,0.76617926,0.6096612,3
4,0.46283492,0.7056302,2.7826142,3.7851443,4
5,0.8062422,0.94823295,4.218373,0.6094182,5
6,0.15641336,0.36570778,3.8804135,2.0459585,6
7,0.43299994,0.41336623,2.076136,4.1040053,7
8,0.7123471,0.7216863,3.9156518,4.3151712,8
9,0.55681115,0.7496307,2.147615,0.44761634,9
10,0.17391452,0.61601585,2.2586584,3.3325744,10
11,0.47725,0.51902556,2.75121,2.3640122,11
12,0.121658236,0.36167938,1.488446,2.5181305,12
13,0.39948264,0.1338353,3.824177,1.7037288,13
14,0.44941935,0.3749769,4.0824804,4.558725,14
15,0.56522644,0.29807344,1.6875486,0.79114425,15
16,0.760566,0.27735025,1.615205,1.9852856,16
17,0.7051885,0.8215579,2.524046,0.88358116,17
18,0.6119599,0.31687722,2.9935167,1.5766804,18
19,0.16042267,0.5527474,4.944103,4.241025,19
20,0.78758085,0.04071068,2.739876,5.225468,20
21,0.22162685,0.42921504,2.3943138,3.941778,21
22,0.55807984,0.16926254,2.5190213,2.9782195,22
23,0.6655587,0.6823296,2.097702,3.5314183,23
24,0.4814339,0.8163393,2.0639458,1.0099444,24
25,0.55422693,0.721621,0.9591145,2.980201,25
26,0.16222775,0.40037587,1.7835763,3.305314,26
27,0.80661315,0.5053607,4.2658625,2.510778,27
28,0.19852115,0.73067373,4.5702486,4.324168,28
29,0.6445803,0.7971842,3.4567823,4.112473,29
30,0.51530224,0.07385099,3.6613245,5.237029,30
31,0.7544483,0.20878294,1.9374924,0.36282614,31
32,0.7039429,0.15375659,1.9604526,3.078425,32
33,0.6561132,0.18556389,4.726538,2.0027297,33
34,0.68544286,0.8025857,4.134733,0.2936838,34
35,0.25971258,0.56674826,0.8653623,0.4576304,35
36,0.08650958,0.17794262,1.4788964,4.986923,36
37,0.48474437,0.38280624,0.87587297,2.7767482,37
38,0.212491,0.85042644,0.66133386,3.8768191,38
39,0.19871198,0.7283747,0.6365116,0.7884872,39
40,0.63765717,0.16289118,3.2984626,0.95552677,40
41,0.12894683,0.8241052,0.927951,3.6178083,41
42,0.38210228,0.6881355,2.177887,2.5579834,42
43,0.3497566,0.68101054,2.726935,4.846079,43
44,0.61936677,0.08006391,3.5468595,2.2652485,44
45,0.17365216,0.8708821,1.6809329,3.5740085,45
46,0.38947383,0.31422076,1.7199521,3.2035236,46
47,0.746618,0.2845623,3.5674915,1.4662316,47
48,0.34236586,0.17756064,3.2453606,2.5895057,48
49,0.29714227,0.7384714,1.5650865,2.172068,49
50,0.09262813,0.110518865,2.322178,1.2727561,50
51,0.09776586,0.14815745,4.9534025,4.469533,51
52,0.36966798,0.766759,2.206386,3.3100429,52
53,0.68126374,0.8581016,1.538469,3.692234,53
54,0.77927166,0.28665623,4.2888527,1.3243785,54
55,0.75093585,0.7450261,3.2242603,2.3684075,55
56,0.84851325,0.6337788,3.9921205,1.2637224,56
57,0.7635745,0.7174755,0.48644727,3.5700216,57
58,0.7504126,0.23021191,3.235011,0.8164592,58
59,0.2772814,0.7274802,0.5070236,0.83540213,59
60,0.6313371,0.18565711,4.7326593,2.749871,60
61,0.41567954,0.6639123,4.211501,1.5338948,61
62,0.26517645,0.45255893,1.0083723,3.1026006,62
63,0.27485025,0.46706122,1.9153805,3.4363766,63
64,0.12622425,0.28773525,1.319268,2.6120903,64
65,0.3744569,0.47172827,4.5653887,1.9803703,65
66,0.3062861,0.34025088,0.8280394,5.196657,66
67,0.6176816,0.5421445,4.425931,1.7145878,67
68,0.57285756,0.80886984,3.2939663,0.8251593,68
69,0.53691864,0.68387616,4.470006,5.2186947,69
70,0.5440544,0.57929045,2.9679575,2.2516532,70
71,0.24929278,0.06611247,2.6976063,2.3452601,71
72,0.6792581,0.065896675,1.8599701,3.4067936,72
73,0.32846823,0.25556964,2.633574,4.19207,73
74,0.5678427,0.08828812,4.324083,1.85344,74
75,0.40240327,0.5820327,0.3608419,1.1712484,75
76,0.14795661,0.17850688,1.6200533,2.3871624,76
77,0.15232629,0.20612998,4.639,3.477654,77
78,0.55400527,0.6575859,3.1130326,2.6165426,78
79,0.8040411,0.31028298,4.0109286,3.6333914,79
80,0.6784887,0.68900424,4.5909657,2.3652024,80
81,0.61959434,0.1272063,4.211833,2.3707957,81
82,0.43815595,0.21298382,3.084063,2.6847336,82
83,0.33251905,0.89758456,1.6888486,1.4308965,83
84,0.77392024,0.6900327,3.3991337,2.6808872,84
85,0.83444816,0.8691489,2.9152484,1.9030676,85
86,0.038879704,0.5802684,4.143255,5.058024,86
87,0.7630215,0.76110464,2.6201668,3.6390734,87
88,0.14854373,0.09663066,4.1947947,3.0229268,88
89,0.5383934,0.54354084,1.7631216,3.4879098,89
90,0.77173036,0.29371372,2.1079185,1.1938298,90
