,locs0,locs1,locs2,locs3,locs4,locs5,subject
0,-0.17229652,0.75711685,0.47969857,-1.9745932,1.9618119,-0.930232,0
1,0.02533403,2.4781017,0.22043973,0.4870049,1.2724041,-1.2433847,1
2,-0.31883565,0.65803456,0.20795065,0.92793167,0.49136007,0.124519765,2
3,0.010888927,-0.7177137,-2.142675,1.091835,0.29152817,0.50189406,3
4,1.6461612,-0.734488,-0.3962813,2.6065147,1.4433856,2.4185932,4
5,0.6162211,0.009608269,-0.632167,-0.534963,1.9684691,-1.1527517,5
6,0.88123775,-1.3526124,0.01806271,0.9549002,1.1790397,-1.2304976,6
7,0.391823,1.3804362,-1.5170575,1.8848808,0.8314312,0.5879015,7
8,0.8110159,3.551618,2.126401,-2.6573567,0.2028378,-0.64229405,8
9,1.0546334,1.0596055,0.24898404,-1.7839692,0.42310297,0.6318008,9
10,-0.37732917,-2.309762,1.5525172,0.025018334,0.73461056,1.7759247,10
11,0.86685115,-0.27000672,0.35977173,-1.6694059,2.9418998,0.5591284,11
12,0.76951355,-1.4770262,1.0805583,0.66656786,-0.26864365,-1.3508615,12
13,2.1969001,-0.70450187,-0.7650844,-0.69203585,0.017164223,-1.1341419,13
14,0.24394226,0.5150376,1.6010122,1.5292165,-2.4206905,-0.06586826,14
15,0.2686107,-0.057923764,0.12981646,0.30723456,-1.571357,-1.461576,15
16,0.32677585,-1.1858671,-0.7355794,-1.8587558,0.36558968,0.12348652,16
17,-1.8669965,-0.477094,1.8443391,0.5217852,-1.7996936,-0.40492618,17
18,1.5181693,-1.6021852,1.00417,-1.1130764,0.09690046,-2.4373403,18
19,1.2497938,0.25288045,0.4552644,-2.5081081,-0.4572471,0.2114557,19
20,-1.6573898,-0.23969325,0.7896137,2.1512733,-3.426051,0.669613,20
21,-0.90519845,0.1383177,-0.019235969,1.2511699,-0.776502,-1.7099985,21
22,-1.6484083,0.17427093,-0.37041184,0.025243372,-1.0639042,0.93901765,22
