,inferred discount,true discount,subject,inferred learning rate,true learning rate,inferred dec temp,true dec temp,inferred weight,true weight,inferred prior lr,true prior lr,inferred prior weight,true prior weight
0,0.52854955,0.28357798,0,0.78058887,0.7857525,3.1299253,2.8188744,0.41883734,0.47255403,0.300461,0.41775143,4.9678636,4.724451
1,0.5235436,0.41431975,1,0.8742139,0.84295624,3.7559986,5.283783,0.46988365,0.59280044,0.35019013,0.3690139,5.1947913,5.6982546
2,0.56329066,0.4586162,2,0.64368236,0.60183114,3.465431,3.6426322,0.60203856,0.6002026,0.56296897,0.5724543,3.2489345,3.4143112
3,0.48855934,0.09717679,3,0.30883107,0.035815597,1.4163073,4.4291744,0.543126,2.7894974e-05,0.6454602,0.6736592,3.1369364,2.845089
4,0.5539983,0.650296,4,0.33210894,0.27442396,3.6071248,3.729417,0.51728255,0.1883946,0.8268827,0.86707723,4.4790916,5.5229406
5,0.5604724,0.92695624,5,0.26749817,0.18579382,2.4252353,4.3144636,0.49182355,0.17785686,0.2040118,0.18813175,4.8371077,4.4252853
6,0.5270754,0.46041447,6,0.21209055,0.25850952,2.0072405,0.86609745,0.49135602,0.25395334,0.2180762,0.27234155,5.104456,5.937871
7,0.48866287,0.9771129,7,0.3817011,0.7846901,1.1395249,0.43798935,0.56185776,0.29797918,0.76267856,0.797693,3.6944327,3.3462806
8,0.7747839,0.761046,8,0.9044371,0.76286006,4.6836934,4.94576,0.2853576,0.28452438,0.3528929,0.36980653,3.287484,2.8236215
9,0.54737324,0.34028912,9,0.8434673,0.96036714,4.152253,4.8804035,0.44256005,0.6844667,0.6996316,0.6576683,5.015282,4.6296916
10,0.40279874,0.5491543,10,0.10652053,0.101040125,4.101113,5.215823,0.60866714,0.7215326,0.8108394,0.857303,3.6237597,4.4260707
11,0.5589463,0.483755,11,0.45802078,0.56396884,1.8179433,2.068306,0.46275884,0.11904496,0.53368384,0.510491,4.8109746,5.319378
12,0.39990538,0.3858174,12,0.21313165,0.28693712,5.0966444,5.2528353,0.72048104,0.81446356,0.27729493,0.31904393,2.511034,2.1668777
13,0.54513276,0.283508,13,0.35279456,0.5413945,2.2950907,1.9103998,0.46150532,0.3434981,0.16182712,0.19869035,3.1589165,2.8422904
14,0.30236164,0.4676453,14,0.7770776,0.6274906,4.7468224,5.873911,0.80625343,0.9047788,0.2551583,0.26218796,0.74071485,0.2091626
15,0.62975323,0.55047154,15,0.5345442,0.3763156,3.0726202,3.5932653,0.44777498,0.0715251,0.23729913,0.37499756,0.82979286,0.2438246
16,0.44738623,0.5173487,16,0.2538198,0.30167848,2.3094184,2.2027674,0.5954629,0.5859512,0.7349176,0.7895095,3.5643303,3.392528
17,0.3439433,0.22500885,17,0.37742487,0.44871187,4.781047,5.7338796,0.7089621,0.7134523,0.31127605,0.66445476,0.93872106,0.67069423
18,0.5828627,0.985065,18,0.24366695,0.27592808,3.7617512,4.2686453,0.4440904,0.13284808,0.11519354,0.092422605,4.364392,4.434684
19,0.2540941,0.09630072,19,0.7637556,0.7065538,3.7479079,3.231079,0.4489633,0.31668383,0.58594376,0.75553834,2.7023206,2.4661965
20,0.44752675,0.9704142,20,0.5545729,0.38097602,3.9000247,4.5669236,0.8082876,0.8056444,0.22354561,0.000998199,0.754198,2.290378
21,0.45271644,0.22367018,21,0.44277215,0.5120456,2.1026192,1.3847963,0.62154275,0.95718163,0.15033242,0.1420877,2.0854428,2.4279685
22,0.6072751,0.3478294,22,0.6954441,0.6787144,2.3930693,3.061929,0.5697348,0.39834994,0.66126955,0.6802805,1.5852563,1.7218001
23,0.6334603,0.7874369,23,0.41756454,0.5382005,4.6036644,3.906443,0.40303388,0.1562236,0.22145405,0.21470648,2.1969526,1.9729804
24,0.5699737,0.8013181,24,0.86419773,0.9111465,4.008943,5.6610966,0.41692302,0.01200217,0.24699739,0.32490313,5.058727,5.638134
25,0.42435375,0.42870754,25,0.5293416,0.36696148,1.8241651,2.734695,0.556474,0.25214994,0.20617816,0.07560468,0.7946967,0.47933793
26,0.65185183,0.5190923,26,0.8062454,0.9715752,2.1934683,1.52657,0.36795905,0.09856433,0.51459485,0.5218165,1.9180435,2.2707553
27,0.5078994,0.36807495,27,0.25910977,0.6727539,0.8118294,0.41034365,0.543063,0.07417488,0.28772607,0.6388532,0.8879505,0.4390812
28,0.4180716,0.8284732,28,0.22927368,0.21128988,4.6949325,4.3892965,0.6843933,0.95695853,0.24839851,0.3018291,1.9260983,1.96691
29,0.6400477,0.07427323,29,0.43311948,0.6081976,1.4628382,0.65031624,0.38396484,0.31887984,0.41839308,0.41820085,1.9865067,2.0608754
