,discount,learning rate,dec temp,weight,prior weight,prior lr,subject
0,0.4570321,0.6807274,3.70606,0.1218964,5.260373,0.28287765,0
1,0.5063332,0.92259234,3.329327,0.6194006,4.686924,0.22384737,1
2,0.42095953,0.6588187,3.3108068,0.7166555,3.7225606,0.5310898,2
3,0.5027222,0.32789665,0.6301062,0.7487271,3.4342213,0.62290436,3
4,0.8383715,0.32421064,2.4132366,0.9312797,4.8538704,0.91823417,4
5,0.64935863,0.50240207,2.0821161,0.3693601,5.2646794,0.23998685,5
6,0.70707864,0.20544362,3.0270934,0.7220996,4.5886507,0.22609434,6
7,0.5967215,0.799061,1.0793713,0.86817074,4.179945,0.6428835,7
8,0.69232595,0.97212136,5.3606567,0.06553702,3.3032176,0.34472814,8
9,0.74166363,0.7426151,3.3715587,0.14381371,3.625353,0.65289766,9
10,0.40677124,0.0903177,4.951662,0.50625426,4.0548973,0.85519296,10
11,0.70409006,0.43290544,3.5339108,0.1585034,5.699276,0.63625085,11
12,0.68341565,0.18587701,4.4795976,0.66073424,2.5994406,0.20572956,12
13,0.89997077,0.33081487,1.9052606,0.33358034,3.0257459,0.24339752,13
14,0.5606849,0.62598664,4.992959,0.8218917,0.4896509,0.48353887,14
15,0.56675184,0.4855231,3.1944518,0.57621014,1.0321381,0.1882264,15
16,0.5809747,0.23399891,1.9438294,0.13484813,3.5423574,0.53083247,16
17,0.13388963,0.38293856,5.1807666,0.62756515,0.85133016,0.40012935,17
18,0.82026875,0.16767642,4.391266,0.2472978,3.145237,0.08036927,18
19,0.7772642,0.56288534,3.6713412,0.07529172,2.3258348,0.55266786,19
20,0.16011271,0.44036195,4.12649,0.89578766,0.18894693,0.66141653,20
21,0.2879834,0.5345244,2.971147,0.77750236,1.8904456,0.15316391,21
22,0.16132419,0.5434578,2.450649,0.5063105,1.5393845,0.7189012,22
23,0.91356283,0.35897437,4.0304327,0.2946543,2.0495129,0.11249198,23
24,0.91616535,0.82991916,2.1538935,0.6451848,5.394817,0.23054361,24
25,0.66911834,0.6940787,1.1861669,0.6000701,1.1799128,0.06370407,25
26,0.51719755,0.9135298,2.2642913,0.32260525,1.5845286,0.5759648,26
27,0.12949118,0.0746357,1.7973458,0.64175266,0.38667268,0.49081767,27
28,0.093852036,0.20082292,3.6941192,0.89414185,2.6511633,0.26329958,28
29,0.47017556,0.54462624,0.8788748,0.4928159,2.3603911,0.44971785,29
30,0.39640787,0.022781905,1.2724415,0.830248,2.810647,0.78802794,30
31,0.87203974,0.13687605,4.2211432,0.04881243,3.313807,0.87921023,31
32,0.95753896,0.38790783,4.9029713,0.48194665,2.421763,0.31200475,32
33,0.05741642,0.2115624,0.5237831,0.8002714,4.411786,0.105879046,33
34,0.6516962,0.15408294,2.5122404,0.2531423,2.4156344,0.8343738,34
35,0.7329678,0.56651175,2.7510302,0.90782547,1.1461416,0.15880004,35
36,0.84111154,0.2253791,0.8312253,0.14260378,0.8554995,0.88746995,36
37,0.66024065,0.9498571,1.0549073,0.7186219,1.6605666,0.029757211,37
38,0.1566757,0.91611546,4.5628705,0.61129737,3.1821299,0.8119014,38
39,0.6117034,0.6623171,0.39661455,0.9340904,4.538825,0.18348145,39
40,0.5730896,0.9345032,3.6105504,0.46642765,1.3663876,0.7686994,40
41,0.3971975,0.2224514,2.1572044,0.9813648,1.9489632,0.624236,41
42,0.4296116,0.32419866,3.470818,0.861967,0.24123669,0.41853327,42
43,0.54298806,0.050224505,5.07138,0.2512442,4.69261,0.25542414,43
44,0.717841,0.92883646,1.128187,0.23451114,3.70955,0.24342734,44
45,0.6946175,0.34894422,0.90817034,0.59052336,4.963088,0.16164158,45
46,0.93111587,0.16391246,5.40774,0.29612985,3.8610601,0.78780764,46
47,0.9050411,0.5017247,3.7160444,0.50813955,0.73984855,0.85487884,47
48,0.011700048,0.27902877,5.197117,0.15166758,5.2666416,0.36687383,48
49,0.21801284,0.61391217,1.9361368,0.37839955,1.6202606,0.13426432,49
50,0.7337263,0.18436505,0.8532593,0.8403416,1.0852593,0.8566296,50
51,0.7604818,0.2547797,4.678554,0.11728555,5.321902,0.67657465,51
52,0.35219964,0.22505648,1.7068214,0.4308878,5.3091645,0.099208705,52
53,0.90407985,0.3836452,4.241339,0.69180036,2.6024714,0.2537604,53
54,0.46786955,0.16533896,3.354023,0.49251834,3.603974,0.5348477,54
55,0.7749258,0.6213466,2.4682426,0.25038016,5.0488296,0.42884812,55
56,0.9460983,0.067447364,1.4330007,0.09458451,0.5474694,0.30661157,56
57,0.61132777,0.87837386,2.4022954,0.4358897,4.9829097,0.4596442,57
58,0.6690931,0.37299865,3.0897467,0.8057551,4.6338916,0.87443036,58
59,0.9287555,0.18145853,3.8269022,0.20630352,2.3376625,0.040435974,59
60,0.3767238,0.2937796,0.45432603,0.7959282,3.4486418,0.6784191,60
61,0.22312781,0.7703565,3.8836205,0.28794453,5.205764,0.494404,61
62,0.7734223,0.036255427,5.0648785,0.8662084,2.106042,0.15501882,62
63,0.8261351,0.32948458,3.9874442,0.35589823,3.9901104,0.07365218,63
64,0.86379415,0.1429862,0.8644792,0.46496266,2.0436513,0.56501186,64
65,0.2762278,0.3049805,3.6264234,0.61716163,1.2847923,0.76310366,65
66,0.3491195,0.3091035,1.2507403,0.41441056,3.8738337,0.8468327,66
67,0.81617594,0.3452143,1.042388,0.32129264,5.517772,0.66578615,67
68,0.6570807,0.9585912,2.529477,0.2835825,3.9860973,0.48733157,68
69,0.7866367,0.09948081,5.591591,0.03760893,3.9724667,0.7674683,69
70,0.4390108,0.24300522,1.5539265,0.7158276,4.954486,0.37989923,70
71,0.95355856,0.64962304,4.732618,0.6965582,4.101784,0.91199684,71
72,0.32887936,0.350851,3.978322,0.9444895,3.4378338,0.4197532,72
73,0.8099746,0.8285462,0.29231843,0.3481517,4.016848,0.65034854,73
74,0.67219496,0.91671723,3.287231,0.5423797,3.277125,0.5689581,74
75,0.60231096,0.27019933,0.98337185,0.80398935,5.7182484,0.2755355,75
76,0.850365,0.24604604,0.6436732,0.91069585,4.1051464,0.31961432,76
