,locs0,locs1,locs2,locs3,locs4,locs5,subject
0,-2.4563184,1.245218,-0.4300998,-1.5993459,1.9383471,1.9129869,0
1,-1.1081022,1.372537,-0.38091642,-0.5665267,-2.5104656,-0.14706457,1
2,0.7583403,0.7649096,-0.08962296,0.21180768,1.9776974,0.98199666,2
3,-2.1641371,-0.30458325,-0.13814557,-0.33250797,-1.3166046,0.22091645,3
4,-1.5210035,-1.8317543,0.11651115,0.8421799,0.8193416,0.7608123,4
5,-1.510964,0.039397597,-0.32097095,1.8568363,-0.852508,0.08467837,5
6,-2.4648743,-0.020549625,0.051846504,0.14248016,2.0271428,1.2123914,6
7,0.9344964,1.0047603,-2.216554,-3.088101,-1.6718842,0.7638994,7
8,1.7755194,0.21928918,-0.88780195,-0.40313202,-0.80566394,0.45813656,8
9,-0.98770833,-2.276184,1.2189782,-0.6358112,1.8773913,-1.4626268,9
10,-0.17736594,-0.98807937,1.7421311,0.62538683,1.2666235,3.341366,10
11,1.0160578,1.7981161,-0.6429683,1.0364357,0.67128074,-1.0808765,11
12,1.3395774,-1.7705517,1.3406405,1.4849074,0.03273481,0.66788185,12
13,-2.5320425,-0.7276535,1.0029887,-0.3974473,1.618634,-0.54303885,13
14,1.1686413,0.32480663,1.7596056,0.2541917,-2.5799558,0.533356,14
15,-1.1917777,0.44943625,-0.76961815,-2.1215992,1.011742,0.9991567,15
16,1.3045855,1.1522634,-0.6409638,-0.95848274,-1.1648688,1.8519199,16
17,-1.174608,0.71743464,-1.4145396,-0.6835493,-0.21250546,1.3774393,17
18,-0.10991812,1.6748362,2.5216095,-0.5704615,-0.063375026,1.3430837,18
19,-1.6955249,1.8975815,-0.20574462,1.1387913,0.07936835,-0.561423,19
20,-0.38769624,-0.60421276,0.33192137,-2.1784165,-0.37255362,-0.19502893,20
21,0.1738196,-0.83280075,0.26752412,-1.8264191,1.7683213,1.4022338,21
22,-1.8279064,2.4610872,-0.30544448,1.9745772,-0.055674583,2.458363,22
23,-0.7898694,0.31224778,-1.2576475,2.049721,0.9705499,1.061674,23
24,-2.4171686,-1.7009039,-2.5409245,0.10340929,-1.9800383,-2.4282916,24
25,1.4238955,-0.08449003,-0.053812534,0.03784433,1.9448183,-0.5360435,25
26,-0.7427865,-2.3994412,0.2214019,-1.603638,0.13097012,-0.41583845,26
27,0.43345094,-0.3677939,0.5143475,-0.12948263,0.027912855,-2.2827234,27
