,inferred mb weight,true mb weight,subject,inferred discount,true discount,inferred mf weight,true mf weight,inferred learning rate,true learning rate,inferred prior lr,true prior lr,inferred prior weight,true prior weight
0,3.259311,4.1860247,0,0.15619826,0.030513167,1.3503064,4.518171,0.065366484,0.079420686,0.7435751,0.8319308,3.4522905,3.8870797
1,2.604037,0.08861661,1,0.5016778,0.43960643,3.0868404,4.064001,0.10882658,0.12168348,0.63580215,0.3100437,3.6995564,4.7144976
2,1.8082664,2.1058164,2,0.5038742,0.5241463,2.1187189,2.8990753,0.21571685,0.15575475,0.13421223,0.13761413,4.2721076,3.971293
3,2.350918,4.181114,3,0.5470392,0.34460425,2.8648658,4.602793,0.4841237,0.43636203,0.56911826,0.86380386,4.341956,3.668619
4,2.2754853,1.2387933,4,0.51328987,0.5014964,2.523252,2.8555527,0.50846434,0.5141032,0.79271436,0.7094825,3.7704506,3.9844751
5,4.69379,4.4452553,5,0.2601679,0.29452842,1.638512,1.7091143,0.33953536,0.28592575,0.5464524,0.6387466,1.0803233,0.07140434
6,1.5452876,0.458951,6,0.4354949,0.17611635,1.743975,1.2766525,0.6979673,0.48151785,0.35652357,0.38034636,4.6346297,4.2005014
7,4.337284,5.042902,7,0.4075374,0.8371342,2.4005601,1.9219065,0.71259886,0.75495154,0.24541806,0.8148125,0.77203685,0.09516835
8,3.2127447,3.2471375,8,0.39573196,0.42818642,2.810586,3.1734266,0.24173068,0.23833525,0.527183,0.7671921,2.5045106,1.8834075
9,2.5012171,2.4436145,9,0.48793626,0.36627913,2.5010953,1.3213259,0.19833831,0.12151694,0.86900544,0.891547,4.0181355,4.920281
10,1.6326721,1.1597607,10,0.38833848,0.7257621,1.2240952,0.5069264,0.77984846,0.9035923,0.14786786,0.10942495,3.7172701,4.0588226
11,2.1848826,0.9235325,11,0.2568769,0.03312677,2.0907125,2.843205,0.58729786,0.55895686,0.7569884,0.8488144,1.3809915,1.6389452
12,2.0671663,1.5903332,12,0.4406245,0.19069833,2.4861178,1.0644565,0.70513356,0.908944,0.27020344,0.2892102,2.7363245,3.7823296
13,3.2190163,5.421523,13,0.35019892,0.821854,2.3195357,2.4006295,0.5029769,0.4881379,0.8314469,0.992111,4.6201534,4.311107
14,3.1330512,0.14862478,14,0.5162727,0.96550745,3.456627,5.029162,0.095829695,0.05589956,0.1945914,0.27164125,2.7031412,0.8566915
15,1.953729,3.621638,15,0.7311843,0.81201124,3.8618658,3.716816,0.76248205,0.76737404,0.57212245,0.96707726,1.1126215,0.5790088
16,2.7752678,1.4915389,16,0.59011513,0.19266462,3.5705898,3.281291,0.3077661,0.40355307,0.18862002,0.17201066,3.9552538,5.1056175
17,4.157203,4.459559,17,0.38090605,0.25916952,2.4491036,5.9077425,0.29317242,0.29682612,0.3718247,0.89243615,2.4382255,1.2535765
18,2.3414893,2.38332,18,0.42109203,0.35152316,1.1611931,2.4237938,0.7486909,0.9149645,0.26538232,0.18570256,2.1218624,2.054459
19,3.833999,4.2452283,19,0.21621996,0.122301936,1.9901025,1.1306916,0.36868852,0.33416337,0.09896317,0.06656414,3.5644593,3.90859
20,1.3121375,3.601621,20,0.6869355,0.80987865,2.431712,2.2312565,0.80566853,0.9557979,0.5584186,0.5218471,2.0730512,2.1112533
21,2.0495102,2.378339,21,0.67041713,0.888592,3.3318684,2.0120208,0.67925316,0.7359041,0.8602083,0.8324825,2.9267845,3.1465008
22,2.8739676,2.4082422,22,0.4828935,0.86966294,3.087925,1.1707356,0.52015316,0.75605834,0.6279341,0.34109795,4.15311,5.033985
23,3.140016,4.66399,23,0.49143904,0.9547757,3.1189208,0.7941066,0.08502484,0.039113283,0.44681206,0.18567812,3.8203661,0.4419887
24,3.1149988,4.5197783,24,0.32986012,0.25762445,2.9069126,3.519391,0.46476153,0.5328663,0.59798354,0.40488672,4.0462027,3.9197497
25,2.5561104,5.1084404,25,0.46435863,0.36261666,2.4154093,4.9868937,0.70583963,0.8158049,0.6513646,0.61253065,3.7135527,3.3328338
26,0.69775754,0.027407527,26,0.5000236,0.63472176,0.84000146,1.5327873,0.70034105,0.5578983,0.12904344,0.13646668,4.026577,3.6611056
27,1.624031,1.6041638,27,0.5056331,0.43025362,2.788291,1.3419875,0.698031,0.9825493,0.44467986,0.6509043,4.1053205,5.8376274
28,2.537836,3.482844,28,0.42393333,0.16488934,2.4188263,3.7621243,0.7211999,0.7259034,0.55573314,0.59817207,3.628084,3.8319516
29,0.5550844,0.1714468,29,0.754383,0.80278015,1.4944679,1.3492298,0.7034005,0.70040023,0.30069402,0.97227293,0.77550215,0.19012249
30,2.3602257,2.8994486,30,0.4974557,0.21104652,2.0280626,2.9622173,0.09301798,0.14125031,0.19616808,0.14042103,2.441496,5.726666
31,1.2046813,2.150742,31,0.78590137,0.8662548,3.0459135,5.931868,0.81636477,0.99465126,0.77990526,0.415416,1.2196435,1.9191442
32,2.1783566,0.783038,32,0.26208597,0.1330809,2.586244,2.6519508,0.35445696,0.2308991,0.18524505,0.4654733,2.068625,1.2908378
33,3.304894,5.4356794,33,0.4830061,0.45061487,3.0264297,5.2693563,0.06724934,0.093978226,0.21551,0.38363773,2.6845179,0.05399859
34,3.9676151,3.7940118,34,0.3076253,0.17539197,1.9983977,4.4223986,0.67199284,0.7128654,0.7727145,0.8187068,3.0614002,2.6640959
35,3.2159376,3.2098684,35,0.46780342,0.9328453,2.5689156,2.769754,0.5783661,0.4890455,0.84137285,0.9417461,4.037164,2.4244251
36,4.2620654,4.830049,36,0.3754702,0.5179306,2.0260055,1.3331584,0.36299062,0.3604536,0.3613613,0.28313965,1.4644649,1.6986251
37,1.8191489,0.36496997,37,0.52413696,0.6147764,2.246125,1.5002385,0.5483707,0.30764335,0.7960254,0.92235464,4.486887,5.6182795
38,3.936572,2.1442957,38,0.4057622,0.002754867,2.3871102,2.7016816,0.34366235,0.42467242,0.6150287,0.3813979,3.7018814,4.674622
39,2.6457682,3.829291,39,0.6224025,0.89111376,3.7069938,3.7713597,0.58229965,0.5803504,0.13354641,0.13120854,3.9554443,2.8646126
40,0.9479141,1.015327,40,0.22827154,0.125521,0.73471296,0.70222163,0.7294966,0.51932913,0.16325146,0.44623935,1.0938449,0.15164316
41,2.4112349,3.5421739,41,0.25223687,0.03067094,1.673905,0.39602244,0.5926178,0.5823878,0.6162228,0.6601267,1.6973393,1.9122852
42,2.8826196,4.85088,42,0.44274142,0.64575857,2.1696274,1.9214466,0.7104391,0.7987431,0.8953389,0.92603755,2.998327,3.5782228
43,3.6953778,3.3056695,43,0.65560466,0.799223,3.708606,3.2341208,0.5822445,0.5114487,0.21711883,0.36019164,1.9392847,0.65039206
44,3.1073356,4.864396,44,0.49298686,0.5236537,2.9207795,3.4574957,0.066852674,0.0023097396,0.26433623,0.3251872,3.3114185,0.62074757
45,1.691941,1.4163011,45,0.31303382,0.14738196,1.5816848,2.6179123,0.6868545,0.74010247,0.84084374,0.6794129,2.7530694,2.7732003
46,3.3386152,3.7909863,46,0.46798712,0.56875217,2.8985343,4.3254924,0.04897601,0.047438502,0.26643163,0.24035782,3.7988396,0.3528664
47,3.2364433,4.5730243,47,0.4765013,0.5048075,3.0689425,1.9525917,0.08763418,0.056235194,0.31857684,0.5768691,3.5398192,0.38671017
48,3.1311626,3.9980285,48,0.3051314,0.8389511,2.1231823,1.7205684,0.6020072,0.9324376,0.31466115,0.17213672,4.85325,5.123991
49,2.717298,4.918354,49,0.49921817,0.9749839,2.7547235,2.8947535,0.27668637,0.36819965,0.5141655,0.4649434,4.815236,4.595614
50,2.6890967,3.9084015,50,0.48411554,0.50114703,2.482201,4.150105,0.12879194,0.19984281,0.37415382,0.19553226,3.6757035,2.1216245
51,3.7139044,3.5723255,51,0.2274232,0.21875167,1.3990936,1.9911994,0.32047284,0.30127007,0.5519401,0.57359606,1.6930957,0.9000381
52,2.6805747,3.2224696,52,0.40671086,0.24901617,2.0363364,2.989408,0.54148144,0.6039807,0.47215247,0.45549858,4.65964,3.6809325
53,2.6094193,1.18008,53,0.6070592,0.5914394,3.45402,2.644124,0.3482747,0.304197,0.3817163,0.46951926,3.173652,3.5772338
54,4.3042884,4.191069,54,0.3272006,0.03670758,1.7365966,3.5986626,0.6975088,0.8994706,0.3456981,0.31010604,0.8939436,1.5424107
55,2.0998325,3.022757,55,0.49513617,0.6654595,2.9645557,5.0144267,0.24101919,0.2475475,0.3648441,0.17602217,2.4029188,2.0286264
56,2.508988,1.0479262,56,0.51638037,0.7213328,2.9567268,1.9617505,0.63410544,0.5425734,0.7920742,0.7918109,4.988437,4.705251
57,2.543252,1.5083678,57,0.5298468,0.36563063,2.8469286,1.8292623,0.3682441,0.34800804,0.49795297,0.3116529,4.6498184,3.5601017
58,3.3452396,5.5438256,58,0.47240487,0.27749342,3.0704417,2.925491,0.08662723,0.1118176,0.23975739,0.84120405,2.6823184,1.5256172
59,2.9776957,4.353983,59,0.47289142,0.70899,3.2359633,5.186884,0.15985928,0.24803138,0.31616265,0.102786124,3.4083424,4.757818
60,2.7242792,4.1256905,60,0.47971222,0.8057975,1.7566993,1.3294272,0.77735615,0.9048147,0.8329032,0.9415958,1.5241756,1.6188222
61,1.9822268,0.85951567,61,0.68906176,0.5992734,4.0066624,5.759626,0.61808974,0.619825,0.4307193,0.46134531,0.66909707,0.21729541
62,5.0341234,5.4521704,62,0.2449582,0.8980469,1.6986203,0.7664516,0.47617537,0.44458777,0.19956864,0.6518,1.0205114,0.10613966
63,1.1853098,2.0050807,63,0.38152534,0.36313456,1.5668135,2.409816,0.7458803,0.90244246,0.61319894,0.5625745,3.2715557,3.2354212
64,4.7843184,5.589198,64,0.2529713,0.17974532,1.5641475,3.9118931,0.7528967,0.9541509,0.5281982,0.5011157,2.0727136,2.2703938
65,2.880585,1.6836212,65,0.51689357,0.86837715,3.0716338,3.1253006,0.5242273,0.5106336,0.7675433,0.8410413,4.558709,5.9867697
66,2.6686785,4.848733,66,0.48226142,0.14723706,2.628725,2.5062513,0.58816093,0.71276855,0.5101937,0.37957007,4.890911,5.5416756
67,2.980213,2.7598736,67,0.5041907,0.77853847,3.0660627,0.07130885,0.35590583,0.50769377,0.5897592,0.34050155,4.772406,5.784933
68,2.6003857,4.5399504,68,0.63000256,0.95968246,2.6352074,2.6471837,0.7546931,0.89069504,0.6088661,0.5305741,1.8265693,2.0656378
