,discount,learning rate,mf weight,mb weight,prior weight,prior lr,subject
0,0.1379676,0.077365324,0.4085846,2.3501065,4.62679,0.21031436,0
1,0.8016006,0.15219039,2.3834727,2.4303784,3.119987,0.7488598,1
2,0.08595167,0.19940893,3.738154,0.32205722,4.848075,0.055260967,2
3,0.54817235,0.48036653,3.545323,0.41574126,4.6209435,0.37895757,3
4,0.40039492,0.65260047,1.3704252,4.1773243,4.4458823,0.6470228,4
5,0.18462968,0.35747102,1.3638091,4.6541443,0.7746166,0.7126788,5
6,0.8682102,0.79421777,2.9270322,0.16602035,5.002263,0.33175054,6
7,0.42680594,0.7417042,1.747824,4.4850464,0.37538937,0.32865298,7
8,0.7217995,0.3009609,3.305254,2.9114912,1.7306416,0.50032693,8
9,0.937916,0.31978214,3.925759,4.9132175,4.926005,0.87181544,9
10,0.33194423,0.74738383,1.0818427,0.8664199,3.77465,0.2051716,10
11,0.46763214,0.4802315,0.4441941,1.7992897,1.7180504,0.8083726,11
12,0.80297405,0.65106565,1.6950241,1.3309429,2.339271,0.22000715,12
13,0.11798188,0.3866494,2.5404582,0.92870057,5.0458093,0.87187743,13
14,0.5386604,0.14351086,1.6387364,2.5210738,1.9592404,0.24888763,14
15,0.838861,0.79807234,2.860222,1.3295379,1.4944811,0.41057697,15
16,0.9048429,0.30910617,2.9116223,3.6057408,4.203132,0.045713183,16
17,0.36492938,0.24422207,1.5291276,4.3095512,2.8663435,0.32696697,17
18,0.59517187,0.65614045,0.3606555,2.3328075,1.7865925,0.23327538,18
19,0.061599687,0.31393042,2.5618815,3.4266868,3.4185,0.16083246,19
20,0.86205626,0.9268017,2.5951517,2.7290864,2.1223044,0.3697093,20
21,0.8633835,0.87368065,5.090929,4.0942907,4.3882356,0.85735434,21
22,0.5140081,0.52379197,3.8596911,3.9183648,3.6733336,0.6494319,22
23,0.31709647,0.048197012,3.3377774,0.8156714,2.412939,0.5637559,23
24,0.5558137,0.7139299,5.0498295,4.4033446,4.4127464,0.26080844,24
25,0.46588656,0.6090194,3.204957,1.8999149,4.248809,0.53214884,25
26,0.6511277,0.58396524,1.2749479,0.5372719,3.981524,0.07239041,26
27,0.31297418,0.63896936,1.1453052,2.5378788,4.660527,0.4684057,27
28,0.57041657,0.6379417,2.2686963,3.1748772,3.8724468,0.49757648,28
29,0.6578473,0.8028623,2.3159442,0.8155405,0.81345797,0.15215284,29
30,0.52931434,0.15263057,2.4299374,3.2468424,2.9283097,0.042056248,30
31,0.7003953,0.7831865,3.8645058,0.711652,1.0354397,0.73455846,31
32,0.19676377,0.45918468,5.0981917,0.6815448,2.4804904,0.103792936,32
33,0.22409071,0.03655357,3.438367,5.111227,3.473184,0.32730886,33
34,0.7768644,0.54575145,0.6767295,3.863317,2.925569,0.83841115,34
35,0.66099334,0.7856348,3.4041934,5.149521,4.6933475,0.8854232,35
36,0.32817468,0.4240421,1.9323295,4.3264027,2.0540135,0.26119146,36
37,0.64933044,0.66404927,0.93797326,5.110819,5.2465916,0.707227,37
38,0.74333405,0.45315766,0.9220915,5.9657855,5.3831196,0.54856974,38
39,0.7689795,0.55102974,2.7103603,4.415407,4.6441402,0.11881224,39
40,0.3066941,0.895672,0.8184726,0.5246589,1.1920359,0.10578155,40
41,0.282282,0.6310636,1.5794029,3.0566626,1.8205252,0.5153817,41
42,0.3642856,0.5725443,0.61215043,1.3443744,3.1194673,0.9820747,42
43,0.44588217,0.546097,4.632388,2.0395892,1.1986325,0.2036275,43
44,0.5954893,0.0666104,4.138105,1.6586455,1.299513,0.39258283,44
45,0.4056866,0.6828251,1.6632223,0.99717116,2.5614529,0.7553192,45
46,0.5892216,0.016484456,2.696712,1.6430714,0.7525082,0.3002244,46
47,0.49769664,0.108827576,4.8107347,5.2128615,2.6825328,0.11357503,47
48,0.26360318,0.7191857,2.7293842,1.5295935,5.0061703,0.30174562,48
49,0.12072662,0.2487046,3.3517723,1.5069897,5.4354987,0.5893433,49
50,0.75367117,0.11436421,0.59010834,4.770218,5.367181,0.43283397,50
51,0.25924107,0.3248809,0.5820956,3.466917,1.5995181,0.73036516,51
52,0.41295746,0.51751643,2.1060514,2.572713,3.5762982,0.40118137,52
53,0.92900157,0.40521154,4.4821796,1.4984773,3.010954,0.3031144,53
54,0.65808994,0.70012367,0.56211746,3.2777457,0.6779799,0.28690243,54
55,0.24745539,0.20435672,2.2388968,2.3461528,1.7990127,0.41627586,55
56,0.2057881,0.5398676,1.5885189,2.455177,4.498521,0.8460759,56
57,0.55509156,0.3492396,2.0682,4.3617744,4.793516,0.64685994,57
58,0.4519233,0.02938317,2.0787427,2.4187102,2.124829,0.70606613,58
59,0.031779215,0.15349503,4.796839,0.7444791,4.1112423,0.23055106,59
60,0.20231411,0.8002793,1.8256154,1.4400915,1.6025355,0.899838,60
61,0.879826,0.68767554,3.3762894,1.3719838,1.1664289,0.33512753,61
62,0.26224676,0.45399922,1.8642795,5.0655994,0.8507985,0.07959485,62
63,0.47838902,0.69909006,2.1355853,1.1541225,3.5269353,0.7335064,63
64,0.3022669,0.8426356,2.1712437,4.5415545,2.1773896,0.55150855,64
65,0.54353935,0.5762456,3.0096884,2.2113144,5.414487,0.57218534,65
66,0.46274003,0.5051841,3.9699297,1.1106128,5.452648,0.4904558,66
67,0.7294759,0.3571062,2.678343,2.441962,5.0611086,0.6599211,67
68,0.62629914,0.7874612,2.0644164,2.8640509,1.8288891,0.59957963,68
69,0.7742065,0.1383965,3.7509274,4.2918844,4.0964994,0.0140921,69
70,0.27534118,0.4906425,0.8127713,3.175679,5.5195293,0.059480432,70
71,0.83672196,0.73640186,2.323255,0.95622647,2.2896876,0.03626031,71
72,0.12738676,0.6110653,2.2841754,0.95498896,4.252572,0.39750588,72
73,0.3747307,0.4912574,4.4150515,1.8551972,4.6226377,0.82009363,73
74,0.4654685,0.56012946,1.1704868,5.630678,3.8173862,0.0458056,74
75,0.586068,0.21269666,1.0545514,3.0195289,4.1301985,0.3469823,75
76,0.2299236,0.2515788,2.1594067,3.8456192,4.5882854,0.1181783,76
77,0.08981466,0.6489884,2.7770483,2.477052,3.373701,0.2166069,77
78,0.290231,0.64053607,0.67374206,4.596411,5.028044,0.48975953,78
79,0.7518986,0.73258656,1.2615343,4.1718655,5.0489416,0.77763706,79
80,0.11281702,0.90194046,0.73420465,4.4912186,2.419354,0.1438203,80
81,0.29149547,0.4050217,2.4249008,2.563702,2.3556085,0.7019858,81
82,0.43616056,0.8010585,0.9522041,3.368157,0.40761578,0.64040995,82
83,0.09851342,0.7476402,2.5660172,4.659253,1.0094421,0.21283393,83
84,0.6067217,0.77495664,2.4463081,1.6891198,0.964772,0.8442259,84
85,0.66457254,0.3605147,4.269003,3.2759352,5.006968,0.5850701,85
86,0.77550536,0.6704246,3.9672194,1.297962,1.3240998,0.18244536,86
87,0.4439114,0.476814,1.3042691,3.0998046,1.8320007,0.6739251,87
88,0.12552217,0.058967307,2.0099425,4.4624043,4.292843,0.5288366,88
89,0.39810807,0.38881466,3.6728225,1.046051,5.1148396,0.8463347,89
90,0.20297301,0.4062929,1.3957156,1.7749354,4.588006,0.19864771,90
91,0.099744365,0.58948404,2.1845403,3.1974745,4.986262,0.15778074,91
92,0.911582,0.8640346,2.9570262,1.6091125,1.072227,0.07646695,92
93,0.5361373,0.64116776,0.4851042,2.0666094,2.1637824,0.24246244,93
94,0.50603724,0.21433508,2.991178,3.0191424,0.96265894,0.16664061,94
95,0.3228376,0.41658512,4.0205326,0.95624435,1.0309753,0.8079751,95
96,0.40131307,0.84849703,3.7746084,4.2808704,2.3044772,0.12009731,96
97,0.30923635,0.77812994,1.8050011,1.0156533,5.2283125,0.9411142,97
98,0.0837804,0.17764743,1.5894005,1.4909961,4.883856,0.28201067,98
99,0.3506388,0.6868435,3.2982838,1.2479081,4.4269247,0.90680605,99
100,0.41392764,0.41800192,5.311459,3.068925,2.7396646,0.40669206,100
101,0.11275302,0.73683465,1.67381,2.226788,1.0431837,0.24230683,101
102,0.20311242,0.7880373,0.80326706,0.69227576,0.55842626,0.5143918,102
103,0.6799558,0.06793364,1.1378772,4.1790857,3.7943707,0.2783229,103
104,0.13927045,0.33951122,2.0133042,3.8948827,5.129825,0.7123494,104
105,0.5827967,0.5827341,1.7106779,4.387403,4.8722715,0.09784829,105
106,0.010886358,0.95875955,4.147663,5.2873926,3.339357,0.46131697,106
107,0.12872449,0.1263354,1.5092185,5.4281635,4.225272,0.30245987,107
108,0.24785691,0.6468466,0.4521454,1.661386,4.513732,0.69607246,108
109,0.5248772,0.25260693,2.6624045,5.4586782,4.9213305,0.9697528,109
110,0.44513443,0.7486602,0.7908234,2.1947534,1.6304319,0.021524861,110
111,0.5402136,0.64694655,0.49511665,2.0893855,1.6577879,0.154388,111
112,0.3347785,0.63233393,0.31393766,0.70522696,2.8297887,0.8843502,112
113,0.5527262,0.33399808,3.068671,4.7629647,1.6416354,0.23353076,113
114,0.46721584,0.4865845,0.5104203,4.415448,1.1099052,0.33791453,114
115,0.3116765,0.45213383,2.5623472,0.5933477,2.5691514,0.39395973,115
116,0.46744093,0.17494899,3.7004392,2.6581125,0.6706179,0.26962924,116
117,0.30143324,0.72067004,0.65481645,4.094918,4.2999496,0.7061503,117
118,0.7730142,0.41065705,4.8075604,2.3223336,4.4478493,0.3406918,118
119,0.34839773,0.05920582,3.937849,4.571049,4.19985,0.111821555,119
120,0.2424678,0.7361997,2.4933438,1.9075539,2.8979447,0.75934464,120
121,0.38163844,0.75866765,2.206168,3.788643,4.2368064,0.4520067,121
122,0.104448795,0.7117758,3.7155185,4.7993364,4.798724,0.5394918,122
123,0.56002057,0.37958348,1.7578149,1.9442747,4.2828827,0.610479,123
124,0.58791834,0.7880324,0.9076065,2.2389398,3.8261282,0.2677344,124
125,0.489437,0.8102758,3.980424,3.3613894,4.5045094,0.85167164,125
126,0.19774184,0.47006747,3.3950768,3.6021945,0.8102274,0.3963493,126
127,0.4001835,0.6980431,3.8816042,4.7347145,2.5999491,0.5506236,127
128,0.22777438,0.051219538,1.742127,2.6771555,5.239654,0.9022498,128
129,0.28635645,0.65986,3.9151487,5.6145353,4.618512,0.23288177,129
130,0.79607815,0.22238082,3.5354571,1.7584267,5.4250803,0.68137044,130
131,0.7146105,0.10963292,3.1115706,5.619811,2.2500052,0.15694162,131
132,0.8179523,0.30914325,4.172176,3.249356,3.8162475,0.57714343,132
133,0.57853377,0.36796194,5.149346,2.7924044,1.2459419,0.65737545,133
134,0.49624848,0.26149967,0.6653499,0.3420314,2.8644898,0.094036356,134
135,0.585006,0.62540704,3.4960546,1.1081966,1.3818374,0.35418597,135
136,0.6402136,0.54784584,2.9705782,2.4427273,0.53435194,0.8645859,136
137,0.45312583,0.14246808,1.3680745,0.80317044,3.340099,0.77252614,137
138,0.49409112,0.22774605,2.1491451,3.7242932,1.0839498,0.6305825,138
139,0.2954778,0.76702243,3.9838333,0.45066136,3.5020165,0.025363866,139
140,0.51194775,0.5049474,0.93638474,2.6821473,3.145036,0.5124978,140
141,0.39093947,0.73355734,1.2077377,2.85364,0.45087606,0.7010005,141
142,0.59526384,0.68396693,2.0258877,0.81918085,4.5131154,0.23378605,142
143,0.10800456,0.75594807,4.7390704,5.8634443,2.5049117,0.3848375,143
