,discount,learning rate,mf weight,mb weight,prior weight,prior lr,subject
0,0.16032493,0.77855676,2.5544693,3.241868,2.526169,0.3320548,0
1,0.8650499,0.26135457,4.095175,3.4897876,2.5203648,0.191263,1
2,0.33262122,0.6859166,3.7911863,3.942333,2.3551955,0.26413044,2
3,0.081357814,0.18534398,5.239715,3.8320806,5.6525707,0.73726636,3
4,0.22936225,0.50913393,2.0509906,0.4013185,1.564717,0.21129173,4
5,0.36550656,0.81323653,0.64509195,0.94364595,2.300468,0.3674901,5
6,0.095644385,0.607198,2.455079,1.3517196,1.0473175,0.33949363,6
7,0.32568535,0.6454081,1.1938875,0.9922887,1.1944268,0.37275738,7
8,0.46395946,0.7451668,2.2066364,2.3430572,3.672557,0.7667456,8
9,0.4091706,0.6346065,1.9288697,1.6889691,1.2916162,0.48209217,9
10,0.6800648,0.23053576,4.5708094,4.789406,2.2967923,0.96554184,10
11,0.3977339,0.7703796,2.2951672,0.8660837,4.2717566,0.21580091,11
12,0.36227363,0.39607948,0.53993547,1.9944596,1.147727,0.45547378,12
13,0.30579436,0.89836645,3.0345583,3.6127074,4.1714993,0.22479421,13
14,0.147998,0.3178737,3.2144518,3.7065125,2.4930732,0.707651,14
15,0.5435326,0.16006517,2.9133234,4.9947557,1.3261617,0.46323472,15
16,0.24860023,0.658323,1.5484083,2.3583736,4.4469156,0.26173955,16
17,0.10590211,0.17926657,1.8801751,4.676305,3.4807992,0.70509696,17
18,0.85275733,0.47172797,1.448019,0.6822243,1.2492796,0.6510855,18
19,0.5205327,0.14634871,2.9019513,2.145146,4.087676,0.7710044,19
20,0.7306972,0.43811712,3.6248355,4.1622925,2.4671748,0.7677654,20
21,0.41536784,0.78062654,3.0813713,1.5249636,2.8574924,0.7038674,21
22,0.3536759,0.16848895,2.1397781,5.290185,3.7085838,0.59879905,22
23,0.28759283,0.82355255,1.4733995,4.621384,1.7105888,0.104148485,23
24,0.42058355,0.83864844,1.3032312,1.7595026,4.5692616,0.62997705,24
25,0.42041036,0.68076915,1.9036499,3.2998638,1.7034642,0.3191449,0
26,0.6264518,0.2543703,1.5752032,2.711671,5.4630127,0.18490759,1
27,0.4305436,0.3863549,3.4854507,2.6722996,0.7931862,0.5406766,2
28,0.6509218,0.24488065,5.0330563,4.3140144,2.4545496,0.73274034,3
29,0.12064314,0.8499423,4.0637193,2.1535163,1.2965873,0.23886874,4
30,0.28086323,0.9111495,3.026946,1.5386796,2.1858706,0.5219598,5
31,0.43836936,0.7862016,3.7636204,3.1284893,0.72467697,0.45060855,6
32,0.6432405,0.72485805,0.947994,1.302136,1.7185302,0.08349144,7
33,0.36190698,0.34417713,0.3541333,1.9787836,4.4132385,0.67728925,8
34,0.23190314,0.5160522,1.2305076,0.9054061,2.3873343,0.068138115,9
35,0.16460477,0.17955656,2.8717837,4.781014,2.3402305,0.4053844,10
36,0.69176364,0.8710446,1.5552554,1.4150348,4.849821,0.34887728,11
37,0.4627355,0.6777781,1.7170858,4.1504107,1.3535132,0.22917643,12
38,0.22871235,0.7444348,1.7956343,1.6957515,4.9472384,0.7366241,13
