,inferred mb weight,true mb weight,subject,inferred discount,true discount,inferred mf weight,true mf weight,inferred learning rate,true learning rate,inferred prior weight,true prior weight,inferred prior lr,true prior lr
0,3.3794687,3.0330467,0,0.394479,0.18689883,2.1510885,1.4633299,0.696097,0.6353893,1.716048,2.0964532,0.32027686,0.37943184
1,3.2324238,5.3963733,1,0.5818854,0.62162983,3.625122,3.0903988,0.3096035,0.3733086,3.4703271,5.4607563,0.4946326,0.4938978
2,3.6434803,5.6757517,2,0.6103998,0.98286486,3.8004792,3.7244403,0.5765608,0.6242801,0.801209,0.38150597,0.4153638,0.038132668
3,3.5807831,3.5982156,3,0.5101595,0.014290273,3.582548,2.9000666,0.1679879,0.12436658,3.19543,4.1468577,0.5187755,0.76442176
4,1.6674705,3.2182941,4,0.47116393,0.76904833,2.110412,3.638462,0.7747561,0.96252656,0.88171864,0.1976484,0.3533169,0.45638824
5,0.683062,0.5122622,5,0.5377296,0.65907544,0.76852065,1.2049359,0.7453082,0.9666325,2.1367743,1.8404742,0.60587066,0.7511849
6,3.179703,3.5786562,6,0.34761018,0.32303435,1.7872894,2.057833,0.72823805,0.75927585,1.5255458,1.8965267,0.37993273,0.1912446
7,2.7433114,3.9082367,7,0.28849232,0.15235776,1.6533818,4.1649656,0.77784353,0.9844236,0.9564924,0.07764423,0.26825756,0.7578021
8,2.2732897,2.9777088,8,0.541802,0.9931278,2.7898707,3.674471,0.7431749,0.8478278,4.815002,4.0575247,0.52185667,0.75408614
9,1.6225486,1.4228722,9,0.5030871,0.9953861,2.1273534,2.2313747,0.7749153,0.88786525,0.9320221,0.25087953,0.27545422,0.38161093
10,2.2714703,0.5538783,10,0.51290286,0.3846748,2.5465908,2.711946,0.10000946,0.01598823,3.1191587,1.9655943,0.47284716,0.8767741
11,0.80462664,0.59064066,11,0.54638755,0.7667481,0.83816236,0.60400593,0.5760825,0.23835713,4.830003,3.4425035,0.5147035,0.78041774
12,4.057653,5.396912,12,0.36225387,0.381954,2.285097,0.30349696,0.68064916,0.70187646,1.0175301,0.78739643,0.31162828,0.37440532
13,1.7917674,0.29618347,13,0.5190441,0.91896236,1.9691495,5.071818,0.7857362,0.94021356,4.5430965,5.080052,0.68108654,0.7266653
14,4.189507,5.18626,14,0.49854374,0.92745525,2.9555154,1.8751073,0.35193488,0.3218903,1.5759104,1.0394661,0.48806214,0.5167224
15,3.2853155,5.2545924,15,0.51730096,0.085730255,3.375506,2.571707,0.15908848,0.13223237,3.2379665,5.4983087,0.4661806,0.89247984
16,2.5272343,4.4358373,16,0.4687232,0.5564779,1.8696755,2.0419328,0.7599916,0.9131939,3.9047472,4.2793097,0.24245971,0.17437094
17,4.552581,4.201522,17,0.21139471,0.11835277,2.2007074,1.1206216,0.158984,0.12730974,3.056624,3.2978516,0.616536,0.68086797
18,2.1090226,2.3718252,18,0.7110209,0.4975382,3.2584841,4.614593,0.7041281,0.7530182,1.6921693,1.5220782,0.6524354,0.8042899
19,3.8131478,1.8611866,19,0.4789482,0.09328526,3.6413913,1.2212441,0.1136227,0.054066837,3.02844,4.730919,0.46482491,0.4054407
20,3.2977486,0.5224596,20,0.52495515,0.14736623,3.1655073,5.4164534,0.48543048,0.44859982,2.9038255,3.1156993,0.7464884,0.9888356
21,1.8089954,2.1185246,21,0.5289407,0.9208405,2.0706913,4.8265786,0.68758154,0.7957425,4.83204,4.5695677,0.5082101,0.73798543
22,3.818635,4.777547,22,0.4918217,0.15723693,3.7593346,4.8857307,0.10639993,0.08594477,3.1416943,3.3742714,0.46553895,0.09437758
23,4.2727733,5.541839,23,0.25409064,0.14309394,1.4126768,0.42119265,0.79317,0.8199434,1.018233,0.5107262,0.21735646,0.08611441
24,1.6129404,2.0644732,24,0.5365119,0.46303266,1.7775993,1.979526,0.80422366,0.9856252,4.9045863,4.985357,0.5338091,0.64886534
