,locs0,locs1,locs2,locs3,locs4,locs5,subject
0,0.58500135,-0.5878156,0.39614606,1.7920119,-0.9530978,1.4188555,0
1,-3.2319283,-1.0035882,-0.20680425,-0.2637713,0.3387752,2.3856921,1
2,1.2453207,-1.4527903,-1.6194255,-0.8254499,0.2694375,-1.6516672,2
3,-1.9892628,-0.2393215,-0.99756294,0.72069246,-1.3733832,0.42940515,3
4,-1.3622634,0.66816866,-1.8089423,-0.46585673,-1.7957435,-1.0144999,4
5,0.8817786,1.241226,0.22759661,-1.1484599,-1.1019993,-0.8617936,5
6,-2.122038,0.8078296,1.0260758,0.34108272,0.45360717,2.279553,6
7,-1.1989387,-0.44449282,-0.9649168,-1.1646965,1.187886,0.5792405,7
8,-2.2518063,-1.5291729,-1.1195189,1.0816929,1.5786334,-0.3570186,8
9,-2.088633,1.9720163,0.2877031,-1.0019794,-0.31394762,-0.7655765,9
10,-1.9704745,-1.7549673,-1.3893278,1.4701382,-0.34934944,-0.19914138,10
11,1.281013,-0.05444348,2.7243543,2.470637,-0.45535302,-2.8691907,11
12,-1.1957567,-2.837966,-3.1587672,-0.6887015,0.13564327,1.1282461,12
13,0.58128625,-1.9246798,-0.17380586,0.86320114,0.40604228,-0.35800225,13
14,-2.2967498,0.6797161,1.7174132,0.6700513,1.097475,1.0609026,14
15,-0.7917119,0.21755606,-1.4450095,0.030799866,1.8615668,2.4646938,15
16,1.0515993,-0.38811582,3.2261658,-0.58439416,0.83724356,0.18229824,16
17,2.684709,2.0742211,0.32339156,-0.4712651,1.4717653,0.8071108,17
18,-1.7355754,-1.877534,-0.9312915,2.2810278,-2.2013896,-0.6300376,18
19,-0.44374907,-2.2981682,0.8104094,-1.4563273,-1.1854347,0.3009752,19
20,1.0674574,-1.7537149,2.1635146,0.7254918,-1.593627,-0.109829664,20
21,-2.4358096,-1.4491239,-2.2928264,1.0619586,-0.24475664,-2.2906532,21
22,-0.35885882,1.165505,-0.9557024,-1.5173643,-2.4455013,-0.2030319,22
23,-0.90328175,1.1934438,0.0022151172,-2.092999,-0.5627293,1.884867,23
24,0.118422896,1.0756598,1.2458496,-0.86105466,-0.008319914,-0.9477333,24
25,-0.39796063,1.0809474,1.1958156,1.8583516,-1.367903,0.5602226,25
26,0.47792011,0.33551592,-1.3903213,-1.2314421,0.18037686,0.10544473,26
27,1.485968,-1.4088136,-1.9331815,1.8660332,-0.77888465,0.21820036,27
28,-1.180418,-2.7888172,1.9786022,1.1108048,-0.9843706,-0.6692426,28
29,0.3171848,-0.22456124,-0.88990265,-1.325399,1.4045244,1.5541189,29
30,-1.3724788,0.37544823,-2.1096835,-1.1221699,-0.16398755,1.9657725,30
31,-1.0588846,1.3835323,0.30241203,-1.4729223,1.539594,0.67953515,31
32,-1.5998615,-1.9351913,0.9938508,-0.30391943,-1.0319792,-0.62207174,32
33,0.24274305,0.04826367,0.81913155,1.4563096,-0.39498216,-0.486149,33
34,1.0348854,-2.0418522,-1.3345647,0.9378414,-0.017462626,0.2782853,34
35,-0.200891,-2.6470711,1.394009,1.0852524,1.0670731,1.3571204,35
36,0.31863317,1.1466885,1.9283383,1.4503973,1.802719,1.5671024,36
37,-0.62191534,-0.34105405,0.2409695,1.5089674,0.12191905,-0.4350968,37
38,2.0226953,0.8441034,0.8854326,-0.8761753,1.2172272,0.16364002,38
39,-1.2760273,-0.12619871,1.06693,-0.796766,0.7439691,-2.8091693,39
40,0.39811325,0.36576575,-1.0860852,-1.765041,-1.1783899,-1.5201622,40
41,-1.1967307,-0.1287786,-0.5182874,-0.08988392,-0.8107608,-0.45610586,41
42,-0.94971335,-1.0984921,0.6501217,-0.07727766,-1.94827,0.3298328,42
43,-0.16667295,1.2082126,0.27075106,0.21391317,0.241186,1.4805917,43
44,-2.7365294,0.3832254,-0.54711014,-1.5453992,-1.0107079,-1.7420225,44
45,0.8087128,1.0912228,0.78415316,-2.7805698,0.33958495,-0.2636546,45
46,-0.041427135,0.38989186,0.29696697,-2.1854997,-2.3504376,-1.0268342,46
47,-0.82594645,-0.5698668,1.364903,0.9276301,0.7261765,-0.89634955,47
48,-0.39035556,0.6603882,-1.7361223,0.04825005,-2.561938,-0.28226328,48
49,-1.0079557,0.9592087,-1.057539,-1.6244398,-0.123250425,-1.7404636,49
50,-0.44983992,-0.5552154,1.604262,-0.9621042,-1.41663,1.3364097,0
51,-2.6754086,-0.20925659,0.25320208,2.503416,1.3033582,-0.11210406,1
52,0.54209757,-1.3552792,-0.7017,-1.1686506,-1.0383217,0.9215143,2
53,-0.29768705,-0.36181912,-1.3074358,1.1729507,-1.729172,-1.0678433,3
54,-2.0028708,-0.03581941,-1.9929487,-0.48277983,-1.8000393,-0.2882607,4
55,1.4750571,1.683208,0.71255904,-1.1696405,-0.9150857,-2.1444862,5
56,-1.3861797,0.47556025,-1.1474051,1.0226295,-0.19952725,2.405417,6
57,-0.29582137,-0.39804423,0.052417666,0.24842687,0.16949463,0.6500067,7
58,-0.2663747,-1.154897,-0.8127127,1.8888674,0.022754952,1.1185565,8
59,-2.6682484,1.5935733,-0.005998075,-0.6633141,-0.32720262,-1.3350197,9
60,-1.3329856,-1.1645485,0.6411053,3.1765594,0.41202223,0.6277497,10
61,0.38307685,-0.5456832,-0.20641959,1.0129787,0.087768674,0.14640526,11
62,-3.2802129,-2.777954,-1.3369293,-1.6853542,0.005062106,0.8741598,12
63,-0.82996553,-1.1504793,2.4337032,-0.32363468,0.018780261,1.6867692,13
64,0.7251924,0.95815265,1.2743411,0.13252568,0.6625794,-0.802015,14
65,1.8580433,0.22409883,0.10818541,-0.4651333,0.49420512,0.5654736,15
66,0.4495949,-0.9217702,0.041330725,1.320881,1.0657479,0.9860819,16
67,0.30685037,0.97275436,-0.57857454,-0.9207277,1.2259421,1.297354,17
68,-3.2425113,-3.3450525,-3.0133321,1.0047846,-1.2109071,2.0249453,18
69,-1.7264402,-2.8320084,-1.1010689,-0.7045375,1.3039068,-0.15021163,19
70,0.12745084,-2.308879,-1.654717,0.044169188,-1.3944334,0.6665495,20
71,-1.3589065,-0.74479616,-1.0827814,2.6582131,0.04728204,-0.7558936,21
72,-1.2515959,1.4893751,-0.09570885,-1.8752853,-0.99464524,-3.4056118,22
73,1.0288734,1.7320182,0.06448263,-0.20879126,-1.0766361,0.17919314,23
74,-2.2253382,0.6600336,-0.6057223,-0.74560285,0.72991127,0.033507645,24
75,-1.2265381,0.68353397,2.0346417,-0.09996939,-1.4645524,1.2830704,25
76,-0.706023,0.16505867,-1.5333272,-0.5925796,-0.22208141,0.11447388,26
77,-0.91219884,-0.9405861,0.020514846,0.20880944,-0.48018187,1.8252344,27
78,1.39769,-2.9780986,0.020522416,0.98933125,0.0031896234,-1.1624491,28
79,-0.44002634,-0.18945256,-0.53280115,-0.5013869,1.7078624,0.6847411,29
80,0.0039207935,1.8990613,0.16751146,-1.2387404,-0.75053746,1.6512108,30
81,0.88305265,2.2014692,1.0882605,-0.87580025,1.0769279,1.530758,31
82,1.5121906,-1.7004186,2.030555,-0.86341596,-0.22101547,-1.1288664,32
83,0.9917327,-0.44729757,-0.93205476,-0.2002489,-0.24299729,0.13568205,33
84,0.117556244,-2.3728726,0.40966046,-1.2071104,1.9997262,-0.76836634,34
85,-0.8179709,-2.2975595,-1.7834475,1.7875022,1.1197342,0.4090891,35
86,2.1331186,1.0546227,0.39495063,0.8407062,0.057182908,-2.1466184,36
87,-0.35115507,-0.37227544,-0.08766943,1.3249648,0.70634305,-3.3213224,37
88,-0.8968115,0.8837965,-0.08004552,-0.4815311,0.598491,-0.39766392,38
89,1.7141324,-0.23710138,0.027149439,0.8957027,0.36092788,-0.2672886,39
90,-0.37409836,2.7199874,0.769721,-1.2933706,-0.43682912,-2.284875,40
