,locs0,locs1,locs2,locs3,subject
0,-2.124294,-0.19330259,-3.1383574,-0.53318423,0
1,-1.0194182,-0.9405017,-2.759125,1.5259641,1
2,-3.9999766,0.024988055,-2.5001361,0.77905124,2
3,0.25618553,-1.4877933,-2.6691675,0.1415014,3
4,-0.66929394,-1.4484581,-3.1399882,0.8297733,4
5,-1.2000334,-0.6015627,-2.7347596,0.82562083,5
6,-0.6769242,-0.20655401,-2.4358935,0.9713434,6
7,1.0591176,0.13994713,-2.8953807,2.3913257,7
8,2.0380225,-0.98990124,-2.806894,-0.5439181,8
9,0.57941043,-0.5594175,-2.6206417,-1.2648096,9
10,0.77101666,0.13159703,-3.032067,0.2303091,10
11,-0.876313,-2.206075,-2.9646688,-0.33094138,11
12,0.68881327,-0.57434374,-2.61885,1.1921864,12
13,1.760306,-2.1992574,-2.6694937,1.1515855,13
14,-1.9198265,-0.59225166,-2.513809,0.11055565,14
15,-1.716284,-1.5495698,-2.4341745,0.54285264,15
16,-0.26671907,-1.0222176,-2.63166,-0.68239063,16
17,0.93346727,-2.523599,-2.8099046,-0.27220666,17
18,-0.03426045,-0.67142564,-2.5985746,1.3752339,18
19,-1.0555835,0.095560715,-2.9113052,0.32119322,19
20,-0.28826332,-0.6467037,-2.4891634,-0.44153237,20
21,1.372318,0.6676593,-2.6288908,0.5510014,21
22,-2.0399296,0.19647396,-3.4366379,1.5822519,22
23,1.7410134,-0.8199406,-3.0611289,2.03361,23
24,-1.6984587,-0.19360815,-2.7374275,0.5630517,0
25,0.09933943,-0.9722571,-2.8467026,0.12281895,1
26,-4.9402328,0.035583243,-3.4526284,0.70717335,2
27,1.3230416,-1.6339506,-2.811161,-0.6483443,3
28,-1.0409065,-2.4238186,-3.156521,-0.0318332,4
29,-0.9536056,-0.11056149,-2.8742135,0.49646217,5
30,-0.42356753,0.6057564,-2.8676994,1.6425879,6
31,1.7964416,-0.38735664,-2.6770957,-0.682417,7
32,2.634305,-0.61479044,-2.6236057,0.006573677,8
33,0.41598308,-0.66198516,-1.9695266,-1.4419515,9
34,0.55992967,-0.3706084,-2.6989706,0.40090695,10
35,4.447253,-1.8121016,-2.4909759,1.2672616,11
36,0.25446528,-0.77790856,-2.2057848,-0.13288188,12
37,2.160564,-2.136035,-2.3411045,1.1422579,13
38,-1.8507192,-0.9889394,-2.8269055,1.1192305,14
39,-0.7298296,-1.0172662,-3.0840876,-0.5807173,15
40,0.23455349,-0.67568207,-2.3565733,-0.24043402,16
41,2.3843393,-1.4813378,-2.9735072,0.691768,17
42,-1.1550558,-0.8283155,-2.485032,0.0630326,18
43,-0.86271554,0.0019040778,-2.8482296,0.9695189,19
44,-0.1256669,-0.28406385,-2.4923065,0.0871003,20
45,1.6967113,0.4022289,-3.2271829,1.9674039,21
46,-2.5448284,0.23352222,-2.6837652,-0.048562348,22
47,2.1078908,-0.8539368,-2.5050597,0.13824666,23
48,-1.8759662,-0.047979563,-2.519324,0.07270415,0
49,0.33558518,-1.3395505,-3.5388923,0.30795234,1
50,-4.371178,0.04734318,-2.7434967,1.7270024,2
51,1.4038879,-1.6483124,-2.2129362,1.5089504,3
