,reward rate,dec temp,subject
0,0.24242553,5.2320676,0
1,0.535298,5.368426,1
2,0.25669134,2.2732534,2
3,0.6012062,1.3723158,3
4,0.3621322,5.977312,4
5,0.41734925,4.220318,5
6,0.8426118,4.061828,6
7,0.0822034,4.14971,7
8,0.44113714,4.1096287,8
9,0.04277881,1.3996302,9
10,0.5839977,5.9442806,10
11,0.8368514,2.7025268,11
12,0.54371226,3.9889164,12
13,0.5612407,5.5585146,13
14,0.6905913,5.72243,14
15,0.36506295,3.853077,15
16,0.73486495,2.8799498,16
17,0.6841597,1.1910698,17
18,0.047088787,3.860029,18
19,0.9522875,4.1202526,19
20,0.77703184,1.1520545,20
21,0.79549617,1.8195498,21
22,0.50315,6.071792,22
23,0.79275334,3.0656111,23
24,0.2272729,4.130806,0
25,0.5491229,5.7250905,1
26,0.2573358,2.3462012,2
27,0.57875705,2.0676246,3
28,0.3314975,5.007312,4
29,0.5215994,5.864566,5
30,0.6370397,3.064432,6
31,0.07515174,3.4817183,7
32,0.4881965,3.2664847,8
33,0.23748477,2.548818,9
34,0.50438297,6.5031075,10
35,0.7791482,2.560077,11
36,0.53104174,5.0706377,12
37,0.5966212,6.4397435,13
38,0.75093657,7.1143317,14
39,0.39669576,4.460471,15
40,0.6408844,2.2218642,16
41,0.79354,1.7529405,17
42,0.03176352,2.9326165,18
43,0.70196474,3.6909146,19
44,0.7275636,2.6141028,20
45,0.88569814,1.7543854,21
46,0.5632034,4.7363796,22
47,0.74289125,4.364108,23
48,0.25849605,4.6544523,0
49,0.6880293,4.9941835,1
50,0.2385394,2.5878394,2
51,0.89311796,2.9429853,3
52,0.43124336,7.1500244,4
53,0.6241963,5.699584,5
54,0.61326903,3.2719293,6
55,0.061998036,4.069454,7
56,0.5108059,3.4065757,8
57,0.08923389,1.3706125,9
58,0.42857334,4.566838,10
59,0.811992,3.253139,11
60,0.29819298,3.0118017,12
61,0.6063014,5.680333,13
62,0.6896979,7.077553,14
63,0.32164568,4.7412863,15
64,0.6573253,2.36453,16
65,0.5616323,2.270203,17
66,0.01891328,3.4319093,18
67,0.8682999,3.5238695,19
68,0.74070144,1.3893391,20
69,0.8845339,2.3955257,21
70,0.74798214,7.1652784,22
71,0.9353085,3.2153764,23
72,0.31526583,4.653669,0
73,0.62232244,6.1784096,1
74,0.18305357,2.4595373,2
75,0.7736276,1.3083396,3
76,0.37696832,6.2745576,4
77,0.49434614,5.213603,5
78,0.8319706,3.0601573,6
79,0.09523621,4.5114727,7
80,0.47408864,3.10236,8
81,0.3796451,2.3949683,9
82,0.45758793,6.652369,10
83,0.8691241,2.376865,11
84,0.5274411,4.3632245,12
85,0.49665862,5.921393,13
86,0.60629237,6.5367403,14
87,0.4102309,5.195603,15
88,0.9237043,2.612748,16
89,0.87111825,2.162738,17
90,0.0235332,3.3729148,18
91,0.94276416,3.5208912,19
92,0.5009075,1.6920238,20
93,0.86509275,2.8073344,21
94,0.53377616,5.1585827,22
95,0.92555904,2.6342657,23
96,0.30729595,5.8176527,0
97,0.77217466,4.974001,1
98,0.23439907,2.1510801,2
99,0.7191106,2.5303748,3
100,0.42539763,7.5523386,4
101,0.4785902,5.4677396,5
102,0.8388034,2.0859504,6
103,0.11380117,3.8118525,7
104,0.42115757,2.6021867,8
105,0.06680622,1.2943242,9
106,0.4190845,5.9976573,10
107,0.8157866,2.860452,11
108,0.43579036,3.59911,12
109,0.5136553,5.633285,13
110,0.6135435,6.4400473,14
111,0.30437338,4.2743654,15
112,0.8201736,3.07603,16
113,0.53657836,0.97739244,17
114,0.030176766,2.787744,18
115,0.9144416,3.5756154,19
116,0.49807593,1.6011645,20
117,0.67448515,1.977653,21
118,0.52379906,6.1964045,22
119,0.7611407,3.6897273,23
120,0.208809,4.3463473,0
121,0.6778263,6.083346,1
122,0.3323129,2.1488094,2
123,0.78575134,2.3164597,3
124,0.29901204,6.1075444,4
125,0.4297201,5.6391835,5
126,0.70113426,2.2762737,6
127,0.07894809,3.9373746,7
128,0.4370717,3.5919304,8
129,0.15675779,2.052574,9
130,0.48038778,6.383689,10
131,0.76794773,2.3163497,11
132,0.5249165,4.5606227,12
133,0.6447142,4.986227,13
134,0.81621855,6.098042,14
135,0.45224005,5.3399878,15
136,0.8117195,2.9079173,16
137,0.7398122,1.8891728,17
138,0.036114413,2.5789828,18
139,0.853885,3.0391293,19
140,0.58373857,1.2326596,20
141,0.8358857,1.764562,21
142,0.5279155,5.806932,22
143,0.95580685,3.4887376,23
144,0.30396143,5.188811,0
145,0.70006275,5.3797874,1
146,0.31497195,2.4814749,2
147,0.51252085,1.7151816,3
148,0.34551215,5.634921,4
149,0.3926263,4.7289686,5
150,0.784391,2.4544435,6
151,0.07470815,4.186153,7
152,0.74561125,3.4417403,8
153,0.2976288,1.8571461,9
154,0.34483078,6.2283764,10
155,0.9026199,3.256521,11
156,0.41803268,4.0446825,12
157,0.56570727,6.264715,13
158,0.7601062,6.6253467,14
159,0.48682037,3.065233,15
160,0.9023442,2.8026283,16
161,0.20906389,1.1479816,17
162,0.031305425,4.080568,18
163,0.84398973,3.548717,19
164,0.6172915,1.8520424,20
165,0.743709,1.8336343,21
166,0.41647977,5.471816,22
167,0.9132912,2.9099393,23
168,0.22031032,4.904393,0
169,0.71255034,6.9807205,1
170,0.16397381,1.6542392,2
171,0.64292604,1.4393978,3
172,0.37010297,5.9269886,4
173,0.43123502,4.4606786,5
174,0.7698342,2.6856563,6
175,0.07502116,4.0331187,7
176,0.5366157,2.378682,8
177,0.16541424,2.0913796,9
178,0.32825375,6.01974,10
179,0.7761907,2.7966495,11
180,0.38834372,4.1608562,12
181,0.4451686,4.2070336,13
182,0.56287503,5.2685137,14
183,0.47844496,3.9069386,15
184,0.61181724,2.2696326,16
185,0.14389044,1.8555882,17
186,0.02023426,3.2567015,18
187,0.8719829,4.1930804,19
188,0.74769807,2.022228,20
189,0.7377358,2.671604,21
190,0.64534336,6.1989336,22
191,0.9299373,3.0989022,23
192,0.21540022,4.5229673,0
193,0.7730571,6.2054214,1
194,0.23502295,3.5278792,2
195,0.65819174,2.7062373,3
196,0.43317622,7.241888,4
197,0.3343071,4.8715973,5
198,0.75601244,2.236432,6
199,0.071134135,4.2716684,7
200,0.46142802,3.6747348,8
201,0.08735894,1.6298647,9
202,0.4511182,6.8704276,10
203,0.8660433,2.5429037,11
204,0.52811337,3.936815,12
205,0.53115326,4.6916666,13
206,0.6978991,6.396959,14
207,0.34535858,4.376225,15
208,0.50152075,3.0285408,16
209,0.30850586,1.9440887,17
210,0.036037184,3.1335475,18
211,0.96083,4.148739,19
212,0.51016086,1.5733932,20
213,0.9454139,1.7028357,21
214,0.49763173,6.069401,22
215,0.7555871,3.2356632,23
216,0.286464,5.231321,0
217,0.66239685,6.191757,1
218,0.304783,2.594843,2
219,0.4378547,1.3398504,3
220,0.48022187,5.944998,4
221,0.47904924,5.883159,5
222,0.81444246,3.357726,6
223,0.043212928,3.4320853,7
224,0.34168062,2.7213197,8
225,0.14229189,1.6984906,9
226,0.5210529,6.2594695,10
