,locs0,locs1,locs2,locs3,subject
0,1.2732372,-0.9971363,-0.09363128,-3.1978743,0
1,-2.6822839,0.602892,0.3675033,-2.0839086,1
2,-7.128849,-0.71714973,-1.4123794,-2.5830698,2
3,-1.9634376,0.54700977,-1.3982772,-2.954957,3
4,0.33107257,-0.4702374,0.0713703,-3.0384345,4
5,-8.477531,0.21611866,-0.10377978,-2.7626579,5
6,-2.225897,1.4238777,-0.7763089,-2.7651212,6
7,-2.3002038,-2.509193,-0.4451373,-3.266631,7
8,0.32563746,0.897718,-1.2594373,-2.6270435,8
9,6.3627377,-1.218613,-1.3488684,-3.037992,9
10,-8.131934,0.46454644,0.8891839,-2.9790442,10
11,-7.4263535,1.8726206,-0.9525976,-2.2748425,11
12,5.7401047,0.42966586,-0.60367143,-3.64801,12
13,-7.841016,-0.46814618,-0.4915835,-2.9421802,13
14,1.9023503,0.41650063,0.7355976,-1.9678255,14
15,-1.7477729,-0.23994808,-0.053356603,-2.7651658,15
16,-5.3619103,0.8825725,-1.8286916,-3.0374825,16
17,-5.5934052,4.1048913,-1.2561285,-2.8025239,17
18,0.26491547,-1.5860178,-1.3968122,-3.5335817,18
19,-2.5395095,1.9458224,-0.24470797,-2.5875995,19
20,-8.529755,1.4232588,-2.5202785,-3.0781662,20
21,-5.908155,2.3475907,-1.560612,-2.877617,21
22,-4.145257,0.061657965,0.61238635,-2.8446295,22
23,1.9796407,1.605901,-0.46593624,-3.4816928,23
24,0.35045648,-0.8845732,-0.21777284,-2.8726668,0
25,-2.9439337,0.85996246,0.106363565,-2.4572797,1
26,7.2117763,-0.95124215,-0.8793712,-3.5369258,2
27,-3.217785,0.9333574,-1.3572727,-3.5062306,3
28,-1.0726838,-0.32058647,0.4426976,-2.652129,4
29,-0.08228719,-0.38536704,0.019130856,-2.9101155,5
30,0.26468718,2.2904022,-1.02731,-2.8657084,6
31,-1.699659,-2.2381616,-0.5037219,-2.9761128,7
32,-5.438358,-0.0020496696,-0.95479935,-2.8023627,8
33,0.3906554,-2.1192327,-1.1669297,-3.013054,9
34,1.6102747,0.42531133,0.46875054,-2.3878744,10
35,2.3615007,0.87009746,-1.1691009,-3.2811968,11
36,-3.8964798,0.14972895,-0.36021832,-2.698277,12
37,-0.37919748,0.3477049,0.010652117,-2.7578948,13
38,-0.60098875,1.3464525,0.43911117,-2.225788,14
39,-3.2664626,-0.8813245,-0.33520523,-2.9490986,15
40,-5.4397964,0.63241506,-0.8041917,-2.9290495,16
41,-2.910209,0.4481545,-1.0323837,-2.7902958,17
42,0.7170551,0.8957048,-0.6129909,-2.785081,18
