,inferred dec temp,true dec temp,subject,inferred reward rate,true reward rate,inferred habitual tendency,true habitual tendency,inferred policy rate,true policy rate,inferred cached weight,true cached weight,inferred cached rate,true cached rate
0,4.922557,5.43775,0,0.24847946,0.24196404,1.9901017,0.0,0.9187074,0.0,5.115849,1.843128,0.8949157,0.9399113
1,5.232047,5.9689116,1,0.63836753,0.75441056,1.9840173,0.0,0.43674132,0.0,3.545679,3.2623527,0.5816386,0.0099615455
2,1.8914828,2.1770344,2,0.16712633,0.21805209,1.4131696,0.0,0.72683835,0.0,5.4013176,3.8473582,0.3809847,0.10551286
3,1.8347715,2.0276697,3,0.55485266,0.2691409,1.3964404,0.0,0.813461,0.0,6.4934154,3.5299911,0.68723196,0.49969018
4,5.9025292,5.051797,4,0.34454113,0.31725657,1.9431385,0.0,0.92089385,0.0,5.600645,1.1602548,0.80116004,0.49307495
5,3.0635183,4.4195013,5,0.3715634,0.546218,1.5379795,0.0,0.5140734,0.0,5.285526,3.9944196,0.26552486,0.07012051
6,2.2338254,3.1425614,6,0.6824042,0.9645127,2.0486453,0.0,0.93531865,0.0,5.1530952,1.0022707,0.672909,0.44450873
7,4.842512,5.8219495,7,0.07324614,0.07617277,1.4578805,0.0,0.72690773,0.0,6.336304,4.6481605,0.8285541,0.83246064
8,2.670314,3.0506353,8,0.42200255,0.49461102,1.8653153,0.0,0.9244409,0.0,4.7869616,1.3224423,0.68093175,0.18427879
9,1.7179496,1.3685248,9,0.12064631,0.07922149,2.2991328,0.0,0.8294568,0.0,5.296208,3.694437,0.73908275,0.09109658
10,4.7805614,5.5781136,10,0.62121445,0.7468547,0.9225747,0.0,0.17413609,0.0,5.8421726,4.514592,0.080898136,0.05434215
11,2.2424889,2.5013537,11,0.7951775,0.94693977,0.9579205,0.0,0.5812945,0.0,7.788172,5.27084,0.33779448,0.24538743
12,4.0748787,4.3283706,12,0.35423213,0.36571836,1.0057112,0.0,0.58437,0.0,7.251078,5.8826036,0.6999697,0.77235496
13,5.163703,4.8174925,13,0.4780111,0.58561504,1.8955919,0.0,0.8972919,0.0,5.8809233,1.8393266,0.7111637,0.5199323
14,4.7426233,5.0167994,14,0.8209285,0.8108076,1.1254656,0.0,0.2166761,0.0,5.5231376,5.637143,0.09090919,0.042652488
15,4.535711,4.5185385,15,0.3047238,0.26419348,1.0873045,0.0,0.7149638,0.0,7.5487113,4.7724094,0.7448126,0.69584125
16,2.2048614,1.9463332,16,0.6455088,0.6460945,1.6933936,0.0,0.9293225,0.0,4.192795,1.2398163,0.8938572,0.67247945
17,1.4241519,2.7281554,17,0.4604411,0.97456855,1.1573049,0.0,0.7297063,0.0,7.5444484,4.6349816,0.6405277,0.6931797
18,4.038979,4.6835737,18,0.02225143,0.026406288,0.8850881,0.0,0.51547575,0.0,8.409576,5.766987,0.27319172,0.19525993
19,3.4651828,4.26553,19,0.8346533,0.961035,1.9043641,0.0,0.8983235,0.0,4.7090635,1.6184266,0.88767445,0.63815933
20,1.8891916,2.690612,20,0.6648449,0.5329115,1.0507351,0.0,0.58418435,0.0,6.4943376,5.3293204,0.6947206,0.673676
21,1.9448755,2.1459846,21,0.73433137,0.8457297,1.0150222,0.0,0.5761266,0.0,7.310938,4.9080925,0.7489476,0.8526186
22,4.9701133,5.0423675,22,0.48286077,0.44166517,1.4751934,0.0,0.78606933,0.0,6.3617115,3.7149332,0.4606167,0.347391
23,3.077563,3.2588077,23,0.77266604,0.9556723,1.0923225,0.0,0.6761227,0.0,6.0907164,5.191757,0.6972316,0.61666954
