,locs0,locs1,subject
0,-1.7674325,-1.1286367,0
1,0.57840127,-0.07794078,1
2,-8.163499,0.80275786,2
3,-2.030219,-1.3544488,3
4,-3.2998233,1.5451865,4
5,2.5737228,-2.2118313,5
6,-1.0063914,-0.85239464,6
7,-2.1820052,-1.8217146,7
8,-2.0812166,0.19278735,8
9,-5.811476,-2.4011033,9
10,-6.019224,2.6881635,10
11,-1.0029135,-0.7584685,11
12,1.3603003,-2.3668997,12
13,-1.6715833,0.0944694,13
14,1.4015617,-3.0749092,14
15,-1.8680493,-2.044064,15
16,-0.64261144,-1.6624572,16
17,-4.8458076,-1.3332691,17
18,1.8255432,-1.8115642,18
19,-1.2832506,-1.6602147,19
20,-1.9293896,-3.1366663,20
21,-0.7968795,-0.22046676,21
22,1.8041362,-2.5999694,22
23,-0.70741725,-0.54193276,23
24,-2.0323644,-1.058812,0
25,0.67257094,0.31038958,1
26,-1.8916885,-1.3388448,2
27,-1.7624533,-2.007545,3
28,-3.8484945,1.4053437,4
29,1.4007039,-3.094858,5
30,-2.032616,-1.2254479,6
31,-1.6267147,-1.2960237,7
32,-2.52187,-0.1892416,8
33,-5.089672,-2.5072918,9
34,-6.288112,2.8051174,10
35,-0.0866974,-0.29038554,11
36,-0.322469,-2.7462785,12
37,-2.1137247,-0.5144981,13
38,1.051746,-2.301128,14
39,-2.7546601,-1.7916116,15
40,-0.69135225,-1.1406279,16
41,-4.1397696,-0.3756013,17
42,1.7968979,-1.8920766,18
43,-3.745154,-2.7271838,19
44,0.20385683,-2.7231855,20
45,-0.2886043,-0.14573234,21
46,2.7926798,-2.6521487,22
47,-0.23634052,0.3916975,23
48,-1.7483988,-1.3586985,0
49,0.92386854,0.4157278,1
50,-8.322439,0.9240171,2
51,-2.139498,-1.631728,3
52,-3.579672,1.9222448,4
53,3.4448533,-2.8796852,5
54,-1.4645762,-0.79700845,6
55,-2.3280764,-1.5524173,7
56,-2.439522,-0.12913175,8
57,-7.2651587,-1.571105,9
58,-6.1260433,2.6992304,10
59,-0.6580475,-0.8470285,11
60,2.3188422,-2.5236683,12
61,-1.9070278,-0.36403754,13
62,2.2058694,-2.6380756,14
63,-1.7993786,-2.042967,15
64,-0.84592634,-1.4368298,16
65,-5.1899185,-0.65920806,17
66,1.301323,-1.7496667,18
67,1.9632334,-1.4106338,19
68,3.1585069,-3.0189605,20
69,-0.75873566,-1.1117709,21
70,1.7817599,-3.2178218,22
71,-1.0456566,-0.3918129,23
72,-1.8502424,-1.3610252,0
73,0.25089324,0.12596284,1
74,-7.653865,0.9699863,2
75,-1.8165888,-1.9941785,3
76,-3.436912,1.1374873,4
77,1.6234349,-3.3153145,5
78,-1.7387333,-0.9680716,6
79,-1.870939,-1.3320649,7
80,-2.2305098,0.6100402,8
81,0.70780647,-3.308221,9
82,-4.969346,1.7666559,10
83,-0.4131825,-0.4175337,11
84,-1.5276246,-2.2420378,12
85,-2.0062919,-0.28956717,13
86,0.16288912,-2.9904823,14
87,-2.5286787,-1.7814862,15
88,-1.710572,-1.9675034,16
89,-5.1540055,-0.7012378,17
90,1.4844155,-1.9841303,18
91,-2.2552943,-2.1921163,19
92,2.1690378,-3.3981264,20
93,-1.1379342,-1.0152578,21
94,0.0370425,-2.794501,22
95,-1.4346918,-0.36702988,23
96,-2.1217122,-1.3583536,0
97,0.48348883,0.14814343,1
98,-1.4076471,-1.4848868,2
99,-2.2251487,-2.0055447,3
100,-3.8896396,1.1835594,4
101,2.383829,-2.9572136,5
102,-1.3718612,-0.45443255,6
103,-2.6379275,-2.3880136,7
104,-2.2545755,0.359792,8
105,5.520937,-2.87185,9
106,-7.182564,3.3814378,10
107,-1.1997588,-0.84495854,11
108,-1.4354088,-2.7337441,12
109,-1.5220102,-0.21584558,13
110,0.29828596,-2.1894984,14
111,-2.2644775,-2.06936,15
112,-1.3802891,-1.7567483,16
113,-4.431497,-1.0911342,17
114,1.8359401,-2.0947492,18
115,-2.4167604,-2.160622,19
116,2.5380366,-2.769129,20
117,-1.052118,-1.2173877,21
118,0.6021235,-3.064831,22
119,-1.3487794,-0.22705814,23
120,-2.1563315,-1.6617678,0
121,0.34929484,0.23865438,1
122,-9.6129,1.2154423,2
123,-1.7992953,-1.5368354,3
124,-3.6021852,2.1694336,4
125,-0.7364272,-3.4464538,5
126,-1.182271,-0.3893105,6
127,-2.2996755,-1.5275302,7
128,-2.1965156,-0.10490839,8
129,0.52527046,-3.0296936,9
130,-6.5759664,3.1758223,10
131,-1.1565772,-0.71014863,11
132,0.45439678,-3.0563984,12
133,-1.8682256,-0.82079804,13
134,0.6644399,-2.2638903,14
135,-1.4141817,-2.3787377,15
136,0.060254693,-2.380355,16
137,-4.9034414,-0.8138305,17
138,1.560152,-1.583812,18
139,-2.26329,-2.1655722,19
140,-0.2233324,-2.2294266,20
141,-0.95491624,-0.468754,21
142,0.3691969,-3.042704,22
143,-1.0275598,-0.2006987,23
144,-1.9472809,-0.9507331,0
145,0.6310452,-0.013485387,1
146,3.9563994,-3.5584598,2
147,-1.474057,-1.1759543,3
148,-3.8445158,1.2159688,4
149,-0.12773132,-2.9925327,5
150,-1.8778393,-0.90717137,6
151,-2.1512156,-1.7717454,7
152,-1.9753002,0.13367215,8
153,0.8303932,-1.8393897,9
154,-5.5629416,1.8806175,10
155,-0.17413932,-0.7102696,11
156,1.7361547,-2.3654442,12
157,-1.6635172,-0.037133858,13
158,1.7056713,-2.5763516,14
159,-2.8214045,-1.8304276,15
160,-1.8073006,-1.936896,16
161,-4.759564,-0.89598274,17
162,0.8730463,-2.2947793,18
163,-1.9659482,-2.0621028,19
164,-0.9035579,-3.1830711,20
165,-0.91822016,-0.9010954,21
166,2.2143867,-2.8618937,22
167,-1.3955535,-0.62343943,23
168,-1.8489674,-1.6442639,0
169,0.5186471,0.0994392,1
170,-3.4118996,-0.95859015,2
171,-2.2933018,-1.5420448,3
172,-3.442043,0.9391477,4
173,2.2865076,-2.780852,5
174,-2.3776207,-0.30738962,6
175,-2.1266809,-1.5116125,7
176,-2.3784413,0.16700958,8
177,-5.1023016,-2.3136992,9
178,-7.506974,4.103032,10
179,-0.25606474,-0.5388013,11
180,3.6230478,-2.4574518,12
181,-1.6559434,-0.5391292,13
182,-0.571743,-2.9932191,14
183,-2.4186828,-2.2743886,15
184,-0.13549232,-1.9664228,16
185,-4.815591,-0.8445263,17
186,0.5425627,-2.388371,18
187,-3.2261848,-1.8907167,19
