,inferred dec temp,true dec temp,subject,inferred reward rate,true reward rate
0,2.4752796,3.8481545,0,0.120416656,0.23313135
1,5.230821,4.4451237,1,0.5976124,0.6382846
2,2.9959548,3.0600524,2,0.3583283,0.8357593
3,1.6052248,3.0333366,3,0.11459887,0.84340596
4,7.9164386,2.0409358,4,0.022208624,0.036389768
5,0.5137049,3.89355,5,0.7235797,0.5526275
6,3.101165,2.193664,6,0.17126521,0.4438424
7,1.7588952,2.3415546,7,0.1334601,0.32130384
8,5.339444,5.467368,8,0.087792605,0.14429879
9,0.87921816,1.3823159,9,0.37057915,0.7672987
10,9.197268,3.3008764,10,0.0031976944,0.9174252
11,3.9495327,3.8654585,11,0.38378376,0.9356258
12,0.6991689,4.7404904,12,0.63931197,0.84865284
13,4.394903,5.1417394,13,0.15910622,0.63834596
14,0.65033287,4.296985,14,0.7419601,0.8102145
15,1.2939799,1.4552191,15,0.11460266,0.23961818
16,1.3939524,2.8749418,16,0.32423505,0.48706567
17,3.1877475,2.6264799,17,0.009754403,0.642854
18,1.2173325,1.9842649,18,0.7573253,0.87514335
19,1.2080883,3.0747945,19,0.18817432,0.90463996
20,0.6681598,2.4302113,20,0.6736327,0.34331357
21,3.480835,4.2293415,21,0.3276564,0.28583217
22,0.52110255,4.15401,22,0.80946547,0.4935032
23,4.833548,3.5808659,23,0.27318096,0.39042968
