,policy rate,reward rate,dec temp,habitual tendency,cached weight,cached rate,subject
0,0.59899926,0.70855135,0.9529673,5.7825923,1.5771912,0.7754616,0
1,0.90303266,0.7228342,4.9626975,3.6623847,2.628489,0.73862255,1
2,0.10437551,0.50961566,4.7296553,6.837533,6.2920685,0.34148908,2
3,0.6891162,0.7634465,1.1842855,7.397167,3.783886,0.88212866,3
4,0.6027158,0.8896119,1.9918759,6.5940638,2.5627718,0.73021317,4
5,0.20743261,0.2731981,2.6469264,7.7749753,4.527964,0.8006652,5
6,0.6515341,0.60796714,3.1454582,7.2729063,3.7485323,0.8395335,6
7,0.47234526,0.6826124,1.3492578,4.390889,2.8711379,0.85532016,7
8,0.5996938,0.19889413,4.4156556,5.19206,6.055423,0.7130186,8
9,0.80638635,0.34851968,1.0460876,6.424167,1.6813757,0.5685549,9
10,0.20573913,0.9075339,2.3199542,6.6309586,3.8614607,0.8036915,10
11,0.735613,0.89137644,3.9849641,2.9975033,2.470347,0.71560407,11
12,0.6642915,0.81235355,3.4707153,5.762828,2.003637,0.39150336,12
13,0.91306555,0.5586217,5.549395,6.7712307,3.4826488,0.9268919,13
14,0.6900534,0.60526854,3.4687939,6.030305,2.3792734,0.81089115,14
15,0.79506046,0.3673715,2.7882383,5.1122074,4.006004,0.96316195,15
16,0.90648043,0.43509257,3.6551952,4.2223105,3.532786,0.8924221,16
17,0.11015465,0.75204086,2.9986331,1.894005,1.1976373,0.7558673,17
18,0.021503631,0.90208495,1.6550106,1.365363,0.7715713,0.50924784,18
19,0.5598965,0.69602966,1.9662771,3.464126,2.2107832,0.8518551,19
20,0.9103286,0.11776881,2.0348322,6.0192943,2.399584,0.88265866,20
21,0.7935834,0.50429404,4.194112,2.6045656,1.9482387,0.7975284,21
22,0.4148356,0.7682846,3.6973028,7.1862803,2.1776512,0.3954347,22
23,0.7553528,0.37530187,3.9185858,3.8756065,2.8832352,0.8824606,23
24,0.7794968,0.26723582,1.9312043,7.562397,1.8135744,0.43902966,0
25,0.9232074,0.48837662,5.4069977,2.9540505,2.4303608,0.89414907,1
26,0.28320882,0.8533107,2.3169699,6.5810914,2.1083498,0.6217295,2
27,0.61092263,0.81255776,2.0029738,5.8683596,0.4346242,0.7224636,3
28,0.87239176,0.4349429,3.0144513,6.4285684,0.71144426,0.669382,4
29,0.25032577,0.77491087,4.1749616,7.676273,3.1001534,0.7578238,5
30,0.63899326,0.5241899,1.4567238,5.449328,2.0770104,0.4220787,6
31,0.8251877,0.5272627,1.2070129,4.461731,3.6566162,0.7155515,7
32,0.7442724,0.14697595,5.795884,5.315762,5.353255,0.84442234,8
33,0.79233444,0.5847866,1.3316149,7.566171,4.262031,0.84569937,9
34,0.24721827,0.3815472,2.6141918,6.235728,3.9301543,0.9681123,10
35,0.60814893,0.27773598,1.2364569,3.161314,4.099664,0.44006702,11
36,0.7672049,0.8373183,5.077152,5.330868,1.0881433,0.61577755,12
37,0.8722208,0.60307467,7.650127,6.4421887,1.3602804,0.7670833,13
38,0.5476144,0.5367485,2.842063,7.1741867,3.7962694,0.63790965,14
39,0.62723505,0.24060774,1.0547712,2.9621315,1.3109486,0.61577475,15
40,0.82054347,0.4848904,2.7069721,3.399243,2.0803776,0.7054463,16
41,0.054010376,0.47356066,2.2418616,1.0653092,0.6537926,0.5798207,17
42,0.058844473,0.5846833,1.4516371,1.3824098,0.7206941,0.43686143,18
43,0.54689705,0.6437696,1.4583765,4.955832,4.30968,0.8918375,19
44,0.8652257,0.39700225,1.2002815,6.6341186,4.040354,0.9179302,20
45,0.78235507,0.4426241,2.7783835,3.1909585,2.313218,0.4952245,21
46,0.2741051,0.73936045,0.8827083,4.9346848,4.880974,0.7727022,22
47,0.7254241,0.39566794,3.8564916,3.463055,1.9792199,0.80010283,23
48,0.7056208,0.561366,1.8110096,7.451975,3.2668104,0.8207968,0
49,0.83193445,0.68335605,5.0222692,1.2721008,0.25582045,0.61878955,1
50,0.23596849,0.245019,2.6206508,7.5715103,1.1888962,0.68453974,2
51,0.69162285,0.6195406,0.7536509,6.7171917,4.9844036,0.9248288,3
52,0.86838764,0.5477991,0.72026813,7.6923995,5.1965733,0.89268947,4
53,0.16245103,0.8145093,2.4934273,6.3329225,2.3536499,0.8838921,5
54,0.77115,0.63889146,1.3313979,5.763654,1.4192789,0.9037395,6
55,0.6679641,0.7498765,1.2393484,4.8318057,2.4287515,0.92224616,7
56,0.6422302,0.19025505,5.8535647,5.8990808,5.6049767,0.6287534,8
57,0.76831585,0.62588066,0.73536223,5.6081467,1.6653514,0.58124226,9
58,0.5873097,0.18599404,5.4292006,8.566962,2.9083462,0.45623764,10
59,0.80278665,0.8620774,2.7991095,3.111858,2.373521,0.6977545,11
60,0.87649167,0.84916914,3.989802,6.5216627,1.9229578,0.60039335,12
61,0.6807523,0.5207814,5.5867443,4.3653708,0.6446576,0.67429715,13
62,0.68310344,0.6618314,2.6895306,5.3647394,1.9684626,0.8289089,14
63,0.71010774,0.8665953,2.036754,4.473407,2.365057,0.80273896,15
64,0.5843137,0.43806717,1.3776166,3.4914114,2.403481,0.4646774,16
65,0.15473546,0.7061168,1.9594257,1.7146385,0.7436347,0.6285871,17
66,0.020265035,0.40289393,1.6089938,1.1549392,0.49388564,0.84347826,18
67,0.6095623,0.65369624,0.7998284,5.152467,3.8384252,0.6994577,19
68,0.69667387,0.14325309,1.3441124,5.2643275,1.8134819,0.4365812,20
69,0.70397204,0.4856133,4.1314483,2.2593226,0.6320372,0.7044083,21
70,0.45463562,0.7945268,1.8428475,7.6631823,2.131706,0.4669364,22
71,0.59563315,0.3784806,3.19919,3.516612,1.8991305,0.88561237,23
72,0.63383245,0.47126928,0.6201816,7.671892,3.8185558,0.593727,0
73,0.7171003,0.7024304,6.493011,2.5183132,1.6031315,0.74698466,1
74,0.11017358,0.37033525,3.512602,4.539965,2.5213327,0.7567146,2
75,0.7544523,0.61687225,2.3566463,8.176738,4.2554116,0.90859866,3
76,0.75973445,0.4686124,0.67976147,6.8554697,2.8402424,0.85431015,4
77,0.3608178,0.9115367,3.8176455,7.0568233,1.163841,0.43420303,5
