,locs0,locs1,locs2,locs3,locs4,locs5,subject
0,-4.730894,-0.72335124,-2.2057474,-2.524985,-2.4402034,-1.2309312,0
1,-1.1705973,-3.5217247,-1.9116237,-2.2483644,-2.3972464,-0.7929381,1
2,-3.8195438,-2.2141078,-2.5138373,-2.5915217,-2.3469543,-0.45858252,2
3,-2.2433252,-3.5801167,-0.40361434,-2.6314318,-2.157268,-3.244091,3
4,-9.112624,1.1831448,-0.3555744,-1.7064642,-2.4892476,-1.2888567,4
5,-0.5505072,0.4712073,-1.2614998,-2.6230464,-1.8858571,-0.24230266,5
6,0.2753024,0.09632853,-2.782331,-2.3826873,-2.657549,0.03851652,6
7,-2.0625672,-0.25911164,-1.0970348,-2.6914768,-2.4080634,-0.17175114,7
8,0.27862883,-0.8370812,-0.7840108,-2.5602427,-3.0818763,0.7267418,8
9,0.31288898,-0.27994102,-2.0781655,-2.6464152,-2.7888484,-2.084096,9
10,-3.3489056,0.4683354,-0.7472617,-2.4851723,-2.4541876,0.16465384,10
11,-2.249187,-4.5771217,-1.1797225,-2.606543,-2.7312129,-2.9308405,11
12,-0.35114586,-0.011097968,-2.3351595,-2.5048308,-2.9883206,1.4777057,12
13,-1.6847616,-1.7694697,-1.6168327,-2.3573816,-2.36911,-1.6674292,13
14,2.0420847,-0.2043097,-0.9706767,-2.3819184,-2.474761,0.53996444,14
15,1.2663512,1.6236359,-0.9655541,-3.2840219,-2.4100769,-0.37948656,15
16,0.7807555,-1.5576069,-1.0516891,-2.1045165,-2.5364444,-2.6581004,16
17,1.561697,-0.8083705,-1.3866342,-2.4735968,-2.3206081,-1.0328324,17
18,-1.5991398,-0.67661154,-0.37434328,-2.5878313,-1.9849805,-0.7327524,18
19,-2.691952,2.1138573,-1.2613456,-2.4536085,-2.4592206,-0.66858965,19
20,-3.478227,0.42892134,-0.46291292,-2.4357224,-2.1896448,-0.49342477,20
21,-1.0977801,0.14145386,-1.4352231,-2.4833627,-2.8036811,-0.063228935,21
22,-1.0892806,0.080562025,-1.9131255,-2.4016297,-2.403037,-1.6158621,22
23,-2.7953334,-1.786769,-1.5381048,-2.6775436,-2.905707,-0.2541316,23
24,2.9566588,1.1271447,-2.2105885,-2.2946901,-2.5718472,0.2422972,0
25,0.07819915,-1.2025166,-1.6314992,-2.5854082,-3.023174,-0.41765225,1
26,-2.1901817,-1.9244676,-3.038958,-2.28285,-2.69592,1.2857933,2
27,-1.3381426,-3.318406,-0.3157547,-2.4117913,-3.031342,0.43633425,3
28,-5.097918,0.43698063,-0.23392758,-2.4895713,-1.7976093,-1.4314482,4
29,-2.9272165,0.004919797,-0.59557515,-2.4387674,-1.8682598,-0.30324268,5
30,-5.217424,-1.1406864,-2.7926655,-2.9333887,-2.7944036,-1.4154215,6
31,-3.754909,-1.6080121,-1.7350869,-2.3317652,-2.7703955,-2.7127264,7
32,-3.2518885,-1.6314455,-0.75328434,-2.3174539,-2.7432714,0.36111656,8
33,1.262936,0.9540766,-1.5670114,-2.7636025,-2.2468276,0.9875387,9
34,-1.117647,-0.543671,-1.3400888,-2.5399082,-2.6352777,-0.35307145,10
35,-3.0817995,-4.381784,-0.7090039,-2.5430882,-2.5858045,0.40530252,11
36,-0.82759464,-0.95908976,-2.7148037,-2.5034978,-2.8970642,0.10292876,12
37,-1.9488204,-1.3305988,-1.8074145,-2.4552162,-2.2474165,-0.9311899,13
38,1.9672147,0.3949884,-0.7447084,-2.7107673,-2.320529,0.06837922,14
39,-1.6194358,-0.727372,-1.0199832,-2.652321,-2.1311488,-1.0113431,15
40,0.58387715,-1.3875953,-1.1176724,-3.070901,-2.7569008,-0.46064854,16
41,-1.0203261,-0.59358037,-1.222422,-2.8810542,-2.3333697,-0.8209487,17
42,-4.014589,-0.74025387,-0.2888407,-2.9344459,-2.6007516,-0.18355447,18
43,-1.4941366,-1.5576806,-2.060035,-2.6769161,-2.354119,-0.6511353,19
44,-4.9825783,0.32164055,0.21665597,-2.2243402,-3.470678,0.06722164,20
45,-2.1694632,-0.99565077,-1.8282683,-2.4971423,-2.2817955,-0.758759,21
46,-1.8099424,-0.6085227,-2.4824023,-2.7503853,-2.6368399,0.50379235,22
47,-0.489511,-2.1924882,-1.2812216,-2.7191787,-1.9031078,0.733482,23
48,-5.835076,1.7132537,-1.8310636,-2.378907,-3.026067,-0.3910382,0
49,-0.5441431,-2.2936783,-2.0230505,-2.7985022,-2.1133573,0.71922064,1
50,-2.9195213,-0.18794516,-2.2824051,-2.392695,-2.4161022,-0.07849994,2
51,-1.0103629,-3.2660294,-0.62478995,-2.3761919,-2.7002625,-1.1115887,3
52,0.6353719,0.5668731,-0.73802346,-2.7822177,-2.3653975,-0.8807727,4
53,-1.8589488,-0.4571469,-1.2730316,-2.7372935,-2.1967924,-0.17265862,5
54,-2.1585925,1.9906368,-2.3582115,-2.4117796,-2.9273605,-2.8556077,6
55,-3.216136,-1.1704186,-1.3503445,-2.8692236,-2.5603878,-0.32102168,7
56,-2.0828292,-1.2544438,-1.0811837,-2.7178373,-2.1755073,-0.8162916,8
57,-1.2700446,-0.7277311,-2.1194382,-2.7841175,-2.7776785,1.5983648,9
58,-2.5823083,-0.8635744,-1.6459718,-2.5785396,-2.803075,-0.42788872,10
59,-1.5627314,-4.977437,-0.7927835,-2.6530957,-2.4700513,0.08749354,11
60,-0.5067514,0.7239293,-1.8888406,-2.1158452,-2.75097,-0.3622566,12
61,2.505748,-2.2540443,-1.2161629,-2.7155313,-2.6028094,0.78090286,13
