,inferred dec temp,true dec temp,subject,inferred reward rate,true reward rate,inferred habitual tendency,true habitual tendency,inferred policy rate,true policy rate,inferred cached weight,true cached weight,inferred cached rate,true cached rate
0,1.2940087,1.0315824,0,0.5204988,0.5999906,0.7571911,0.0,0.25256076,0.0,0.739611,0.0,0.49068892,0.0
1,1.3307565,3.361435,1,0.3153623,0.4675944,0.7375391,0.0,0.30344903,0.0,0.85507125,0.0,0.2702282,0.0
2,1.0691798,1.0619648,2,0.40973768,0.42558616,0.7812517,0.0,0.32013327,0.0,0.605337,0.0,0.4644837,0.0
3,3.4227223,4.7932186,3,0.033652194,0.04719335,0.94721645,0.0,0.16999719,0.0,0.7542993,0.0,0.2904682,0.0
4,3.5947359,3.8849723,4,0.66226596,0.9012376,0.8207789,0.0,0.28582165,0.0,0.9741474,0.0,0.24112149,0.0
5,2.5067327,3.6947489,5,0.58505565,0.8436448,0.7103377,0.0,0.13193153,0.0,0.9273464,0.0,0.33670604,0.0
6,0.8934026,1.1776955,6,0.44143516,0.79905415,0.7280969,0.0,0.33654407,0.0,0.75191545,0.0,0.2977918,0.0
7,1.9739497,2.2187886,7,0.2206192,0.409019,0.75534564,0.0,0.1673865,0.0,0.85590434,0.0,0.3925476,0.0
8,3.2071273,3.446734,8,0.23015662,0.35485184,0.7133992,0.0,0.18995492,0.0,0.72439814,0.0,0.4027387,0.0
9,1.3837755,3.0455356,9,0.45292026,0.7213661,0.7253728,0.0,0.3567541,0.0,0.73780024,0.0,0.4903619,0.0
10,2.5407917,3.6445472,10,0.4098665,0.5136449,0.7933331,0.0,0.25027046,0.0,0.7651105,0.0,0.39760426,0.0
11,3.379516,5.024069,11,0.014982496,0.029635191,0.7269208,0.0,0.0774548,0.0,0.83047146,0.0,0.2788305,0.0
12,1.0817068,2.0084538,12,0.34029233,0.4943782,0.94306916,0.0,0.37754098,0.0,0.70329523,0.0,0.5389839,0.0
13,1.9877871,2.2274766,13,0.26177615,0.37790453,0.7146046,0.0,0.24988288,0.0,0.7625271,0.0,0.36596546,0.0
14,3.2810917,4.5536947,14,0.6187214,0.8235665,0.78182435,0.0,0.27562594,0.0,0.7067855,0.0,0.33013943,0.0
15,3.192963,3.0289059,15,0.6457655,0.85521126,0.732022,0.0,0.2843394,0.0,0.8190564,0.0,0.21986316,0.0
16,3.1515694,3.9488695,16,0.20644611,0.35910785,0.7461498,0.0,0.51556313,0.0,0.72164,0.0,0.39765018,0.0
17,2.1797724,2.057358,17,0.3196124,0.45691818,0.70409614,0.0,0.297176,0.0,0.8137208,0.0,0.30686402,0.0
18,3.739788,5.427015,18,0.34411645,0.48375356,0.74808246,0.0,0.3099718,0.0,0.8175209,0.0,0.35643762,0.0
19,1.8016368,2.8750656,19,0.56804013,0.8527636,0.7248446,0.0,0.34276477,0.0,0.73695356,0.0,0.45275635,0.0
20,3.9800618,5.4510036,20,0.54739463,0.63935965,0.6869867,0.0,0.21704562,0.0,0.76049554,0.0,0.50542915,0.0
21,2.0619884,3.0504975,21,0.26796094,0.20624226,0.8155646,0.0,0.16699506,0.0,0.68855727,0.0,0.42196125,0.0
22,1.234219,1.64515,22,0.4714929,0.53502923,0.7381111,0.0,0.3168629,0.0,0.65023106,0.0,0.34882045,0.0
23,2.1952026,2.890478,23,0.16390252,0.1531108,0.69563264,0.0,0.203001,0.0,0.80825365,0.0,0.3492162,0.0
