,inferred dec temp,true dec temp,subject,inferred reward rate,true reward rate
0,0.20602259,1.0766966,0,0.6897935,0.1463111
1,4.2607765,3.5581093,1,0.006119993,0.0049054623
2,2.1261332,2.7414813,2,0.26374993,0.52768254
3,3.3949902,3.721695,3,0.29621357,0.5900875
4,3.6357002,2.922626,4,0.0030770502,0.07327926
5,4.468254,4.342515,5,0.73110205,0.8279162
6,9.643674,5.349745,6,0.0010277813,0.3180123
7,2.6801412,1.8656559,7,0.53041625,0.8659342
8,0.5793916,1.0150436,8,0.60285276,0.5626782
9,0.18444186,4.7846355,9,0.7483757,0.7618785
10,9.53278,3.3605509,10,0.0007781086,0.28675067
11,7.8843665,5.996485,11,0.015101587,0.7649841
12,5.786197,5.035462,12,0.09698669,0.19241089
13,4.625527,1.796772,13,0.14389932,0.41752148
14,6.3002443,5.4790606,14,0.003724155,0.022296607
15,1.0263495,1.2596769,15,0.035595946,0.93855846
16,0.3973388,2.3913908,16,0.5147979,0.9031932
17,3.2891088,4.9149566,17,0.015421724,0.35395116
18,3.0050454,5.353239,18,0.0020718416,0.6257497
19,1.267458,3.442706,19,0.56333697,0.7384175
20,0.6542067,1.7318661,20,0.61617833,0.9074169
21,0.28978676,4.4368773,21,0.52940196,0.2527116
22,1.9561818,1.5242643,22,0.08580189,0.19351375
23,0.5238015,1.1031826,23,0.4306244,0.7302535
