,inferred dec temp,true dec temp,subject,inferred reward rate,true reward rate
0,0.20555273,1.0766966,0,0.7094103,0.1463111
1,4.2276974,3.5581093,1,0.0062050438,0.0049054623
2,2.0897622,2.7414813,2,0.25641498,0.52768254
3,3.390909,3.721695,3,0.29903123,0.5900875
4,3.5344365,2.922626,4,0.0031987382,0.07327926
5,4.4749227,4.342515,5,0.73483783,0.8279162
6,9.613477,5.349745,6,0.0010172493,0.3180123
7,2.6953907,1.8656559,7,0.5322855,0.8659342
8,0.5978954,1.0150436,8,0.5802991,0.5626782
9,0.18902923,4.7846355,9,0.746185,0.7618785
10,9.547525,3.3605509,10,0.0007485372,0.28675067
11,7.9240136,5.996485,11,0.014978277,0.7649841
12,5.8233757,5.035462,12,0.09440202,0.19241089
13,4.591077,1.796772,13,0.1471067,0.41752148
14,6.193911,5.4790606,14,0.0035562157,0.022296607
15,1.0138617,1.2596769,15,0.03323807,0.93855846
16,0.38261408,2.3913908,16,0.5314994,0.9031932
17,3.3111107,4.9149566,17,0.015365989,0.35395116
18,2.9482908,5.353239,18,0.0018203834,0.6257497
19,1.2437779,3.442706,19,0.55715126,0.7384175
20,0.6667066,1.7318661,20,0.61785614,0.9074169
21,0.27647313,4.4368773,21,0.5024307,0.2527116
22,1.9257268,1.5242643,22,0.08361931,0.19351375
23,0.5111933,1.1031826,23,0.41151226,0.7302535
