,reward rate,dec temp,cached weight,cached rate,subject
0,0.9952923,0.532721,0.18455967,0.5621164,0
1,0.0018976715,3.1665273,0.43584627,0.0057427594,1
2,0.10268639,1.7211597,0.5792334,0.99997973,2
3,5.228815e-06,0.28193226,0.54626715,2.1849914e-06,3
4,1.0,0.19684261,0.48200172,0.9924238,4
5,0.97804505,2.9916146,0.7147673,0.5655182,5
6,0.86279917,0.50024337,0.22550137,0.9677969,6
7,0.9838938,2.5101852,0.6381948,0.9999995,7
8,0.00080864434,0.34475017,0.6128617,0.0009503356,8
9,0.9405563,0.26215586,0.25648,0.93055004,9
10,0.9867737,0.7446318,0.21776624,0.99999857,10
11,0.048649807,3.437335,0.5236682,0.14280888,11
12,0.024929738,3.9661396,0.39657313,0.051594112,12
13,0.91748583,0.5059465,0.21375655,0.7153766,13
14,0.58659583,1.3089528,0.3522763,0.00020281014,14
15,0.9999999,0.56506264,0.4538607,0.9842,15
16,0.004831489,0.5608859,0.40492627,0.9610264,16
17,0.9940877,0.52620655,0.34024748,0.99998164,17
18,0.9999989,0.62924534,0.81460583,0.59181565,18
19,0.76995224,0.7354695,0.5029753,1.0,19
20,0.345854,0.40289047,0.51881385,0.17306876,20
21,0.34392017,0.13455711,0.16648294,0.9997527,21
22,0.81339175,0.18440416,0.20306629,0.99999964,22
23,0.8437237,0.43647164,0.52595305,0.95978445,23
24,0.8584393,0.18635932,0.24318969,0.99848926,0
25,0.013287191,3.982942,0.37723863,0.0005107752,1
26,0.03388329,1.3753201,0.24190062,2.5522068e-06,2
27,0.962305,1.4931037,0.75637496,0.99041736,3
28,9.835957e-08,2.1457696,0.25308552,0.9784656,4
29,0.9837887,4.4390397,0.27971625,0.99925345,5
30,0.8907182,0.37337768,0.19815744,0.9998795,6
31,0.9983228,2.3214815,0.29576018,0.9984257,7
32,0.99674314,0.20163207,0.47357395,0.99998486,8
33,0.98835886,0.4238862,0.18239321,0.8253657,9
34,0.67380106,0.1529565,0.30688012,0.9991541,10
35,3.643614e-08,6.624966,0.51093316,0.75460535,11
36,0.023449905,3.6615148,0.6220506,0.04504303,12
37,0.00044415504,0.94597113,0.36972985,0.9097366,13
38,3.0557004e-10,7.1308804,0.37630603,0.9674278,14
39,0.6809374,0.38371474,0.4429952,0.2040513,15
40,0.9999268,0.43371361,0.22889668,0.9930397,16
41,7.286831e-15,4.094867,0.29975218,0.99999404,17
42,0.89866287,0.6875217,0.6061202,0.9999136,18
43,0.9964535,0.811091,0.40456355,8.670998e-07,19
44,0.9998022,0.79799604,1.0996202,7.813577e-05,20
45,0.23661023,0.567034,0.48017955,2.2045917e-08,21
46,0.8383392,0.19471936,0.41165677,1.0,22
47,0.45417193,0.17225543,0.24489552,0.99192965,23
48,0.4676397,0.19216952,0.22011042,0.9702565,0
49,0.00059179467,4.01003,0.36080334,0.983964,1
50,0.05627262,1.1429808,0.16482037,0.99995315,2
51,0.4830538,0.54919493,0.7427234,0.63956183,3
52,1.3373985e-10,2.4643471,0.3346522,0.98598635,4
53,0.97543293,2.8665473,0.875454,0.68728584,5
54,0.89582545,0.5205337,0.2051516,0.9999913,6
55,0.8498456,2.4004893,0.723519,0.97823834,7
56,0.9999131,0.28191656,0.5272731,0.96778005,8
57,0.3149212,0.15416415,0.3446387,0.6128883,9
58,0.9689737,0.393619,0.35763252,0.15974864,10
59,0.9997205,1.0647004,0.6629533,0.9976017,11
60,0.024973858,3.3183374,0.475647,0.9200332,12
61,0.9995172,0.7112182,0.7563356,0.9816203,13
62,0.99999154,0.38341653,0.63766235,8.7534613e-07,14
63,0.075072624,0.4667884,0.32857203,0.019312637,15
64,0.047562744,0.31913844,0.29677856,0.9735058,16
65,4.0772385e-08,2.2908123,0.20188077,0.9999641,17
66,0.97330135,1.3466017,1.010315,0.00046802795,18
67,0.9986136,1.2157136,0.18268085,6.0553252e-06,19
68,0.99842787,0.73037356,1.121902,6.544916e-08,20
69,0.15617064,0.32162648,0.23455338,0.06964929,21
70,0.056836184,0.10559632,0.21437095,1.3454664e-09,22
71,0.74581593,0.36690757,0.32888687,0.9964573,23
72,0.63214344,0.21809229,0.4049558,0.99622726,0
73,0.0019500556,3.2897782,0.3891355,0.081300594,1
74,0.1637233,0.9819219,0.34717676,0.99989915,2
75,0.37644643,1.1840454,0.5410042,0.19969611,3
76,1.2553862e-12,3.1052423,0.6152165,0.995327,4
77,0.982949,3.2125149,0.23169827,0.9999279,5
78,0.96461195,0.56245035,0.2920108,0.99999976,6
79,0.7493476,1.2343173,0.46278083,1.9951762e-05,7
80,2.5596863e-05,0.3887677,0.7082271,0.7219158,8
81,0.9302461,0.19986548,0.19234955,0.926495,9
82,0.98853755,0.34008995,0.35043347,0.9464215,10
83,0.99959356,0.61518097,0.98750794,0.9932319,11
84,0.019827599,4.0086756,0.48354995,0.9752136,12
85,0.9422276,1.4272184,0.22391102,0.26561213,13
86,0.999902,0.3766824,0.48137352,6.0601315e-06,14
87,0.00035985513,0.33414203,0.24207798,0.49909037,15
88,0.9999982,0.46672982,0.2879976,0.9999999,16
89,0.50588197,0.50242996,0.31477544,0.90095365,17
90,1.0,0.2065205,0.85042053,0.8835603,18
91,0.9608801,0.26509348,0.25950208,0.20060621,19
92,0.28480783,0.5141356,0.45255232,0.16746157,20
93,0.22306962,0.1717039,0.34630594,0.9999956,21
94,0.92329574,0.37554565,0.3467895,0.31893212,22
95,0.99245024,1.4846116,0.22797854,0.47846434,23
96,0.9827922,0.28003788,0.32887042,0.7651668,0
97,0.0009218653,3.3554652,0.31113356,0.74885523,1
98,0.1802481,2.1166902,0.32168654,0.0004029874,2
99,0.0025841014,0.4736874,0.7054984,0.58990085,3
100,0.0007081338,1.0809647,1.495968,0.999736,4
101,0.7035877,3.137646,0.31232396,0.92826444,5
102,0.84077305,0.7061184,0.21481594,0.999676,6
103,0.6037445,1.2386653,0.41895348,0.00016122541,7
104,0.9999975,0.52220166,0.49988136,2.7285403e-05,8
105,0.9121866,0.26079607,0.17261,0.91325474,9
106,0.96532595,0.50780404,0.33269817,0.9928076,10
107,0.99699605,1.350906,0.47307327,0.88298804,11
108,0.018851316,3.4562593,1.2139889,0.00039898427,12
109,3.5910898e-06,2.4803278,0.5460172,0.9814138,13
110,7.353357e-08,4.1724725,0.29912537,0.98619276,14
111,0.9999459,0.36960733,0.47370777,0.99986017,15
112,0.9801902,0.13977341,0.2916722,0.061041597,16
113,0.9391344,0.7217468,0.22627434,0.009730966,17
114,2.1879022e-16,2.3327217,0.7747707,1.0,18
115,0.9992662,1.0337194,0.3653605,1.0,19
116,0.09622143,0.4383813,1.0584129,0.063459106,20
117,0.9896373,0.5522804,0.28003418,5.9100585e-14,21
118,0.056379862,0.24190648,0.2985037,0.9922232,22
119,0.95809835,1.0195618,0.2864672,0.99972266,23
120,0.3370715,0.2894523,0.39838737,0.90414464,0
121,0.0028932474,4.012832,0.28431955,0.0030738658,1
122,0.07249656,2.0983417,0.32422635,0.9994566,2
123,0.031608693,0.57817286,0.6617736,0.8781583,3
124,0.9999987,0.30453664,0.747507,0.89715064,4
125,0.9967098,3.204894,0.69277406,1.0408973e-07,5
126,0.9883554,0.67696923,0.32398146,1.0,6
127,0.635244,2.299943,0.74052465,0.48792604,7
128,0.9999932,0.19010423,0.2891758,5.758923e-05,8
129,0.6830202,0.2556995,0.19254513,0.8903727,9
130,0.9505979,0.6735707,0.42154014,0.9996897,10
131,0.99969244,0.559312,0.67001057,0.9209368,11
132,0.019565694,2.625079,0.78421,0.0045023276,12
133,1.287729e-11,1.5861928,0.18680504,0.9523679,13
134,4.118898e-05,1.3748202,0.36489156,0.0028966265,14
135,0.9963552,0.7903241,0.31474724,0.9996904,15
136,0.84149665,0.40811485,0.3372964,0.9991449,16
137,5.937721e-05,0.8325217,0.24903092,0.060282417,17
138,0.028361762,1.5077484,1.00773,0.0039002614,18
139,0.26074642,0.70834875,0.2623461,0.9664859,19
140,0.006035573,0.17678298,0.70319605,0.03835338,20
141,0.9956558,0.097553216,0.29261714,6.1021246e-06,21
142,0.953581,0.64234984,0.3242508,0.31736517,22
143,0.43408754,0.54507357,0.19250467,0.99655956,23
144,0.8227119,0.18029311,0.24427073,0.47036573,0
145,0.0013580163,3.3774357,0.38798887,0.84331137,1
146,0.18135728,1.1127846,0.38566574,0.99772114,2
147,0.96130675,0.6872061,0.7924587,0.9980108,3
148,0.9999995,0.36284912,0.6583926,0.9938133,4
149,0.9979898,3.9365892,0.5385201,0.9914961,5
150,0.8329427,0.3266318,0.20046416,0.99973184,6
151,0.7311507,1.1037049,0.38498196,1.8508365e-05,7
152,0.0034488298,0.5252103,0.39406478,1.3803249e-05,8
153,0.64659977,0.31012484,0.14747725,0.73380876,9
154,0.98726547,0.28069732,0.5372212,0.99999,10
155,5.956186e-05,5.284671,0.8428157,0.9790411,11
156,0.03380693,3.1299613,0.4774788,1.3589113e-06,12
157,0.99644655,0.8169998,0.49611413,0.51142484,13
158,0.9999664,0.7019787,0.69138813,0.0008210079,14
159,0.8251136,0.5676998,0.5673225,1.4775657e-05,15
160,0.99978644,0.38926828,0.2683991,0.99999034,16
161,0.9999999,0.271694,0.3533135,0.43999678,17
162,0.99999404,0.76356435,0.5188733,3.5960237e-08,18
163,0.7121471,0.7207066,0.33745253,0.09390866,19
164,0.09706471,0.32721406,0.8318342,2.2442684e-06,20
165,0.95151114,0.26204452,0.20547932,0.9999995,21
166,0.9869653,0.8695793,0.29980275,0.001386421,22
167,0.36606917,0.15981564,0.40224373,0.8035133,23
168,0.87649524,0.3111825,0.22313371,0.9490783,0
169,0.003501826,2.7229924,0.64573693,0.0002699379,1
170,0.10761252,1.7000264,0.36634243,0.9861254,2
171,0.9281218,0.65455437,1.073749,0.9999999,3
172,1.0,0.15714562,0.29489785,0.717041,4
173,0.97648335,3.432728,0.50292814,0.78737426,5
174,0.99006176,0.34951103,0.28380895,0.9999995,6
175,0.9856533,2.2706885,0.24687865,0.9686123,7
176,0.999995,0.48014414,0.8782237,0.002688094,8
