,inferred dec temp,subject,inferred reward rate
0,6.757879,0,0.44932848
1,3.1494877,1,0.63346094
2,6.9511867,2,0.593234
3,6.7555327,3,0.36988714
4,6.299926,4,0.6196831
5,6.0873475,5,0.31377214
6,4.113533,6,0.3468098
7,3.122665,7,0.35693324
8,4.3080564,8,0.30220425
9,6.709549,9,0.3749883
10,5.358503,10,0.37192583
11,4.654489,11,0.61968446
12,6.7434044,12,0.48089245
13,7.145813,13,0.6587479
14,6.700356,14,0.50847304
15,6.8750834,15,0.5124165
16,3.1350486,16,0.5226312
17,3.0738032,17,0.62625366
18,4.308797,18,0.3424622
19,6.9967184,19,0.6636428
20,6.9079413,20,0.42852396
21,4.4002185,21,0.63724387
22,4.0886354,22,0.552409
23,6.529705,23,0.48884192
