,reward rate,dec temp,subject
0,0.54018486,8.855681,0
1,0.74911326,1.9230376,1
2,0.8016839,8.985798,2
3,0.37774748,9.017763,3
4,0.6805549,7.8019166,4
5,0.008356947,2.917817,5
6,0.0014013174,3.0331054,6
7,0.034943763,2.9642582,7
8,0.18352976,3.4724016,8
9,0.50262016,8.919596,9
10,0.065432735,3.8701453,10
11,0.62314045,5.0382905,11
12,0.6080809,8.523835,12
13,0.74941874,8.703169,13
14,0.3507362,7.405752,14
15,0.63417864,9.09228,15
16,0.19661236,1.6978431,16
17,0.5146725,1.5551041,17
18,0.045357678,1.9888102,18
19,0.8649927,9.520818,19
20,0.44348642,8.876865,20
21,0.9004801,5.155161,21
22,0.5285115,4.7673717,22
23,0.51803315,8.548594,23
24,0.3907885,7.9646754,0
25,0.8854885,1.471555,1
26,0.61684835,9.235546,2
27,0.3191206,7.5519257,3
28,0.5612234,7.146477,4
29,0.019155566,2.8505769,5
30,0.0016161453,3.0400853,6
31,0.03964769,2.5484076,7
32,0.24999383,5.041306,8
33,0.27395463,5.951855,9
34,0.08776119,3.7578702,10
35,0.8501901,5.884982,11
36,0.50964874,8.837955,12
37,0.7239213,9.139793,13
38,0.5578752,8.207474,14
39,0.61631227,9.465776,15
40,0.18681903,1.1516526,16
41,0.089205764,0.5276222,17
42,0.21347761,3.099504,18
43,0.8810589,9.669315,19
44,0.4656476,9.301875,20
45,0.86659646,4.088902,21
46,0.5138461,5.8556514,22
47,0.38380852,6.103906,23
48,0.49746305,9.31966,0
49,0.70242685,1.1548687,1
50,0.6548529,7.637313,2
51,0.35737845,8.4432,3
52,0.80091166,7.638489,4
53,0.018216874,3.8475692,5
54,0.0026633712,2.80457,6
55,0.033489518,3.0723667,7
56,0.13450077,2.5693915,8
57,0.42466027,8.540979,9
58,0.15241921,4.3928456,10
59,0.7488541,3.5467541,11
60,0.65059835,9.256159,12
61,0.79579884,9.545259,13
62,0.64936286,9.202203,14
63,0.5708019,8.803195,15
64,0.29343677,2.145876,16
65,0.49786872,1.1636764,17
66,0.0075077633,1.7322347,18
67,0.8789,7.6091223,19
68,0.50672793,9.0749445,20
69,0.87671024,6.584775,21
70,0.6516031,3.6629286,22
71,0.5470895,7.344396,23
72,0.4743446,8.9120455,0
73,0.840311,2.1238363,1
74,0.522842,7.640418,2
75,0.3034819,9.282506,3
76,0.7045338,6.3305545,4
77,0.013896602,2.3263137,5
78,0.0013542855,2.86867,6
79,0.030227527,2.829846,7
80,0.2609467,5.849032,8
81,0.34123918,7.5862045,9
82,0.18976544,4.4829793,10
83,0.76802695,4.3131795,11
84,0.52439916,7.7651734,12
85,0.71145344,9.53641,13
86,0.62158483,9.386894,14
87,0.5679126,9.415282,15
88,0.49027985,1.4960061,16
89,0.22011659,0.5643042,17
90,0.053653743,3.511602,18
91,0.6862378,9.337388,19
92,0.4266934,8.7118225,20
93,0.7155001,5.107717,21
94,0.5074795,3.384392,22
95,0.47141626,7.144272,23
96,0.44762936,8.217981,0
97,0.7669121,0.8555391,1
98,0.6268358,7.7527595,2
99,0.3079547,6.9896574,3
100,0.78308606,8.794561,4
101,0.017824948,3.526456,5
102,0.009498746,2.3929086,6
103,0.022818536,2.6971009,7
104,0.15593693,3.8248,8
105,0.3342572,7.330773,9
106,0.088290885,4.6061835,10
107,0.75848156,5.4606156,11
108,0.50609964,8.030656,12
109,0.77269566,8.8601,13
110,0.5863893,7.407757,14
111,0.5148645,9.187049,15
112,0.3769996,1.7009062,16
113,0.8024182,0.6656262,17
114,0.015630225,3.311615,18
115,0.76103216,9.596385,19
116,0.5317361,9.586575,20
117,0.9321024,4.839001,21
118,0.44691524,4.1654544,22
119,0.5046758,4.7073236,23
120,0.49204317,8.841974,0
121,0.8880446,1.2092003,1
122,0.62549675,7.6739426,2
123,0.39295396,8.095575,3
124,0.82934177,8.31835,4
125,0.021762805,3.1114583,5
126,0.0016521079,3.2481284,6
127,0.026588215,1.9041042,7
128,0.044698615,2.1369324,8
129,0.4237884,8.621494,9
130,0.021389218,3.265554,10
131,0.7149853,4.4145,11
132,0.5127496,9.31019,12
133,0.83114785,8.724911,13
134,0.5441846,8.001648,14
135,0.48718736,9.609243,15
136,0.17385195,1.2029917,16
137,0.14620987,0.4350617,17
138,0.1739717,4.0930605,18
139,0.78160197,9.012012,19
140,0.53356725,8.703146,20
141,0.5544575,4.2620587,21
142,0.57098943,2.0616872,22
143,0.48048505,5.147576,23
144,0.55734557,8.412016,0
145,0.3191031,1.4442933,1
146,0.6720277,9.598476,2
147,0.41660026,8.343347,3
148,0.64981043,6.43625,4
149,0.014992197,3.7126236,5
150,0.006606696,2.4306538,6
151,0.045006428,2.1762297,7
152,0.14240368,3.0189762,8
153,0.40541035,8.506532,9
154,0.12501727,5.402562,10
155,0.7091535,4.7305307,11
156,0.53161824,7.9963655,12
157,0.8287633,9.421779,13
158,0.7428133,7.165165,14
159,0.4153782,8.337589,15
160,0.2987623,2.0130742,16
161,0.13882251,1.0413795,17
162,0.013594274,3.2694495,18
163,0.79973596,9.470627,19
164,0.37131995,7.313637,20
165,0.71336555,2.901668,21
166,0.5435121,3.9198377,22
167,0.60064167,6.0407696,23
168,0.4932145,9.014402,0
169,0.20608355,1.0264591,1
170,0.65631455,9.276855,2
171,0.37382677,9.199568,3
172,0.7232456,6.6890526,4
173,0.010390305,3.427663,5
174,0.0036351164,2.7708106,6
175,0.03304165,2.133496,7
176,0.11782675,2.8445997,8
177,0.38308778,8.1333475,9
178,0.072396815,4.071596,10
179,0.7277004,4.6511936,11
180,0.61716664,8.446779,12
181,0.624466,9.455289,13
182,0.49798363,4.7243385,14
183,0.52481216,9.685284,15
184,0.5986786,1.5954351,16
185,0.2369757,0.53063893,17
186,0.0352015,2.794258,18
187,0.87437457,9.108759,19
188,0.38221878,7.7234945,20
189,0.8159557,5.1335673,21
190,0.27484474,4.764284,22
191,0.3503339,5.393276,23
192,0.31540388,8.631686,0
193,0.6625801,1.0120242,1
194,0.58850366,9.05438,2
195,0.35336125,8.155613,3
196,0.7602823,9.229423,4
197,0.031808916,3.5423338,5
198,0.001533991,3.0545669,6
199,0.025478086,3.0126638,7
200,0.14025487,4.580934,8
201,0.34282216,6.932624,9
202,0.1681144,5.1704044,10
203,0.79913515,4.371229,11
204,0.5724785,8.075432,12
205,0.70309216,9.430662,13
206,0.35229057,6.897549,14
207,0.4541413,9.362639,15
208,0.23850906,1.7798986,16
209,0.21418494,0.49617267,17
210,0.18596488,4.0175595,18
211,0.7502398,9.495563,19
212,0.37356505,9.12057,20
213,0.911246,5.2984614,21
214,0.44080782,5.788143,22
215,0.45248404,7.7482104,23
216,0.5216344,8.89606,0
217,0.4907924,1.5497941,1
218,0.6561998,6.9177094,2
219,0.36710712,8.065553,3
220,0.7012302,6.4825783,4
221,0.02272589,3.339271,5
222,0.0018861558,2.796874,6
223,0.036971875,2.580891,7
224,0.1618825,3.1020358,8
225,0.36561245,7.67478,9
226,0.10358582,5.3681893,10
227,0.7982432,5.0134077,11
228,0.54884124,8.028507,12
229,0.6334752,9.506977,13
230,0.42616427,7.53072,14
231,0.5342803,9.397889,15
232,0.64430416,3.7851658,16
233,0.8408186,0.72874796,17
234,0.053671636,4.0598626,18
235,0.6855099,8.800674,19
236,0.473097,9.353327,20
237,0.6770166,5.1472673,21
238,0.5748266,4.037375,22
239,0.47235557,6.744747,23
240,0.56271464,7.7140307,0
241,0.40234452,1.5331559,1
242,0.6884455,7.065702,2
243,0.30151707,7.7589836,3
244,0.7341986,8.352583,4
245,0.011668167,2.6869345,5
246,0.002184282,3.132677,6
247,0.026014648,3.3687344,7
248,0.10053189,3.0211115,8
249,0.26960427,6.849763,9
250,0.14145537,4.300412,10
251,0.7467143,4.7424526,11
252,0.5393212,8.759344,12
253,0.70734406,9.679501,13
254,0.5768342,8.174694,14
255,0.6962918,9.089216,15
256,0.26376295,2.0672395,16
257,0.4139251,0.4104675,17
258,0.27371904,3.5266552,18
259,0.7540877,9.200718,19
260,0.5894253,9.158641,20
261,0.75543576,4.9877768,21
262,0.5044977,3.5095584,22
263,0.41588384,6.362733,23
264,0.5535456,8.725744,0
265,0.83977884,1.6357312,1
266,0.6965259,9.458297,2
267,0.33222723,8.691116,3
268,0.7182073,7.1884418,4
269,0.016539963,3.1687462,5
270,0.005771848,3.1123445,6
