,inferred dec temp,subject,inferred reward rate,inferred cached weight,inferred cached rate
0,6.8280706,0,0.36944726,3.0693426,0.3321796
1,3.095027,1,0.6382793,3.0213656,0.6475349
2,6.8417315,2,0.51849383,2.913543,0.33177945
3,6.8401895,3,0.34747463,2.9342587,0.34310636
4,6.6983895,4,0.633991,2.9951963,0.31895095
5,6.4780793,5,0.30494928,3.0022392,0.37154147
6,4.653464,6,0.33126226,2.9530563,0.52859646
7,3.1469886,7,0.36676905,2.9396212,0.6414465
8,4.493917,8,0.2945442,2.9429777,0.570235
9,6.4977217,9,0.33030236,2.9823859,0.32202908
10,6.311925,10,0.32251728,3.0185525,0.5243592
11,4.3883495,11,0.6367523,2.93082,0.31572774
12,6.7225747,12,0.38049915,2.8527627,0.3341598
13,6.99243,13,0.6293426,3.0197997,0.32790616
14,6.540019,14,0.44761083,2.9147148,0.5134961
15,6.924398,15,0.47042,2.8925478,0.30847293
16,3.0758526,16,0.44389313,2.8633442,0.59552455
17,3.0188084,17,0.63081396,3.0299485,0.63766783
18,4.9983068,18,0.31330302,2.8398535,0.3004734
19,6.9369783,19,0.63322634,2.9514408,0.3352904
20,6.8837686,20,0.3697807,2.990471,0.3127519
21,4.5421762,21,0.6369148,2.9599233,0.323154
22,4.122352,22,0.5111947,2.9555864,0.51525474
23,6.6132016,23,0.3155769,3.0217319,0.3940528
