,locs0,locs1,locs2,locs3,subject
0,-0.07393363,1.3465186,-1.09059,-1.6550746,0
1,1.2981904,-1.637875,-2.0149753,0.24735737,1
2,-0.37836665,1.1036148,-1.2237842,-0.5383956,2
3,-0.9712853,1.3295314,-1.6171972,-1.6284436,3
4,0.96771926,1.7582552,-2.1121218,-1.6429871,4
5,-2.8588603,-0.08380529,-1.7366621,-0.4319973,5
6,-2.0105367,-0.76414347,-1.4802781,0.045602843,6
7,-0.30994487,-1.8767093,-0.70580953,1.0558884,7
8,-1.3272953,-0.20636822,-1.7536379,0.14017357,8
9,-0.7399178,1.0178065,-1.7863219,-0.9847277,9
10,-2.0970767,1.0010741,-1.3668063,0.17143053,10
11,0.5332544,-0.31159967,-2.1318417,-0.4432422,11
12,0.26715362,1.6053247,-1.3195084,-1.3324819,12
13,1.0712225,1.5127854,-1.5246576,-0.75166714,13
14,-0.23447007,0.7470102,-1.7161661,-0.43063346,14
15,0.060311273,0.7428084,-1.260008,-1.9057951,15
16,-1.9438106,-2.1120944,-1.3923167,0.34209,16
17,-0.42502534,-1.1706808,-1.3413796,1.3587326,17
18,-1.948242,-0.661171,-1.5581251,-1.3862253,18
19,0.84972066,1.0942899,-1.0996349,-1.45503,19
20,-0.49804074,0.76485825,-1.8683221,-0.7985445,20
21,0.031306624,-0.20272923,-2.287854,-0.6224517,21
22,0.41923836,-1.1645448,-2.248784,-2.7284853,22
23,-1.17787,0.69363767,-1.6061066,-0.21845865,23
24,0.16198203,1.9566442,-1.9082704,-1.5712824,0
25,-0.39361066,-1.4451656,-1.4981513,1.3797626,1
26,0.14502048,0.9697785,-1.4660778,-0.275923,2
27,-0.20808992,1.0303886,-1.1985662,-1.9127672,3
28,1.567081,0.62260896,-1.8401396,-1.2694166,4
29,-1.2920406,0.45296347,-1.7077065,0.15902424,5
30,-2.5395832,-1.6147426,-1.7259738,0.038252056,6
31,0.01535058,-1.9743901,-1.7588961,0.25189042,7
32,-1.5800666,-0.67873156,-1.5960594,0.06935264,8
33,-0.68979657,1.545197,-1.9735272,0.7457514,9
34,-2.7789557,-0.38718817,-1.4573454,-1.8234777,10
35,1.3745378,-0.15675555,-1.1383169,-3.5316896,11
36,-0.16327292,1.3609612,-1.6084774,-1.8511205,12
37,1.7972214,0.8675902,-2.0834632,-0.7403271,13
38,-0.6642692,0.52956843,-1.7479979,0.17997283,14
39,0.14805238,0.8981209,-1.322338,-2.6424584,15
40,-1.0019448,-1.7597982,-1.656364,0.081221476,16
41,0.19909793,-1.9489856,-1.437558,1.4965308,17
42,-0.80585545,-0.5301378,-1.6124628,1.4619564,18
43,0.39485848,1.0113573,-1.1876466,-2.2022886,19
44,-0.09337288,0.971333,-1.6305039,-2.0417838,20
45,-0.0042767525,-0.23348337,-1.6879209,-0.947636,21
46,0.019202799,-0.6425775,-0.8737346,-0.80774343,22
47,-2.4570432,0.6682795,-1.6958221,-0.81125724,23
48,0.15143242,1.0559518,-1.4489503,-2.1345282,0
49,0.21268487,-0.813686,-1.4690671,0.85512906,1
50,-0.43648064,0.5294312,-1.2648576,-1.1106862,2
51,-0.7756253,1.1839001,-1.5499696,-2.2701192,3
52,0.70724356,0.50677985,-1.3895558,-1.5804293,4
53,-1.2810346,0.2624578,-1.5801575,-1.1925284,5
54,-1.3583266,-0.6301105,-1.9593775,0.050225332,6
55,-2.0916345,-0.0693475,-1.4760606,1.71399,7
56,-2.2314372,-0.37939572,-1.6457845,0.42492825,8
57,-1.0836725,0.8191323,-1.1042199,-2.6580853,9
58,-1.7210196,0.919791,-1.6622207,-0.7660324,10
59,0.1291579,-0.2108982,-2.1487198,0.14812791,11
60,0.36805516,1.5198658,-1.6526426,0.19728625,12
61,0.7605909,1.8263152,-1.4002414,-1.2052774,13
62,0.1605241,1.5664563,-2.0964675,0.4812384,14
63,0.540256,2.3634033,-2.1518583,-1.857454,15
64,-0.18721974,-1.6346841,-1.6035831,-1.4863385,16
65,0.75409687,-1.0089978,-1.4153655,2.0526955,17
66,-1.2448238,-0.41914606,-1.2018733,-3.1952143,18
67,1.3312137,2.0352352,-1.2146965,-0.56275296,19
68,0.021321118,1.7758856,-1.5851206,-0.7003062,20
69,1.1479706,0.2863069,-1.5695374,-1.8719394,21
70,-0.79141885,-0.88693345,-1.717723,0.03549847,22
71,-1.3565229,0.40516645,-1.5741396,-0.3988374,23
72,0.52900887,2.007792,-1.314944,-1.5525391,0
73,0.7962392,-1.103137,-1.0050464,0.7912242,1
74,0.547624,1.8934814,-1.7745129,-1.1401088,2
75,-0.64567715,1.1085888,-1.1461679,-2.0799305,3
76,1.2374418,1.3949804,-1.2805517,-2.1466732,4
77,-5.231605,-1.2194362,-1.0782316,-1.7093104,5
78,-0.8550886,-0.53269356,-1.8622462,0.5050358,6
79,0.6645453,-1.8892488,-1.6099786,0.34108013,7
80,-1.4872785,-0.56530666,-2.1257064,0.98788166,8
81,-1.3374436,0.43609953,-1.6513468,-0.99780387,9
82,-1.3827914,0.2059002,-1.879214,0.42087662,10
83,0.87847984,0.0503709,-1.9059925,-1.2725879,11
84,-0.30667615,0.76840293,-1.777227,-1.3000551,12
85,1.2503061,1.9907984,-2.5504618,-1.4594414,13
86,0.30332407,1.6608235,-1.431031,-0.0781462,14
87,-0.5071573,0.16236973,-1.504611,-1.1735327,15
88,-0.812676,-1.3710146,-1.5759621,2.7112527,16
89,-0.1792841,-1.7964699,-2.03491,0.2440964,17
90,-2.4745893,-1.407021,-1.1933688,-3.9765205,18
91,0.49517334,1.5621802,-1.0142955,-1.2517557,19
92,-0.34047106,2.0576954,-1.1461968,-1.7270423,20
93,0.63101315,0.21615526,-1.5809656,-1.9549553,21
94,-0.20550835,0.13771594,-1.2219561,-0.10307205,22
95,-0.18001342,0.5576066,-1.8688157,-0.61619794,23
96,-0.23110415,0.9341754,-1.9530623,-1.8388971,0
97,2.6740472,-0.57855433,-2.2948425,0.7184481,1
98,-0.2679206,0.46062517,-1.4950532,-0.8903432,2
99,-0.8143922,1.4965907,-1.9308677,-1.0426295,3
100,1.040364,1.5935448,-1.438286,-2.4539204,4
101,-3.4442902,0.38874605,-1.1203796,-0.6425928,5
102,-2.1959293,-0.8548839,-1.6724577,0.018819243,6
103,0.3355217,-1.4618461,-2.1331277,1.0737008,7
104,-2.3394268,-0.45339096,-1.9458847,-0.22116627,8
105,-1.1813661,0.5548571,-1.4726024,-1.2087722,9
106,-1.2348579,-0.066672206,-1.7178128,-0.19208096,10
107,0.96508914,-0.037008412,-1.4543254,-1.9345961,11
108,-0.09797117,0.86684096,-1.9843018,-1.1115417,12
109,0.3935395,0.73361886,-1.0897939,-1.5034127,13
110,0.76112074,1.2461934,-1.9389971,-0.4016387,14
111,0.5924201,1.145974,-1.0576386,-1.4919231,15
112,0.15535206,-1.4705908,-1.8958572,0.38065615,16
113,-0.11975545,-1.1644086,-1.5509471,0.7372385,17
114,-1.0354303,-0.5710482,-2.6212893,0.9002174,18
115,0.44508886,1.6533039,-1.8757635,-1.4547639,19
116,-0.12580812,1.970741,-1.7674606,-1.0597272,20
117,0.58812326,-1.0881349,-1.6073949,-0.91437495,21
118,-0.41800016,-0.33903098,-0.7523663,0.0074608624,22
119,-2.9926968,0.6643856,-0.6942422,-0.16475987,23
120,-0.60306984,0.49577558,-1.3541627,-1.2720565,0
121,1.5993487,-1.4686136,-0.6735189,1.6801207,1
122,0.18847546,1.5089592,-1.3815745,-0.60031813,2
123,-0.28238094,1.183497,-1.1026952,-2.4771495,3
124,1.5627697,0.81610644,-1.4440079,-1.8553352,4
125,-0.742385,0.6465905,-1.884603,-0.21838337,5
126,-0.45615917,0.32035783,-1.7740933,-0.21793386,6
127,-2.05259,-1.3241903,-1.7266785,0.52919,7
128,-1.2998159,-0.32827812,-2.2444167,0.18197933,8
129,-1.2592736,0.6435163,-1.466176,-0.7475109,9
130,-0.29844487,0.8974196,-1.6077315,0.29098213,10
131,0.75092816,0.14874522,-1.4840443,-0.79934347,11
132,-0.27517277,1.2894293,-1.6718066,-0.7672644,12
133,0.5150125,1.645449,-1.0369679,-1.9524479,13
134,-0.67517287,0.56466484,-1.8931694,0.22990227,14
135,0.65144205,2.260375,-1.1506048,-1.6062468,15
136,-1.4599137,-1.3408321,-1.8889787,-0.13475648,16
137,1.2106421,-1.5822808,-2.0241299,-0.06405938,17
138,-1.7109003,-0.71506214,-1.6689615,-1.5294765,18
139,1.5252087,1.2414386,-2.0164788,-0.69311756,19
140,0.16264436,1.8011553,-2.0662594,-1.365922,20
141,0.59890807,-0.302162,-1.9545801,-1.6742134,21
142,0.5279056,-0.2674229,-0.97607803,-0.40022424,22
143,0.8095745,1.5518078,-1.6457422,-1.2978308,23
144,-0.22102423,1.6023678,-1.2851489,-3.0966346,0
145,-0.4423079,-1.851362,-1.1480966,1.5629895,1
146,0.23824587,1.4827628,-0.89507765,-1.4095048,2
147,-0.3526938,2.0560908,-1.9843776,-0.77725524,3
148,1.0141267,1.7322457,-1.2141356,-1.689174,4
149,-2.2519066,0.90317243,-1.1531434,-1.4963875,5
150,-0.7829667,-0.63440585,-2.304276,0.46105796,6
151,-1.9178448,-0.63479817,-1.4248428,2.3889968,7
152,-1.2754214,-0.2471618,-2.0527363,0.61508447,8
153,-0.981,0.52941865,-1.4951961,-1.2217646,9
154,-3.2794147,-0.8645158,-1.8540158,-1.3079457,10
155,-0.91700095,-0.8702152,-1.5467249,-2.728578,11
156,0.12957057,1.4839622,-1.6687632,-1.6337597,12
157,0.060623586,0.55778784,-1.9600569,-0.9422802,13
158,0.72131705,1.1972384,-0.78984773,-0.29550287,14
159,0.40880087,1.985322,-1.2015603,-1.8056109,15
160,-0.7860809,-1.9870608,-2.4170694,-1.9929625,16
161,-0.40143257,-1.0219488,-1.0454769,1.2004045,17
162,-0.8547119,-1.0588161,-1.7278497,0.59838474,18
163,0.9356128,1.7471312,-0.97710514,-2.8543627,19
164,-0.030322254,1.7129138,-1.7204524,-0.8740138,20
165,1.4827245,0.02964376,-1.0802237,-0.69415855,21
166,-0.29916477,-0.3263633,-1.2324021,-0.48477235,22
167,-3.1485438,-1.1142886,-1.673324,-1.5642369,23
168,0.041618824,1.7624414,-1.507792,-1.5089878,0
169,1.4549205,-1.872166,-1.7279159,0.100477695,1
170,0.12009174,0.6231604,-1.2415416,-1.4320862,2
171,-0.6942097,0.82554436,-1.677678,-0.7538711,3
172,0.53553224,0.41099423,-2.222754,-0.20422375,4
173,-1.346847,0.6318402,-1.5049175,-0.29524887,5
174,-0.6021091,0.29893437,-1.9781287,-0.69491607,6
175,-1.1472788,-1.3380269,-0.94940734,2.2321792,7
176,-1.3074563,-0.13297947,-1.3667431,0.3436575,8
177,-0.7654868,0.8973861,-1.2785931,-0.8606161,9
178,-2.3245971,-0.36125776,-1.8174348,-0.31487674,10
179,1.1916219,-0.101216964,-1.9138162,-0.7023816,11
180,-0.8083375,1.2762258,-1.4890243,-0.41254342,12
181,0.28616768,0.8816043,-1.3508193,-1.8407819,13
182,-0.31068298,0.30705267,-1.5879337,-0.621746,14
183,-0.5281527,1.4244117,-1.6807947,-0.89477944,15
184,-0.17209953,-1.0923127,-1.7674723,-1.9716436,16
185,1.6982832,-1.42646,-1.3799729,0.40753183,17
186,-1.0932727,-0.2294427,-1.2982277,-3.8186107,18
187,1.0832824,1.2745551,-1.7649395,-0.48764408,19
188,0.17369768,1.0728838,-1.1604258,-1.0098039,20
189,0.84217656,-0.13941789,-1.3255883,-1.6521113,21
190,0.10722069,-0.93551636,-2.223457,-0.057907313,22
191,-1.6618254,0.7493527,-2.0732546,-0.63396835,23
192,-1.2638669,0.48209465,-1.9164361,0.308823,0
193,0.68402755,-0.94480705,-2.157238,0.31798542,1
194,0.14371057,1.229674,-1.7162875,-1.792415,2
