,locs0,locs1,locs2,locs3,subject
0,0.57256216,0.6313838,0.5490868,-1.8315195,0
1,-5.4578915,0.49936038,-1.5811188,-2.3026307,1
2,8.155969,1.0158556,0.21412206,-2.4160712,2
3,0.48325887,0.10258886,0.74379843,-2.0485365,3
4,1.1145699,1.2861717,1.4366297,-2.264938,4
5,-0.13730264,-2.4874585,-0.7156497,-2.4288669,5
6,-2.8581688,0.13660948,0.55566496,-1.6801714,6
7,-2.7502036,-1.7913913,-1.4318192,-1.9957571,7
8,-1.6482296,-0.08740336,0.53797644,-2.285859,8
9,1.6112108,-0.04042526,1.5809945,-2.5694797,9
10,-4.106476,0.65239,-0.42919338,-2.3222005,10
11,0.42745924,2.0009937,-0.19745179,-1.9461704,11
12,1.2057843,0.063197374,1.4769701,-1.7409691,12
13,1.1009327,0.79700595,2.0211654,-2.1120346,13
14,-2.4021826,0.15770075,2.7334359,-1.7617283,14
15,0.9843371,0.2642298,2.424463,-2.2822773,15
16,4.454318,0.09864806,-1.8376585,-2.3379045,16
17,-0.87308335,-0.8658912,-2.3747857,-2.3408413,17
18,0.94910747,-0.69871336,-0.6149263,-1.3765234,18
19,0.09890127,1.4639722,1.7681506,-2.5404053,19
20,1.1618364,0.27729544,2.296105,-1.8598706,20
21,4.4840794,1.0012563,-0.42524788,-2.2855234,21
22,-6.1508536,0.2206442,-0.9901053,-2.0583491,22
23,-1.5495551,0.8187245,0.4937635,-1.6320765,23
24,1.9271967,-0.4616183,1.2225865,-1.9177978,0
25,-2.0055707,0.8652246,-1.5549511,-2.4501355,1
26,4.181744,0.5727951,0.52459824,-1.9715648,2
27,0.9755896,-0.5262667,1.093773,-1.5176947,3
28,1.8851856,0.9521786,0.70004773,-1.8040353,4
29,2.176265,-1.0799631,0.573493,-2.2877643,5
30,-2.7280724,-0.60417235,0.1536432,-1.7442641,6
31,2.419446,-1.1881087,-1.6371887,-2.3919435,7
32,-2.1295903,-0.2924441,-1.0143231,-2.7484186,8
33,1.736891,0.07906959,0.8734589,-2.0171494,9
34,-2.3777153,-0.046498954,0.5476695,-2.1656957,10
35,0.39834905,2.3591342,-0.014447331,-1.8744794,11
