,policy rate,reward rate,dec temp,habitual tendency,subject
0,0.63935417,0.6528032,6.3392363,1.3805735,0
1,0.004244442,0.62230897,1.7063708,0.9090532,1
2,0.999713,0.73416454,5.53327,0.8195537,2
3,0.6185171,0.52562475,6.7782593,1.1420034,3
4,0.7529801,0.78349847,8.079322,0.940687,4
5,0.46572816,0.07674208,3.2835164,0.80997777,5
6,0.054260593,0.53409934,6.3544893,1.5707278,6
7,0.060075153,0.14290224,1.928154,1.1964912,7
8,0.16134837,0.47816306,6.3134155,0.9230089,8
9,0.8335794,0.48989505,8.293453,0.7112867,9
10,0.016198974,0.65754884,3.94319,0.89300936,10
11,0.6052668,0.8809014,4.507968,1.2497153,11
12,0.7695522,0.5157941,8.141145,1.4918989,12
13,0.7504348,0.6893336,8.830014,1.0793262,13
14,0.08300642,0.53934366,9.389711,1.4657402,14
15,0.7279679,0.5656758,9.186738,0.9260142,15
16,0.98850536,0.52464205,1.3732845,0.8803201,16
17,0.29461312,0.29610997,0.85115737,0.87796515,17
18,0.72093564,0.33209756,3.5093627,2.0156794,18
19,0.52470523,0.81213945,8.542274,0.73073715,19
20,0.76166624,0.568883,9.08554,1.3471813,20
21,0.9888387,0.7313055,3.9526165,0.92329025,21
22,0.002127127,0.5549384,2.7089128,1.1321146,22
23,0.17515054,0.6939655,6.209926,1.635461,23
24,0.8729389,0.386602,7.725184,1.2810733,0
25,0.118619286,0.7037511,1.7437233,0.79428643,1
26,0.9849578,0.6394079,6.2822237,1.2222091,2
27,0.72623223,0.37138805,7.490916,1.7980124,3
28,0.8682056,0.7215531,6.681984,1.4136055,4
29,0.8980978,0.253513,6.3956876,0.92141396,5
30,0.06133705,0.3533897,5.383354,1.4877212,6
31,0.9182982,0.23359735,1.6284797,0.8378911,7
32,0.10625389,0.42740563,2.6613464,0.60176027,8
33,0.8502918,0.5197571,7.0546494,1.1741407,9
34,0.08488787,0.48837736,6.3359475,1.028736,10
35,0.5982909,0.91365755,4.9638824,1.3302426,11
36,0.67575973,0.5052583,7.686248,1.2936509,12
37,0.84725153,0.80581135,7.8629465,0.833547,13
38,0.070536286,0.6010434,9.430169,1.3644378,14
39,0.7630848,0.5685923,6.768754,0.88638633,15
40,0.9029216,0.54559034,1.3332672,0.7719426,16
41,0.32305977,0.3454728,0.54821295,1.0072734,17
42,0.74852735,0.3692494,3.449659,1.8913424,18
43,0.78712445,0.6316619,9.364406,0.77505386,19
44,0.544046,0.53188103,7.8940706,1.3712419,20
45,0.99762315,0.8302706,4.9175673,0.88121086,21
46,0.30535546,0.64149106,4.285599,0.65437806,22
47,0.1887376,0.6381468,8.554124,1.6966285,23
48,0.879548,0.7498642,7.5771484,1.2779619,0
49,0.07268605,0.4669227,1.4443932,1.0328755,1
50,0.008502402,0.5922483,9.096111,0.75406617,2
51,0.8089463,0.4187797,6.9166937,1.2310232,3
52,0.5873973,0.8676097,7.646552,1.260414,4
53,0.89577514,0.44019216,6.2902813,0.7555729,5
54,0.05435739,0.265577,3.5072508,1.3555858,6
55,0.0009112044,0.17088282,1.3057853,0.6624297,7
56,0.15644637,0.504766,4.3552876,1.1450765,8
57,0.9267936,0.6183334,9.088913,1.2198554,9
58,0.020366793,0.55334425,3.1537888,0.99597996,10
59,0.6095773,0.8545593,6.750178,1.0179493,11
60,0.82960194,0.6933127,8.654455,1.1755396,12
61,0.88793236,0.57830954,9.229815,1.3266248,13
62,0.04910257,0.48784763,9.627318,1.0267766,14
63,0.91257495,0.49251246,9.053686,1.1285155,15
64,0.01491914,0.27763307,2.861823,0.9004334,16
65,0.0002874498,0.5721097,0.41577905,1.143282,17
66,0.5398536,0.5180796,3.715115,2.0461807,18
67,0.8060083,0.8877692,8.11843,0.7041878,19
68,0.7072264,0.58262086,8.786926,1.4389181,20
69,0.12997393,0.7323902,6.5179644,1.0225319,21
70,0.20343275,0.46407896,5.401801,0.52322495,22
71,0.1643237,0.55144364,8.272604,1.5785338,23
72,0.8729535,0.50406736,7.3178887,0.8611878,0
73,0.038784005,0.7917368,1.6355957,1.1902179,1
74,0.8575768,0.6990795,8.146978,1.242043,2
75,0.7624766,0.44604492,8.169205,1.6635046,3
76,0.91470355,0.77683955,7.9407783,1.2186257,4
77,0.69327134,0.105802715,3.2878006,0.8738382,5
78,0.06274026,0.38245666,3.2596924,1.9075279,6
79,0.91452414,0.044941343,2.1466513,0.7111056,7
80,0.22995724,0.35228175,4.9785576,1.0420349,8
81,0.9779497,0.49672627,6.824211,1.1094246,9
82,0.020235231,0.6172488,5.0324078,0.7582917,10
83,0.5711159,0.8613832,4.546523,0.8470004,11
84,0.8491117,0.4963815,6.858912,1.2791611,12
85,0.9037158,0.8540475,8.781243,1.3721576,13
86,0.043901514,0.7062125,9.104858,1.4991691,14
87,0.811385,0.62050784,9.237745,1.0660616,15
88,0.99729866,0.431222,2.7874515,0.96097714,16
89,0.5987778,0.8167516,0.8473894,0.55967176,17
90,0.41059062,0.6692976,4.382312,1.8341463,18
91,0.9232356,0.8301792,8.831869,1.0718198,19
92,0.7888026,0.654431,9.079475,1.2202308,20
93,0.16193736,0.79291373,4.3728743,0.9244132,21
94,0.05284455,0.5169675,5.2498,0.90958244,22
95,0.12677307,0.70920664,6.4368744,1.4212154,23
96,0.65609425,0.6060299,9.595371,0.81084615,0
