,inferred dec temp,subject,inferred reward rate,inferred habitual tendency,inferred policy rate
0,8.124001,0,0.6045035,1.0033566,0.75237864
1,1.3829983,1,0.6858523,0.7994856,0.15627123
2,8.257533,2,0.6883814,0.9218182,0.6131477
3,7.290081,3,0.43049228,1.6012156,0.7090304
4,7.4005394,4,0.75176406,1.2431067,0.8346834
5,4.359296,5,0.124934845,0.89420694,0.8690422
6,4.4904056,6,0.4465795,1.5695394,0.069265954
7,1.9037095,7,0.08942531,0.6872449,0.3217887
8,4.2552557,8,0.3641091,0.91471833,0.17122822
9,7.801569,9,0.48559284,1.0722829,0.8202606
10,5.29212,10,0.5883886,0.9424277,0.045981772
11,5.058204,11,0.77444965,1.0209335,0.6191567
12,7.6315694,12,0.5815815,1.1021955,0.6940717
13,9.006285,13,0.7697643,1.0393791,0.82329774
14,8.778146,14,0.5631205,1.2858952,0.056573283
15,8.981589,15,0.63002944,0.9589343,0.9015142
16,2.1337137,16,0.47218433,0.81230265,0.3887824
17,0.6774615,17,0.5153868,0.7707501,0.28936988
18,3.9273052,18,0.49106753,1.8277119,0.57652175
19,9.033358,19,0.80590135,0.8955796,0.86023456
20,8.837943,20,0.5724368,1.431215,0.70497864
21,4.858174,21,0.7778466,0.8373014,0.44845325
22,4.174875,22,0.59546995,0.79059505,0.17033496
23,7.422907,23,0.61087906,1.2643957,0.119554386
