,locs0,locs1,locs2,locs3,subject
0,0.3620547,0.089300156,-0.5824673,0.2036577,0
1,1.3306193,-1.9396645,-2.663582,0.28668606,1
2,0.1871341,0.4586712,-0.4084623,1.000225,2
3,-0.8164457,0.7180471,-1.6964719,-0.8433042,3
4,0.8890452,1.0741773,-0.58535373,1.6354051,4
5,-4.336373,-0.64462,-0.8622029,0.92989373,5
6,-1.1332657,-2.8444164,-0.33766326,-1.9244967,6
7,-4.240913,-1.3278519,-2.6648638,-2.6990256,7
8,-2.3324146,-1.7382216,-1.8334423,-0.18269348,8
9,-0.66278785,-0.19041857,-0.34517604,-0.60963154,9
10,-2.9716108,-0.7266464,-1.4928802,-0.34199086,10
11,1.2319176,-0.46684456,-1.5039302,-0.48562324,11
12,-0.12802519,1.0535513,-1.4179394,-0.53171384,12
13,1.9782875,1.8688778,-1.0501511,-0.40442678,13
14,-0.24072462,1.9729823,0.1026342,0.58240646,14
15,0.68664783,1.8341739,-0.3157103,0.71434885,15
16,1.0243375,-2.3442855,-2.4216766,-1.3804655,16
17,-3.3379624,-2.7843945,-2.3400602,-0.4984756,17
18,-3.8077936,-0.6979089,-1.9244548,-0.69622344,18
19,1.783997,2.6040301,-1.4643463,0.6492103,19
20,0.3674649,2.2089045,0.0050064772,0.89830315,20
21,0.7497179,-0.36001915,-1.8045863,0.75283164,21
22,-0.03900084,-0.49515676,-1.955107,-0.35524356,22
23,-0.18329392,0.48219776,-0.37794253,-0.27963233,23
24,-0.5258961,0.6219416,-0.913878,-0.15759411,0
25,2.1663904,-2.7299516,-1.9294032,0.08603786,1
26,0.79205006,1.3118925,-0.3649938,1.1435498,2
27,-0.5634155,0.3554333,-1.0622058,-0.3321699,3
28,0.81319356,0.8926052,-0.9390635,1.2917134,4
29,-3.5047178,-0.5713487,-1.0689071,0.9419045,5
30,0.16050234,-2.5645547,-0.052622214,-2.1964746,6
31,-3.9750178,-1.4883114,-2.6570625,-1.2972183,7
32,-1.929971,-1.5389965,-1.7599423,-1.4151152,8
33,-0.75979596,0.17761663,-0.72488594,-0.9079808,9
