,inferred dec temp,subject,inferred reward rate,inferred cached weight,inferred cached rate
0,7.0806417,0,0.47549602,2.8953955,0.55269456
1,1.0713948,1,0.6492867,0.9632659,0.54245657
2,7.321742,2,0.6141433,2.8489926,0.64062554
3,6.9684153,3,0.3538705,2.3233867,0.40620846
4,6.510132,4,0.72545105,2.7696235,0.7290129
5,3.7138932,5,0.016631935,2.579698,0.610134
6,0.70098037,6,0.58687484,4.4193935,0.12383487
7,2.1461308,7,0.030721745,0.7567452,0.27370355
8,3.1206236,8,0.22352993,1.766008,0.20606598
9,6.009854,9,0.3489608,3.1790912,0.37433553
10,3.4105537,10,0.050128885,2.1373994,0.47642404
11,3.7878928,11,0.78844875,2.4722004,0.3962253
12,7.1854033,12,0.49931544,2.2339172,0.36188763
13,8.877693,13,0.7783978,2.80978,0.45556647
14,7.9419966,14,0.5753152,4.6857686,0.5852389
15,9.026117,15,0.6783159,2.8487058,0.43711883
16,1.5255654,16,0.39649004,0.8142328,0.37674254
17,0.6262278,17,0.5080615,0.9629816,0.64953405
18,3.002743,18,0.02363751,2.1702561,0.2649847
19,9.020499,19,0.8207055,1.9983101,0.4853144
20,8.519405,20,0.5449771,5.177834,0.5607051
21,4.036293,21,0.76264393,1.5378591,0.64765894
22,3.2346625,22,0.5948557,1.4881456,0.2272583
23,5.2637877,23,0.4642467,3.9813852,0.402908
