,locs0,locs1,locs2,locs3,subject
0,3.7035832,0.40100512,0.8704706,-2.0994387,0
1,-1.2496386,0.96908975,-1.2542833,-2.7356987,1
2,-1.1958902,0.9247346,0.47359574,-2.1561267,2
3,0.45233017,-0.6094228,0.9581537,-1.674905,3
4,2.3824322,0.8378817,0.089499116,-1.7693661,4
5,1.9012595,-1.0080149,0.1842556,-2.5098763,5
6,-2.8021407,-0.64005935,-0.45595545,-1.5681823,6
7,-0.26051927,-2.5097134,-1.9506968,-2.85771,7
8,-1.095645,-0.7864949,0.074024975,-2.1891286,8
9,2.6756146,0.2737795,1.4393061,-2.0578682,9
10,-2.680032,0.6781039,-0.1827484,-2.356675,10
11,0.90244126,2.9876907,0.9094957,-1.9274433,11
12,-0.13474852,0.13817354,0.99666685,-2.1831295,12
13,2.7023396,1.3268975,1.9279194,-2.1837914,13
14,-2.3961504,0.0057503283,2.0550556,-1.6762624,14
15,4.2666664,0.3774833,1.7192072,-2.3397474,15
16,0.9134097,0.38439044,-0.8262392,-2.389507,16
17,-0.5835668,2.1974673,-2.1363068,-2.481204,17
18,0.33805752,-0.0449009,0.058763593,-1.4577717,18
19,1.4944668,1.1086237,2.311126,-2.1787827,19
20,0.58986413,0.6702595,1.7718625,-1.7255814,20
21,4.71825,1.6368852,-0.6172992,-2.3662508,21
22,-0.6835973,-0.054361284,-0.50856626,-2.337804,22
23,-2.1112669,0.36908132,1.7881122,-2.0143597,23
24,2.1187468,0.5591849,2.2066026,-1.7290423,0
25,-1.9663233,0.4672168,-2.420989,-2.3144548,1
26,-5.913021,1.1157116,3.1279917,-2.5077448,2
27,0.87220186,-0.3198378,1.0105551,-1.7695174,3
28,1.3184348,0.9722673,0.8724423,-1.5742513,4
29,3.970473,-1.6607435,-0.2541321,-1.9999368,5
30,-2.0354223,-0.46285638,-1.1391752,-1.5625744,6
31,7.862664,-2.8030298,-1.0386147,-3.3126817,7
32,-2.3477743,0.08306146,-0.61237144,-1.9658417,8
33,-2.1618195,0.1873135,1.5692724,-2.3849435,9
34,-3.0048494,-0.19821292,0.19413933,-2.2990162,10
35,0.2350713,2.1528966,-0.915396,-2.0941694,11
36,2.6804655,0.69360256,1.2221482,-1.9984969,12
37,1.4013944,1.4204515,2.460463,-1.8325864,13
38,-3.034117,0.60390043,3.1494722,-2.0243006,14
39,3.1342535,0.767241,1.3440362,-2.1434066,15
40,4.1585407,0.0013669953,-1.4322659,-2.4596193,16
41,-4.162959,0.0059146136,-2.19527,-2.340783,17
42,0.105092585,1.338169,0.13665757,-1.4040229,18
43,0.8555552,0.6507356,1.6695588,-2.5923147,19
44,1.5736881,0.36736026,1.5964148,-1.964376,20
45,-3.014426,1.5621401,-0.9451997,-2.3154416,21
46,-2.4622016,0.07180473,-0.47017598,-2.433918,22
47,-2.526431,0.34615427,2.1474419,-1.9101245,23
48,0.6582514,-0.5445607,0.9725021,-2.3538895,0
49,-2.7129502,1.8783838,-1.698067,-2.4690356,1
50,-0.3725648,0.7891083,1.6900573,-2.3593297,2
51,0.87270844,-0.5029086,0.37083375,-1.6913433,3
52,1.4599346,1.1112587,1.6748073,-1.9409688,4
53,2.3812559,-1.0193388,0.5418987,-2.3733976,5
54,-2.7426147,-0.5594928,-0.14925507,-1.673064,6
55,5.846541,-3.0717394,-0.649541,-3.0831962,7
