,inferred dec temp,subject,inferred reward rate,inferred habitual tendency,inferred policy rate
0,8.177962,0,0.6150043,1.0087495,0.76713794
1,1.3038352,1,0.67964834,0.8049296,0.1690221
2,8.342946,2,0.6777714,0.9134179,0.6098503
3,7.3192053,3,0.42447755,1.6297566,0.7152291
4,7.568694,4,0.7559784,1.2270249,0.84175915
5,4.2592654,5,0.12671186,0.9010863,0.8707854
6,4.6165857,6,0.4518388,1.5166692,0.06950942
7,1.8968296,7,0.08538409,0.6901265,0.33309048
8,4.131193,8,0.35537145,0.9053727,0.1717171
9,7.757385,9,0.4882174,1.075168,0.81849587
10,5.2067842,10,0.58792377,0.9372804,0.044739157
11,5.015457,11,0.79061365,0.99205154,0.63640463
12,7.58081,12,0.5785723,1.1192942,0.7010582
13,8.922169,13,0.77297914,1.0513042,0.8085085
14,8.7237215,14,0.559132,1.3033684,0.05666578
15,8.977864,15,0.61562157,0.9541452,0.90382147
16,2.1764965,16,0.4758996,0.8027751,0.40689898
17,0.67802733,17,0.52609056,0.7626986,0.2871254
18,4.0048494,18,0.48943114,1.8724202,0.5869291
19,9.037795,19,0.8113521,0.91250235,0.8639142
20,8.929555,20,0.5683906,1.4237396,0.70453626
21,4.947572,21,0.78897244,0.8356449,0.4512151
22,4.2277217,22,0.59670526,0.7861798,0.15490451
23,7.3566275,23,0.6136314,1.2778274,0.12129815
