,inferred dec temp,subject,inferred reward rate,inferred habitual tendency,inferred policy rate,inferred cached weight,inferred cached rate
0,6.199786,0,0.58617824,3.4328842,0.6474703,6.0467854,0.47755992
1,2.89205,1,0.6420259,3.252614,0.6774326,6.1789656,0.6723219
2,6.2780313,2,0.64200926,3.375568,0.6790076,6.29439,0.4954231
3,5.639958,3,0.43448555,3.5088058,0.6551483,4.2089677,0.48439288
4,5.275877,4,0.6393898,3.565104,0.6723655,5.785565,0.5283403
5,5.957129,5,0.3058021,3.3895845,0.6918145,6.045085,0.5772436
6,3.782725,6,0.5098355,4.06542,0.3514244,4.3375525,0.6166976
7,3.081373,7,0.3540635,3.1052735,0.72466576,6.1759815,0.684067
8,4.083362,8,0.40849152,3.4229383,0.58927065,6.191553,0.645357
9,6.105015,9,0.5088046,3.5802891,0.6405142,5.978365,0.4047271
10,4.167827,10,0.45967248,3.476718,0.6516471,6.1036935,0.6194063
11,3.7891016,11,0.64793897,3.404143,0.6623287,6.0804305,0.58656675
12,5.9114327,12,0.5471281,3.5228434,0.65309596,5.5521135,0.5299896
13,6.736134,13,0.66831887,3.4221587,0.6727007,6.1829057,0.5052299
14,6.8719516,14,0.53892887,3.9583535,0.38512567,5.87875,0.527049
15,6.78018,15,0.63060486,3.5259318,0.6676076,6.1655636,0.434092
16,2.9869125,16,0.566214,3.3145995,0.69610703,5.110739,0.63040745
17,2.855729,17,0.6306121,3.1920002,0.71226025,6.1982803,0.68231475
18,3.2946057,18,0.47221467,3.6827776,0.64483804,3.6059015,0.6029463
19,6.5509105,19,0.6775,3.2755215,0.67675734,6.127996,0.5157572
20,6.8480096,20,0.5909303,3.6444597,0.65201575,6.292083,0.45053846
21,3.42621,21,0.63735485,3.2591982,0.67922366,5.891669,0.5001225
22,3.51108,22,0.59759057,3.1696992,0.6496448,6.334209,0.6524839
23,5.8031416,23,0.5873562,3.952229,0.562105,5.5391026,0.5401813
