,locs0,locs1,locs2,locs3,locs4,locs5,subject
0,1.4163285,0.11293396,0.29836577,-0.22778404,1.3672514,0.01226449,0
1,1.7070899,1.2588365,-2.1283898,-1.3671939,-0.17446056,1.5158911,1
2,0.9801851,1.0331117,1.867635,-1.2213006,-0.6045673,-0.06950819,2
3,0.5330925,-0.6670322,0.8112219,-0.6060419,-0.24509674,-0.43868977,3
4,2.6857085,0.4920407,0.35859457,-0.7156997,-0.3371419,0.54392755,4
5,1.560033,-3.5095775,-0.3721552,-0.9902357,0.41966918,0.58825463,5
6,-1.7287513,1.4969114,-0.6698509,-0.68253005,-0.34406257,0.14821006,6
7,2.386278,-2.420691,-1.2817442,-1.1686201,-0.020273559,2.3454845,7
8,-0.33751047,-1.0955576,-0.79334676,-1.0165975,-0.2719652,0.78214324,8
9,1.2327832,-0.6266261,-0.48843887,-1.2637055,-0.60493445,-0.8640915,9
10,1.1462328,-2.0060225,-0.82482505,-1.4562645,-0.7806157,0.31698024,10
11,1.5258635,1.3154701,-0.14975584,-0.7361847,0.15755488,0.802556,11
12,0.6737032,0.360732,0.9475601,-1.4026123,-1.3661122,-0.45655584,12
13,0.540157,1.0951278,0.5706396,-1.1861656,-0.1736976,-0.27921578,13
14,-1.6121272,-0.2916325,1.6321113,-0.6777019,0.74622893,-0.23438951,14
15,1.5226053,1.1533985,2.6382527,-0.8520325,-0.06787483,-0.20641162,15
16,2.5095832,-1.1507134,-1.5111035,-0.4386214,0.39992434,2.9706588,16
17,2.243435,-1.5152835,-2.151693,-1.3564209,-0.050000243,1.9274658,17
18,0.67770374,0.15806785,-0.9960303,-0.9007398,-1.484035,-0.4656459,18
19,2.9612536,1.4491932,1.4010415,-0.5899327,0.48230183,1.0399759,19
20,0.41667503,0.082408294,2.1022472,-0.7076811,0.8248203,-0.31601244,20
21,1.859144,-0.13265133,-0.6294411,-1.540732,-1.1506329,-0.9974297,21
22,2.1742735,0.31421983,-0.11512476,-0.3152398,1.7977037,2.7680457,22
23,-1.2158041,0.7220036,0.55353427,-1.312207,-0.7529633,-1.0917228,23
24,1.169059,0.044904385,1.2292645,-0.09226489,1.225041,0.7510607,0
25,3.2146206,0.942686,-2.3280745,-0.9477313,0.09528779,1.8390627,1
26,2.2432675,0.39367974,1.0158262,-1.0821471,0.39217132,0.19649518,2
27,0.7312181,-0.581513,0.13388282,-1.3675611,-2.0579555,-0.051519454,3
28,0.9809475,0.69381565,0.6625686,-0.88046753,-0.23792525,-0.13422099,4
29,1.7050618,-4.5291953,-0.5409153,-0.6861534,0.17391892,0.10580468,5
30,-1.5971988,-0.6815188,-1.7235303,-0.98972327,-1.4667803,0.22609209,6
31,3.8194056,-3.0818164,-1.3628201,-0.6668086,1.0413443,2.8070474,7
32,-0.23621845,-0.6785865,-0.73992676,-1.2216667,-0.3944024,0.45176023,8
33,1.3483202,-0.24506858,0.44550908,-1.1638525,-0.5903572,-1.1179018,9
34,-0.57959914,-0.14797127,-0.56573665,-1.2622888,-0.21259584,0.15807468,10
35,1.6692224,1.6344159,0.5930356,-0.3746273,0.9566786,1.3498206,11
36,1.1791512,-0.64965355,0.8164192,-0.9746307,-0.2636124,0.23757991,12
37,0.77930444,2.148779,1.9647909,-1.0147991,-0.2964969,-0.58161,13
38,-1.2418897,0.71498865,0.7549612,-0.74799716,0.19862726,-0.8108696,14
39,1.1216636,0.30689007,1.9256622,-1.1743035,-0.45784247,-0.83738863,15
40,1.9659865,0.09147212,-1.5752954,-1.3840148,-0.98371214,2.161138,16
41,2.3103235,0.82580626,-2.3311138,-0.9388927,0.119421504,2.7948325,17
42,1.0239621,0.1437231,-0.81679225,-0.61085415,-1.0146184,2.0400655,18
43,2.0221436,1.3954101,1.8131037,-0.8396709,0.29545158,0.4621715,19
44,0.4432016,-0.098397896,0.19033563,-0.8689481,0.0019152164,-0.6316416,20
45,1.6180665,0.4422205,-1.189194,-1.4885242,-0.8785672,-0.7482852,21
46,1.822129,0.2954507,0.44439644,-1.3792378,0.49061874,1.2607527,22
47,-0.7080141,-0.24102753,0.14889824,-0.7345399,0.36499396,-0.28194195,23
48,2.056897,0.08880681,-0.5639472,0.12095082,1.3676825,0.64071894,0
49,1.301126,-1.035645,-2.2734025,-2.29602,-1.759355,1.2500292,1
50,1.3682723,0.6242888,1.268158,-1.742933,-1.1921618,-0.022231078,2
51,1.0837362,-0.46725887,0.37386152,-0.5934043,-0.44597578,0.44655517,3
52,1.4214146,1.7954336,0.16186333,-0.45379248,0.35063145,0.45579952,4
