,policy rate,reward rate,dec temp,habitual tendency,cached weight,cached rate,subject
0,0.83083093,0.38224038,2.6762798,3.6331282,6.739767,0.666468,0
1,0.75773066,0.4422861,1.3639328,1.2329099,2.7729273,0.75671184,1
2,0.9026912,0.72115517,6.649478,2.294729,3.3075557,0.4654918,2
3,0.85115796,0.37869152,8.176927,3.2330375,2.7406147,0.8480188,3
4,0.8702741,0.67488885,4.7494407,2.2440085,2.1886191,0.4728939,4
5,0.74096274,0.02689089,3.0981686,1.8851118,3.3767726,0.32614622,5
6,0.15140706,0.5208563,4.9588156,2.2446535,1.5339983,0.6103956,6
7,0.94376063,0.040441133,3.7605834,2.087328,5.573558,0.96413344,7
8,0.68520397,0.20059039,2.5995421,3.6947522,6.833438,0.72035444,8
9,0.7504848,0.29686555,4.419537,2.189249,3.782383,0.23479684,9
10,0.8592132,0.07660413,4.933244,2.4127967,3.502983,0.63993675,10
11,0.67752665,0.6944532,3.0634758,2.7081096,3.7756934,0.73280066,11
12,0.79810256,0.4439426,6.781597,2.1081166,2.8050997,0.56496245,12
13,0.91399515,0.84142524,9.647103,2.0865552,2.9987466,0.36652842,13
14,0.12735583,0.62615305,9.745061,2.8736773,5.323393,0.3001297,14
15,0.8834122,0.676391,9.371162,2.9407544,4.414337,0.42616966,15
16,0.9221906,0.1921922,0.8915343,2.1157956,3.1510725,0.848839,16
17,0.7771191,0.7603436,0.60366607,0.97540647,2.0422673,0.878435,17
18,0.67877334,0.6060177,3.0353715,3.5693617,3.1768332,0.8337282,18
19,0.87719035,0.7498772,9.418137,2.2192497,3.6531205,0.5760391,19
20,0.668852,0.5242893,8.19406,2.9929652,5.297965,0.5036233,20
21,0.9808005,0.7458376,1.7064987,2.7842326,3.4070086,0.519225,21
22,0.8484867,0.65501815,3.3989086,2.7638454,6.173783,0.760115,22
23,0.45531377,0.47913623,5.3899927,3.2551756,5.0705442,0.30298108,23
24,0.8575912,0.38730854,6.023636,2.2956996,4.700221,0.4533621,0
25,0.7056898,0.16314991,1.2845482,2.060405,3.861455,0.86713934,1
26,0.9061482,0.70458007,8.870715,4.105283,7.0026484,0.601725,2
27,0.8370519,0.31294206,7.339206,3.1712542,2.9181476,0.68297243,3
28,0.9106161,0.7828988,5.8677835,2.1322067,2.9030993,0.58567995,4
29,0.7912431,0.022336945,3.2654955,1.8015987,2.819193,0.43381843,5
30,0.09585383,0.6302296,2.499591,1.9812208,1.2565098,0.36749685,6
31,0.99261075,0.03876931,2.31755,2.4332144,5.4766107,0.92658,7
32,0.6393713,0.17399701,3.3562412,2.5258615,4.191617,0.6890478,8
33,0.66080093,0.4517555,6.0727606,2.354504,3.0428762,0.33124688,9
34,0.921284,0.034679916,3.6356702,2.2883565,4.2118006,0.74573547,10
35,0.7325443,0.65424824,4.310603,3.7278938,6.7391806,0.63468647,11
36,0.82901305,0.5366253,7.90437,3.9110956,5.4581504,0.7240558,12
37,0.8702415,0.7150312,9.105681,2.3595622,3.7676258,0.5295772,13
38,0.14242381,0.4340941,6.0000954,2.5259848,4.8261256,0.40086797,14
39,0.73888093,0.84169966,9.531423,2.9932175,4.3390408,0.4251315,15
40,0.95308995,0.5695805,1.8325434,2.1363642,3.8485293,0.8820718,16
41,0.85872424,0.94963324,0.92858607,1.5073125,3.9346364,0.73911226,17
42,0.7505041,0.1284902,3.5390363,2.8650322,1.7082951,0.75463,18
43,0.65590197,0.85406303,9.367567,1.8959242,4.1093483,0.3238671,19
44,0.58721226,0.41620386,6.9008837,3.3175578,6.504715,0.40229496,20
45,0.81545544,0.8150986,4.5045767,2.1341252,3.8404467,0.39660552,21
46,0.62939495,0.67912364,3.597891,2.4720082,5.1857347,0.80636156,22
47,0.34999415,0.5353521,5.5319014,3.7619665,6.023144,0.4083255,23
48,0.7477051,0.34567693,5.435248,2.0982535,3.21164,0.47754788,0
49,0.84000117,0.5890404,1.0120739,1.8318908,2.7531085,0.90636605,1
50,0.86709577,0.6375878,5.5115485,2.6731052,5.0565715,0.45838135,2
51,0.69832903,0.31540778,6.873274,3.202929,3.5174398,0.53588045,3
52,0.74002486,0.85593116,5.4014606,2.2560482,2.575091,0.424365,4
53,0.88575536,0.014899322,3.1518383,2.717966,4.346418,0.53788775,5
54,0.11760376,0.6625534,5.0751753,1.7965997,0.7535515,0.26348418,6
55,0.92155546,0.025627377,1.6989588,2.1883109,5.5844784,0.9388527,7
56,0.45634457,0.23016444,3.2862148,1.6241466,3.3544526,0.50588137,8
57,0.7339011,0.31902197,5.2457643,2.932701,5.0888605,0.42543748,9
58,0.60496867,0.08521561,3.155324,2.1942368,4.360306,0.63554347,10
59,0.81624603,0.9005857,6.234744,2.748569,3.921842,0.7346255,11
60,0.76234525,0.5003232,6.2012553,4.5587773,6.711383,0.6380269,12
61,0.81777084,0.68815875,8.569494,2.4597313,4.3845363,0.5541237,13
62,0.18425839,0.47390327,8.519815,2.5695705,5.1101713,0.29291087,14
63,0.9037029,0.6706202,9.054695,1.4018935,1.5897152,0.30843753,15
64,0.9689228,0.18495034,1.7902995,3.5651445,6.1681275,0.8886286,16
65,0.712681,0.13712023,0.3557056,1.0193124,2.1982052,0.7341341,17
