,inferred dec temp,subject,inferred reward rate,inferred habitual tendency,inferred policy rate,inferred cached weight,inferred cached rate
0,6.65201,0,0.5788652,0.93348473,0.74997854,2.5102935,0.7061312
1,1.0370349,1,0.67962927,0.77157784,0.17299859,0.90887773,0.6779236
2,7.2212744,2,0.64442897,0.8507568,0.6129242,2.34352,0.71338934
3,6.3787937,3,0.3937456,1.5047257,0.7293371,1.3883725,0.5700462
4,6.334351,4,0.73511404,1.1423628,0.83108497,1.8192517,0.7843156
5,3.4597428,5,0.016647507,0.84369826,0.56204,2.3971786,0.74515676
6,3.2471426,6,0.45583445,1.4901218,0.059632614,1.4487821,0.45370898
7,1.7838196,7,0.056485746,0.6566279,0.31674182,0.671999,0.58528155
8,3.388473,8,0.34358457,0.84774023,0.16424485,1.587155,0.5781449
9,6.2915854,9,0.44827595,1.0326834,0.8128468,2.7738633,0.5085428
10,4.1233296,10,0.5545228,0.90757376,0.0382555,1.4897424,0.55333483
11,3.7432766,11,0.79099953,0.92055297,0.6370146,1.7813315,0.6549423
12,6.3856406,12,0.5482179,1.0646594,0.70119286,1.819889,0.6249265
13,8.786308,13,0.79336816,0.9060959,0.6757748,1.9365398,0.5665258
14,8.425447,14,0.4838498,1.1871876,0.040966794,3.4380827,0.7949638
15,8.902712,15,0.6888522,0.974458,0.8549742,2.8088605,0.6468314
16,1.6634048,16,0.47875723,0.7673519,0.4706581,0.76669973,0.5095088
17,0.6248273,17,0.52156556,0.7699211,0.23801495,0.9122443,0.70468545
18,2.8556726,18,0.4009438,1.7820418,0.5657624,1.0896313,0.5240471
19,8.814345,19,0.84400696,0.81327564,0.82267004,1.5264679,0.6059862
20,8.486289,20,0.56754786,1.0249815,0.68313193,3.9753907,0.69148743
21,3.8007612,21,0.7708156,0.8198275,0.57023317,1.4012865,0.7232359
22,3.4417398,22,0.6096008,0.744838,0.12162894,1.2338532,0.39741474
23,5.714197,23,0.5474662,1.113684,0.057194617,3.3044658,0.5927349
