,locs0,locs1,locs2,locs3,subject
0,-3.635554,2.2885244,1.2699699,2.0494957,0
1,-2.4315166,-1.0542893,-1.0416231,0.9833675,1
2,1.674317,3.1501498,0.8267814,2.127113,2
3,3.7309499,1.1855209,0.64222646,1.144836,3
4,3.3268409,2.019945,-0.25227916,0.21579553,4
5,-0.79110724,2.456932,1.0659505,2.1974432,5
6,3.6016483,-1.1110529,1.9370599,-1.9242058,6
7,0.41600737,-1.3805163,-0.4972024,1.9146951,7
8,0.3108852,0.9263927,-0.23495573,3.2602608,8
9,-0.6261939,3.0362093,0.8050287,3.803739,9
10,2.1719983,0.39368042,0.7552148,2.5115786,10
11,2.7221944,1.6213156,-0.42807752,1.8461999,11
12,1.0431937,1.9097623,1.1689665,2.34363,12
13,2.67386,2.0989568,1.2813653,1.863099,13
14,2.2696993,-0.024984539,1.2921343,-3.494563,14
15,-0.63247705,3.195063,0.4540347,3.1096056,15
16,0.7775856,2.352009,-2.068659,0.7891376,16
17,-0.5073558,-3.5309005,-1.4971728,1.3370745,17
18,3.975579,0.47440347,0.83060664,0.08238706,18
19,3.1423173,2.8898218,-0.3522133,2.2421494,19
20,-0.61732006,2.0372698,2.1867785,2.057966,20
21,2.2239687,3.8615184,-1.361603,3.204315,21
22,4.409384,2.8541775,-0.91061735,6.03818,22
23,3.611969,1.466799,0.84465563,0.5454976,23
24,0.33526945,2.7277145,1.1776422,3.0318844,0
25,-0.6354431,-3.5969837,0.3593148,2.875742,1
26,-2.9537928,2.4007142,0.2793482,2.4630053,2
27,2.539797,1.7009956,1.006241,0.85087705,3
28,3.506009,2.0138087,-0.251218,0.035385367,4
29,-2.2403514,1.6864915,1.8783312,3.4433398,5
30,2.659162,-1.5656931,1.5322162,-2.3748994,6
31,0.39589828,-1.5563548,-0.5880497,1.9629372,7
32,-1.484134,0.9693368,-0.40259215,2.1534712,8
33,1.2892731,2.4812691,1.7743466,3.8879027,9
34,-2.0848494,0.60489,0.62448037,1.5468829,10
35,1.0727831,2.6213248,-1.1372937,0.5761496,11
36,4.0377207,2.204584,1.1927491,2.0003572,12
37,1.7884328,2.374257,0.12051511,3.1298997,13
38,3.0784607,0.6226436,1.8594158,-1.364738,14
39,1.1189866,3.201733,2.072191,3.3114638,15
40,1.9077147,0.8612126,-1.2579074,3.2583451,16
41,1.0449252,-0.3721403,-2.3830175,1.5007383,17
42,2.5106494,0.29583025,0.87351364,0.046071857,18
43,5.0766087,3.8461044,-0.12709346,2.3891287,19
44,3.3449006,1.2455178,1.0008572,1.2008446,20
45,-0.30684996,4.0066414,-0.69474167,1.4306442,21
46,-1.8688729,1.9575466,-0.6350337,0.8849138,22
47,3.6001163,1.5521239,1.0575304,1.2641796,23
48,0.5866068,2.4162753,1.5380843,2.2193465,0
49,-0.5831455,-2.5929544,-0.32027376,1.9307864,1
50,1.2280443,2.938152,0.23897702,3.3110905,2
51,2.4352088,1.6770669,0.87740403,0.53015196,3
52,2.8939857,1.8496577,-0.37332445,-0.56791615,4
53,-0.10238964,2.3419082,0.97984517,3.355169,5
54,2.2432857,-1.4471129,1.3065162,-2.6023707,6
55,-0.25741234,-0.81842995,-0.9353094,2.9714048,7
56,-1.2269192,1.578469,-0.15081799,3.2785919,8
57,0.7971138,2.7768762,1.9565486,3.503325,9
58,3.8664317,0.883019,0.26224706,2.0546415,10
59,1.6216335,2.3083506,-1.0182389,1.0603622,11
60,2.8270545,1.8719686,1.3048047,2.538427,12
61,-0.46617973,3.2775607,0.8713255,2.7469995,13
62,2.298604,0.73590386,1.5967458,-2.5554574,14
63,-2.2080278,2.7596676,2.4408126,3.2376735,15
64,1.6877412,0.87850904,-1.228844,2.4728613,16
65,2.078145,-0.92135614,-2.6554325,1.8984957,17
66,1.5063468,0.28582543,0.72980905,-1.3847651,18
67,0.45722425,3.309384,0.117177784,2.1022804,19
68,5.489058,0.97575045,2.2396545,3.3592246,20
69,2.0525603,3.4791424,-1.3086846,0.6508683,21
70,-0.6256025,1.7794998,-0.37540624,2.7957938,22
71,2.3286092,0.84646666,0.39248222,0.19536015,23
72,2.3414607,2.99493,1.868223,2.4993665,0
73,5.026584,-2.237374,-1.3647734,1.5853605,1
74,4.5359364,2.5445375,0.2949661,3.4954531,2
75,1.8918822,1.9550447,0.6106781,0.30257106,3
76,2.9535918,2.6916447,-0.40995923,-0.52271223,4
77,-1.3909019,1.9571888,1.9837483,2.5145519,5
78,2.7594194,-1.4436523,1.5710366,-1.7593207,6
79,-0.08140692,-0.91023165,-1.1007271,-0.39414,7
80,0.8051488,0.64414346,0.07882554,2.1271787,8
81,1.5400269,2.231474,2.022144,4.256672,9
82,1.089757,-0.10814664,0.7251355,0.628845,10
83,0.6047962,2.406766,-1.007016,0.64040005,11
84,2.7818985,2.4172556,1.3900108,0.914312,12
85,1.7137696,2.189145,1.2367852,3.4241562,13
86,3.2016811,0.4284955,1.2617307,-4.108938,14
87,-1.2778217,3.4453974,1.7177813,2.857094,15
88,0.79555386,2.9106412,-1.1885247,2.9398475,16
89,2.1484094,-1.8747923,-2.4939425,1.989656,17
90,2.8312976,0.42977086,1.1155372,0.10854283,18
91,0.36556554,2.3177526,-0.028638288,1.2215133,19
92,2.3423896,1.2754781,2.672243,1.8843639,20
93,0.2575581,3.0259452,-1.0362254,0.3593216,21
94,-1.4886695,2.3631234,-0.8512231,1.5849125,22
95,4.9813747,1.7205513,0.26470405,0.55273473,23
96,1.4093573,2.3920069,2.7559276,2.1894376,0
97,3.8267179,-1.8304487,-0.89015347,-1.3656855,1
98,1.5933752,2.9394267,0.34410772,1.1560175,2
99,4.0099792,1.5239689,0.98805004,0.90239614,3
100,2.3819296,3.1647325,-0.43002266,-0.060430337,4
101,-0.9238803,1.3001196,1.4054677,2.9893703,5
102,3.1698525,-1.5736171,2.5022714,-1.910511,6
103,1.5804714,-2.8704019,-0.3351705,-1.837867,7
104,-0.6095367,1.6815792,-0.31046632,2.6491196,8
105,2.1895857,3.8461046,1.6689832,2.278409,9
106,-0.554363,0.17854685,0.5816277,1.0159643,10
107,0.44784576,0.61325693,-0.47674164,3.8040376,11
108,2.660651,2.1702378,0.8020215,2.65525,12
109,2.81425,1.3044674,0.9969187,1.6827922,13
110,1.8889601,1.074042,1.3546816,-2.3134336,14
111,-0.05025828,1.9464388,1.8265827,3.181104,15
112,2.4161015,2.0699174,-1.7172537,0.82684684,16
113,-0.022581756,-1.5841051,-2.2276125,-1.1755339,17
114,2.7873244,0.61578786,-0.092633486,-1.493537,18
115,0.78545153,3.2663674,0.17405836,0.6332787,19
116,3.6628692,1.5198163,2.012515,1.484655,20
117,-2.46826,2.8159435,-0.8586484,1.0465016,21
118,-2.0283062,0.8964262,-0.38873106,-0.2762599,22
119,1.3909203,0.7089776,0.9880634,0.7964959,23
120,4.033616,2.2263029,1.3635194,3.4960454,0
121,0.41543967,-1.7718675,-0.52331805,0.21806997,1
122,0.4865234,2.7945538,1.1119848,3.23638,2
123,3.6306095,1.6616731,0.2606402,0.54387295,3
124,3.6969645,2.0914426,0.031594098,0.71449184,4
125,2.076175,2.3122828,2.1343675,4.6790047,5
126,1.8525429,-1.571718,2.2015219,-2.0642717,6
127,0.6373879,-0.96482056,-1.2989445,2.367551,7
128,2.5308626,1.0694507,-0.2530545,2.2567883,8
129,2.4780145,2.1235962,1.4000821,2.6428566,9
130,2.4914355,0.938213,0.20276392,2.272382,10
131,0.25326204,1.5211656,-0.7672754,1.5524386,11
132,3.6179476,2.504851,0.91128993,2.6018023,12
133,2.1642396,2.3121548,1.054509,3.589305,13
134,2.406998,1.1672161,0.4709264,-1.8125561,14
135,0.77155495,2.8414876,0.93940115,2.082495,15
136,-0.23257095,3.7288966,-1.900199,1.7973512,16
137,0.34418625,1.483828,-3.9059103,0.3151741,17
138,3.0453022,0.19132826,0.7851947,-0.66230947,18
139,1.7402663,1.777162,0.14209569,2.2213478,19
140,1.3548286,1.7054987,1.246358,1.4448783,20
141,1.3106048,2.9735208,-1.0579932,0.57860184,21
142,-2.1904578,1.9465691,-0.52065253,3.667729,22
143,2.1889477,1.405745,1.0405815,-0.053690404,23
144,-0.7713864,2.7399385,2.0407972,2.2937722,0
145,0.13363141,-1.5886137,-1.6816518,-2.447487,1
146,2.2360523,3.455756,0.73234975,3.4136767,2
147,1.832506,2.2866511,0.6544614,0.58056647,3
148,2.769463,2.5066102,0.093884856,0.6059443,4
149,0.5655151,2.3884506,1.4780456,3.4965456,5
150,2.7291842,-1.8066856,2.9549165,-2.2296762,6
151,-1.0931165,-0.9719502,-0.8328287,-0.6324613,7
152,-1.9528692,0.67950606,0.71712494,0.023478985,8
153,1.4907731,2.7024055,1.3336773,3.4925396,9
154,-0.64998627,0.4851154,0.33780718,1.6933093,10
155,0.9799962,0.39232838,-0.10709554,2.7850668,11
156,2.8836756,1.4393637,1.999049,1.6977923,12
157,-0.38625562,1.7618728,0.4608579,1.5876572,13
158,2.5135286,0.71364856,1.7389947,-1.9401101,14
159,1.83059,1.9863548,0.95133215,3.3214135,15
160,1.1409858,1.4831915,-1.493912,0.8047693,16
161,5.6129565,-3.3251834,-0.4310547,1.4683455,17
162,4.092577,0.1213326,1.3163803,0.49887186,18
163,3.960577,1.6097611,-0.40056875,1.5904765,19
164,1.5433588,1.9747815,1.3600458,1.2519242,20
165,-1.0075455,4.701374,-1.2261415,3.7551098,21
166,1.2878625,2.1669352,-0.6415708,0.63862884,22
167,4.661558,0.8664387,1.0331144,0.5375227,23
168,-2.4854503,2.3495605,1.9043286,2.747152,0
169,-0.27741063,-0.4451021,-2.8099406,-0.8765897,1
170,4.708455,2.9196718,0.78635836,3.0733361,2
