,inferred discount,subject,inferred learning rate,inferred dec temp,inferred weight
0,0.83666146,0,0.92830384,5.103865,0.8783685
1,0.7461095,1,0.17667694,1.315529,0.5890623
2,0.8142844,2,0.9427661,3.4213264,0.87011796
3,0.9213907,3,0.8078374,3.8769066,0.5253441
4,0.8886519,4,0.8824278,2.7183597,0.43641254
5,0.69527304,5,0.9026645,4.720628,0.94288373
6,0.8989366,6,0.17668533,5.4590764,0.1257931
7,0.6099998,7,0.25042516,2.0068731,0.81209254
8,0.60266644,8,0.7445427,2.8691137,0.8456422
9,0.76145786,9,0.9129489,5.357768,0.9479007
10,0.787793,10,0.58722895,3.9086578,0.7206423
11,0.78829,11,0.88707215,1.7852168,0.5547127
12,0.85510397,12,0.8776295,4.436669,0.83974415
13,0.7818953,13,0.8890081,4.10591,0.8974019
14,0.93887323,14,0.5726903,5.029816,0.08218468
15,0.79192674,15,0.9395768,4.837173,0.92220056
16,0.69068015,16,0.86820954,1.0238235,0.8659823
17,0.78189397,17,0.23268886,1.0602322,0.64408714
18,0.9076062,18,0.5656403,4.181512,0.33129874
19,0.8061646,19,0.94109476,2.870266,0.9096903
20,0.92350245,20,0.87903017,4.288795,0.4960579
21,0.78414,21,0.94839597,1.5481255,0.7814403
22,0.45536327,22,0.83132243,2.270676,0.87203795
23,0.903015,23,0.7385096,4.189814,0.49758962
