,discount,learning rate,dec temp,weight,subject
0,0.025691843,0.90792215,4.684426,0.8858967,0
1,0.08080075,0.2584023,1.5650215,0.7277759,1
2,0.84215057,0.9589146,4.1740437,0.8935106,2
3,0.9765911,0.76593906,3.9315395,0.7585664,3
4,0.9653383,0.8828753,2.6235757,0.5537405,4
5,0.31193098,0.92106694,4.4629564,0.90001965,5
6,0.9734457,0.24767466,5.2441726,0.1273933,6
7,0.6025275,0.2009261,2.26919,0.8715457,7
8,0.5771013,0.71634287,2.649179,0.9630401,8
9,0.34837407,0.9541834,4.1462946,0.97819865,9
10,0.8977066,0.5971684,4.0818834,0.9249495,10
11,0.9383237,0.8349765,2.367513,0.8636803,11
12,0.7394658,0.8709924,4.577749,0.91242653,12
13,0.9354664,0.8908018,4.6960926,0.86565775,13
14,0.90633625,0.49375418,4.707049,0.029467324,14
15,0.3469491,0.9606481,3.6695886,0.9572872,15
16,0.6851595,0.91309375,0.6730831,0.6876461,16
17,0.37581357,0.02844569,1.0970854,0.79200846,17
18,0.98157734,0.61642545,4.1788993,0.5205851,18
19,0.95860493,0.947341,2.4770746,0.90397125,19
20,0.3503912,0.88465494,5.3943353,0.8867501,20
21,0.9023813,0.97939736,1.2238793,0.9609963,21
22,0.98798347,0.9455343,1.7212411,0.9976198,22
23,0.97371113,0.8125704,4.196669,0.6330904,23
24,0.58304095,0.9386423,4.5871415,0.9539939,0
25,0.34627736,0.026675198,3.5332475,0.9466342,1
26,0.04955756,0.91688174,3.4163182,0.9215073,2
27,0.926885,0.8456647,4.393703,0.7007511,3
28,0.97085834,0.8822393,2.6251426,0.50884545,4
29,0.096184984,0.8437622,5.2045164,0.96903193,5
30,0.9345735,0.17283124,4.933982,0.08510688,6
31,0.5977018,0.17417035,2.1424947,0.87685055,7
32,0.18480383,0.72498727,2.404138,0.8959927,8
33,0.7840241,0.92281824,5.129984,0.97992307,9
34,0.11057813,0.6467743,3.907421,0.824463,10
35,0.74512583,0.9322215,1.4569056,0.6401809,11
36,0.9826681,0.90066046,4.603394,0.8808346,12
37,0.85673505,0.9148431,3.1805542,0.9581094,13
38,0.9559955,0.65081954,5.191373,0.20347133,14
39,0.75380075,0.9608995,5.329025,0.96481997,15
40,0.8707622,0.70291394,1.3280059,0.9629718,16
41,0.7397992,0.40802392,0.5068614,0.8176846,17
42,0.924885,0.5734229,4.2328577,0.5115159,18
43,0.9937976,0.979084,2.8096156,0.9159945,19
44,0.9659374,0.776523,4.3873625,0.768675,20
45,0.4238838,0.9821307,1.9978747,0.80700165,21
46,0.1336722,0.87626714,2.0782201,0.7078394,22
47,0.9734061,0.8252202,4.45331,0.77974474,23
48,0.6425862,0.91806,4.9391165,0.9019734,0
49,0.35820913,0.06959324,2.5236542,0.87333643,1
50,0.77347606,0.94970053,3.356769,0.96480733,2
51,0.91947305,0.8425157,4.2377033,0.62951857,3
52,0.9475483,0.86408687,2.4464276,0.36171782,4
53,0.47442493,0.9122889,4.362465,0.96627367,5
54,0.90406984,0.19044629,4.7215776,0.068986,6
55,0.43599993,0.30609706,1.6910927,0.95126545,7
56,0.2267211,0.82898754,2.7742007,0.9636871,8
57,0.68935674,0.9414134,5.2569537,0.9707822,9
58,0.9794963,0.7074474,3.3911314,0.8864158,10
59,0.8350203,0.9095663,1.5922234,0.7427597,11
60,0.9441204,0.8666859,4.7198553,0.92679214,12
61,0.38552085,0.9636509,4.230129,0.9397437,13
62,0.9087614,0.67609954,4.989379,0.07206071,14
63,0.0990319,0.94045705,5.519322,0.96222764,15
64,0.8439269,0.70651317,1.3583027,0.92221725,16
