,inferred mb weight,subject,inferred discount,inferred mf weight,inferred learning rate
0,4.175143,0,0.30880463,1.3316983,0.79036325
1,0.4063383,1,0.24386816,0.51850855,0.6994091
2,4.5352254,2,0.30952173,1.4422678,0.8493468
3,3.6093037,3,0.5412332,2.1229384,0.6743943
4,1.5429476,4,0.5637113,1.3480619,0.7989363
5,3.0526314,5,0.21224481,1.1691169,0.75344217
6,0.52284604,6,0.18143588,0.87541175,0.14014804
7,0.34878272,7,0.21220228,0.5099663,0.6336019
8,0.5486704,8,0.2216278,1.063194,0.47132787
9,5.031586,9,0.27833393,1.3535187,0.7777216
10,0.6334662,10,0.3229228,1.2985572,0.454383
11,1.0642439,11,0.32555175,1.1949744,0.71378154
12,4.574094,12,0.45414844,1.6205363,0.82828146
13,3.7292988,13,0.2709399,1.428429,0.81079614
14,0.73163915,14,0.8255213,2.58542,0.535913
15,4.796272,15,0.3031258,1.185448,0.84663486
16,0.5137616,16,0.22250533,0.71578115,0.76051253
17,0.30972075,17,0.44869363,0.3144096,0.66907495
18,1.9941928,18,0.6480679,1.3737712,0.56305456
19,5.08478,19,0.30902264,1.0493317,0.85192335
20,2.1890016,20,0.62802553,2.5978978,0.81707793
21,0.9144507,21,0.29334432,0.9504163,0.83730596
22,0.40217474,22,0.17477942,0.93935037,0.5632848
23,0.7534109,23,0.7190977,1.6129214,0.62435305
