,locs0,locs1,locs2,locs3,locs4,locs5,subject
0,1.0056877,3.1276298,1.6541697,1.6400981,-2.3923938,-3.2640069,0
1,-1.2452724,-2.9111075,-1.5727202,-0.4214387,-2.284475,-1.3263621,1
2,0.10177991,2.8656688,0.5815021,2.9393203,-1.8031726,-2.2164698,2
3,-2.3920603,3.5644746,0.55048555,1.5502144,-1.4030902,1.3038135,3
4,2.3055854,2.300945,-0.23488632,0.16481583,-2.574366,2.571377,4
5,-0.23371404,3.072612,0.3077374,2.680264,-1.5281538,-2.5665102,5
6,5.6961517,-2.1756165,2.3204436,0.046073467,-1.717854,-2.156422,6
7,1.0469286,-2.591702,-0.3901373,3.8469808,-3.1361675,-1.4005947,7
8,-1.7620292,1.2025347,-0.08155033,0.3892045,-1.9950211,-2.7613423,8
9,0.27822816,2.6874564,3.039772,2.5729938,-2.0085282,-2.28469,9
10,-3.8622513,0.09205854,0.49037433,3.5977414,-2.455152,-1.5967298,10
11,-4.341146,4.0990443,-0.85673624,0.41368234,-2.1778684,-2.004724,11
12,1.7036619,1.9212463,0.6107683,1.5671062,-1.8059114,-3.4541726,12
13,-1.0975108,2.346736,0.5686258,2.0744293,-2.5564933,-1.0927368,13
14,4.5223722,3.069435,-0.27601704,-1.8159952,-0.86731493,-2.3993766,14
15,1.6062081,3.4461548,2.0438356,2.188181,-3.2931075,-0.9385928,15
16,-2.086189,1.9041001,-1.472996,4.1267896,-3.013124,1.0579268,16
17,-0.21789566,-3.562636,-1.0324194,5.050531,-1.9350553,-2.0335677,17
18,0.8687326,0.8467161,-0.421131,3.219133,-0.87288195,0.15615374,18
19,2.0157263,3.9326484,-0.15259415,2.9340737,-2.617031,-0.8575429,19
20,4.506015,2.3475766,0.3324735,-0.81317824,-2.362461,-2.2467265,20
21,-1.0407349,2.6688015,-1.2445552,0.43980086,-1.9883579,-2.9927588,21
22,-1.685846,3.467526,-0.88208926,0.9740739,-3.052958,-0.5334265,22
23,1.488615,2.767763,-0.26969174,0.32530445,-1.1910528,-3.4474754,23
24,1.8084824,3.537745,1.3500557,2.710312,-2.7080421,-0.59209156,0
25,0.8507397,-2.4076393,-0.394171,0.205603,-1.7044655,-1.6614969,1
26,0.2721267,3.2139475,0.4044699,2.0365257,-2.940011,-2.099274,2
27,0.80138487,3.2615154,0.08223389,4.1213603,-0.8628396,1.3598619,3
28,2.772511,2.7360253,-0.5516396,0.51683426,-2.6223018,0.7460437,4
29,0.008876622,2.9788783,0.2132864,4.3468122,-1.0094028,-3.079929,5
30,1.2433679,-0.3745188,0.79974353,-0.4787756,-0.74250954,-1.9207945,6
