,inferred discount,subject,inferred learning rate,inferred dec temp,inferred weight,inferred prior lr,inferred prior weight
0,0.4343579,0,0.94405484,4.8236403,0.9378374,0.18058121,0.6984844
1,0.39139807,1,0.2114745,1.115834,0.7731621,0.22108476,0.77623826
2,0.4492468,2,0.9565818,3.2658412,0.9254798,0.1918538,0.7159312
3,0.53354895,3,0.90393376,2.8583477,0.9209088,0.7992683,1.2601467
4,0.85570455,4,0.94693846,2.6275048,0.55371577,0.2818426,0.6041499
5,0.28406432,5,0.93339527,4.413946,0.9338895,0.13518243,1.1437283
6,0.6814396,6,0.31452698,4.4417324,0.5294281,0.08440683,2.1984663
7,0.3644668,7,0.33894318,1.573242,0.8428877,0.1490443,0.88196874
8,0.24820346,8,0.8115531,2.5308642,0.84845144,0.15288559,0.7600277
9,0.394309,9,0.9307816,5.234027,0.9457011,0.20056413,0.62169117
10,0.36127618,10,0.7647071,2.8299034,0.86876273,0.120248266,1.0909328
11,0.32897896,11,0.91272545,1.6529412,0.8279642,0.28685153,0.7218798
12,0.58442515,12,0.9267374,4.120002,0.90624064,0.25068492,0.7291177
13,0.44449356,13,0.927555,3.7398002,0.89861864,0.21069947,0.65264136
14,0.86003846,14,0.94373816,3.263112,0.47023085,0.09626414,2.2186685
15,0.41989288,15,0.95543337,4.5933948,0.9530503,0.13628137,0.8144506
16,0.37389326,16,0.8406383,1.013521,0.86125076,0.22741862,0.69941014
17,0.40841308,17,0.22162941,1.0323924,0.8032994,0.18014506,0.77081543
18,0.5363877,18,0.7597733,2.5873256,0.8687961,0.5696367,1.5303314
19,0.57885045,19,0.95776975,2.68167,0.89509726,0.30483833,0.61710984
20,0.5756848,20,0.8762514,4.04139,0.9217713,0.43650144,0.7571276
21,0.3423809,21,0.9494224,1.4453745,0.8948374,0.203198,0.6933187
22,0.23351605,22,0.8970442,2.1185248,0.85307664,0.14894043,0.7528882
23,0.7109812,23,0.9163141,3.1477191,0.803246,0.07055382,1.6710051
